key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,Comenzar Juego,,
2,"Configuración",,
3,"Cinemática Introductoria",,
4,"Créditos",,
5,,,
6,"¿Calibrar el controlador?<hex:02100103>※Las opciones pueden ser cambiadas en cualquier momento desde el menú de Configuración.",,
7,Sí,,
8,No,,
9,,,
10,Cuenta de Servicio,,
11,Selecciona una Cuenta de Servicio,,
12,Version: <hex:022903EA0203> (<hex:022903EA0303>),,
13,"<hex:024804F201F403><hex:024904F201F503>¡Aviso!<hex:0249020103><hex:0248020103> La resolución de la pantalla está en Bajo (480p/i 576p/i)<hex:02100103>La resolución recomendada es Alta (720p).",,
14,,,
15,OK,,
16,Cancelar,,
17,"Selecciona las características que deseas cambiar en el listado de la derecha. Aquellas marcadas con ??? aun deben ser confirmadas.",,
18,"Selecciona las características que deseas cambiar en el listado de la derecha y presiona OK para que los cambios se vean reflejados.",,
19,"Selecciona las características que deseas cambiar en el listado de la derecha. Aquellas marcadas con ??? aun deben ser confirmadas.",, 
20,"Eliminar Personaje",,
21,"¿Eliminar el personaje <hex:022903EA0203>?<hex:02100103>Por favor, se consciente de que si eliminas el personaje perderás todos los objetos, gil y custodios en su posesión.<hex:02100103>Si este personaje es líder de una Compañía Libre para la que no hay un sucesor, dicha compañía será disuelta y todos sus bienes en el alijo de la compañía e inmuebles serán eliminados también.",,
22,"Lo entiendo y deseo eliminar a este personaje.",,
23,Cambiar Nombre,,
24,Cambiar Nombre de Custodio,,
25,"¿Deseas conectar con <hex:022903EA0203>?",,
26,"Un cambio de nombre es requerido para conectar con este personaje.",,
27,"<hex:020885E1E80201FF45>Por favor, cambia el nombre de tu personaje tras recibir los datos de este.<hex:FF39>Un cambio de nombre es requerido para conectar con este personaje.<hex:03>",,
28,"¿Cambiar el nombre de este personaje a <hex:022903EA0203>?",,
29,"¿Cambiar el nombre de este custodio a <hex:022903EA0203>?",,
30,"Nuevo Personaje",,
31,"¿Abandonar la creación del personaje y perder todo el progreso?",,
32,"¿Comenzar una nueva aventura con este personaje?",,
33,"¿Quieres crear un nuevo personaje?",,
34,"No puedes crear mas personajes. Para crear un nuevo personaje deberás eliminar primero uno de los existentes.",,
35,<hex:022003E80203>/<hex:022003E80303>,,
36,Ubicación,,
37,"<hex:0209BAE804FF04>1st<hex:FF04>2nd<hex:FF04>3rd<hex:FF04>4th<hex:FF04>5th<hex:FF04>6th<hex:FF04>7th<hex:FF04>8th<hex:FF04>9th<hex:FF05>10th<hex:FF05>11th<hex:FF05>12th<hex:FF05>13th<hex:FF05>14th<hex:FF05>15th<hex:FF05>16th<hex:FF05>17th<hex:FF05>18th<hex:FF05>19th<hex:FF05>20th<hex:FF05>21st<hex:FF05>22nd<hex:FF05>23rd<hex:FF05>24th<hex:FF05>25th<hex:FF05>26th<hex:FF05>27th<hex:FF05>28th<hex:FF05>29th<hex:FF05>30th<hex:FF05>31st<hex:FF05>32nd<hex:03> Sol de la <hex:020993E802FF0B>Primera Luna Astral<hex:FF0B>Primera Luna Umbral<hex:FF0B>Segunda Luna Astral<hex:FF0B>Segunda Luna Umbral<hex:FF0B>Tercera Luna Astral<hex:FF0B>Tercera Luna Umbral<hex:FF0B>Cuarta Luna Astral<hex:FF0B>Cuarta Luna Umbral<hex:FF0B>Quinta Luna Astral<hex:FF0B>Quinta Luna Umbral<hex:FF0B>Sexta Luna Astral<hex:FF0B>Sexta Luna Umbral<hex:03>",,
38,"（<hex:022003E80203><hex:022003E80303>）",,
39,,,
40,Primera Luna Astral,,
41,Primera Luna Umbral,,
42,Segunda Luna Astral,,
43,Segunda Luna Umbral,,
44,Tercera Luna Astral,,
45,Tercera Luna Umbral,,
46,Cuarta Luna Astral,,
47,Cuarta Luna Umbral,,
48,Quinta Luna Astral,,
49,Quinta Luna Umbral,,
50,Sexta Luna Astral,,
51,Sexta Luna Umbral,,
52,,,
53,<hex:0209BAE804FF04>1st<hex:FF04>2nd<hex:FF04>3rd<hex:FF04>4th<hex:FF04>5th<hex:FF04>6th<hex:FF04>7th<hex:FF04>8th<hex:FF04>9th<hex:FF05>10th<hex:FF05>11th<hex:FF05>12th<hex:FF05>13th<hex:FF05>14th<hex:FF05>15th<hex:FF05>16th<hex:FF05>17th<hex:FF05>18th<hex:FF05>19th<hex:FF05>20th<hex:FF05>21st<hex:FF05>22nd<hex:FF05>23rd<hex:FF05>24th<hex:FF05>25th<hex:FF05>26th<hex:FF05>27th<hex:FF05>28th<hex:FF05>29th<hex:FF05>30th<hex:FF05>31st<hex:FF05>32nd<hex:03> Sun of the <hex:020993E803FF0B>1st Astral<hex:FF0B>1st Umbral<hex:FF0B>2nd Astral<hex:FF0B>2nd Umbral<hex:FF0B>3rd Astral<hex:FF0B>3rd Umbral<hex:FF0B>4th Astral<hex:FF0B>4th Umbral<hex:FF0B>5th Astral<hex:FF0B>5th Umbral<hex:FF0B>6th Astral<hex:FF0B>6th Umbral<hex:03> Moon,,
54,,,
55,,,
56,<hex:022903EA0203><hex:020943E803FF01><hex:FF09>(LEGACY)<hex:FF01><hex:FF09>(LEGACY)<hex:FF05>(EU)<hex:FF0C>(LEGACY/EU)<hex:FF05>(OC)<hex:FF0C>(LEGACY/OC)<hex:FF01><hex:03>,,
57,"Obteniendo listado de Mundos...",,
58,"Imposible obtener el listado de Mundos.",,
59,"Obtener información actualizada del Mundo. Esta caracaterísticas solo puede ser usada cada <hex:020860E802FF54><hex:020850E2E8020BFF42><hex:02093EE802FF04>un<hex:FF04>dos<hex:FF06>tres<hex:FF05>cuatro<hex:FF05>cinco<hex:FF04>seis<hex:FF06>siete<hex:FF06>ocho<hex:FF05>nueve<hex:FF04>diez<hex:03><hex:FF07><hex:022003E80203><hex:03><hex:FF07><hex:022003E80203><hex:03> <hex:020816E4E80202FF07>minuto<hex:FF08>minutos<hex:03>.",,
60,"Esta cuenta no tiene ranuras de personaje disponibles. Para crear un nuevo personaje debes eliminar uno existente seleccionando la opción "Eliminar" el menú de subcomandos.",,
61,"No puedes crear mas personajes. Para crear un nuevo personaje debes eliminar uno existente seleccionando la opción "Eliminar" el menú de subcomandos.",,
62,"No puedes crear mas personajes en este Mundo. Selecciona otro.",,
63,"Este Mundo no acepta nuevos personajes. Puedes esperar a que la restricción sea eliminada o seleccionar otro Mundo.",,
64,"No puedes elegir este personaje con tu cuenta actual.",,
65,"Tienes la oportunidad de editar la raza, género, apariencia y nombre de tu personaje.",,
66,"<hex:02089CE1E80201FF4B>Por favor, cambia el nombre de tu custodio tras recibidor los datos del personaje.<hex:FF4A>Para conectar con este personaje primero debes cambiar el nombre del custodio.<hex:03>",,
67,"Si lo deseas, puedes cambiar la raza, género y apariencia de tu personaje.",,
68,"Para conectar con este personaje primero debes instalar <hex:02280FFF0A>ExVersion<hex:E8020103>.,,
69,"Para editar la raza, género o apariencia de este personaje primero debes instalar <hex:02280FFF0A>ExVersion<hex:E8020103>.",,
70,"Para conectar con este personaje de la versión 1.0, primero debes especificar la clase de Adepto de la Guerra o Magia con la que deseas comenzar la aventura.",,
71,OK,,
72,Cancelar,,
73,"Has elegido comenzar FINAL FANTASY XIV: A Realm Reborn como  <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF94> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF74> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF54> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF34> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF14> <hex:02280EFF09>ClassJob<hex:E8020103><hex:03><hex:03><hex:03><hex:03><hex:03>. Comenzarás tu aventura en <hex:02280AFF05>Town<hex:E8030103>.",,
74,OK,,
