key,0
#,Name
offset,0
int32,str
0,
1,Rage of Halone Combo
2,Royal Authority Combo
3,Butcher's Block Combo
4,Storm's Path Combo
5,Power Slash Combo
6,Souleater Combo
7,Snap Punch Combo
8,Demolish Combo
9,Wheeling Thrust Combo
10,Wheeling Thrust Combo
11,Aeolian Edge Combo
12,Shadow Fang Combo
13,Yukikaze Combo
14,Gekko Combo
15,Kasha Combo
16,Straight Shot Combo
17,Stormbite Combo
18,Heated Clean Shot Combo
19,Enchanted Redoublement Combo
20,Solid Barrel Combo
21,Wicked Talon Combo
22,Fountain Combo
23,Swashbuckler Combo
24,Greatest Eclipse Combo
25,Solid Barrel Combo
26,Coerthan Torment Combo
27,Prominence Combo
28,Steel Cyclone Combo
29,Stalwart Soul Combo
30,Rockbreaker Combo
31,Coerthan Torment Combo
32,Hakke Mujinsatsu Combo
33,Kasha Combo
34,Oka Combo
35,Demon Slaughter Combo
36,Bladeshower Combo
37,Yagetsu Combo
38,Final Flourish Combo
39,Verflare Combo
40,Foul Combo
41,Lord of Crowns Combo
42,The Scroll Combo
43,Scorch Combo
44,Rage of Halone Combo
45,Verflare Combo
46,Scorch Combo
47,Solid Barrel Combo
48,Infernal Slice Combo
49, Nightmare Scythe Combo
50,Royal Authority Combo
51,Storm's Path Combo
52,Souleater Combo
53,Solid Barrel Combo
54,Fountain Combo
55,Phantom Rush Combo
56,Wheeling Thrust Combo
57,Aeolian Edge Combo
58,Kasha Combo
59,Infernal Slice Combo
60,Rage of the Gentleman Combo
61,Infernal Slice Combo
62,Nightmare Scythe Combo
63,
64,
65,
