key,2,3
#,Name,Description
offset,0,4
int32,str,str
0,,
1,Too Fast, Too Furious,Completed performance faster than the ideal time.
2,Slow and Steady,Completed performance faster than the standard time.
3,10 Ways to Die,Used between two and ten unique spell types.
4,4 Ways to Die,Used two, three, or four unique spell types.
5,Can't Touch This,Took zero damage.
6,Ain't Got Time to Bleed,Restored zero HP.
7,Modus Interruptus,Interrupted a target's casting.
8,A Walk in the Park,Refrained from using Sprint.
9,Mastery of Fire,Used one or more fire-aspected spells. Spells aspected to other elements were not used.
10,Mastery of Water,Used one or more water-aspected spells. Spells aspected to other elements were not used.
11,Mastery of Earth,Used one or more earth-aspected spells. Spells aspected to other elements were not used.
12,Mastery of Wind,Used one or more wind-aspected spells. Spells aspected to other elements were not used.
13,Mastery of Ice,Used one or more ice-aspected spells. Spells aspected to other elements were not used.
14,Mastery of Lightning,Used one or more lightning-aspected spells. Spells aspected to other elements were not used.
15,Elemental Mastery,Cast spells aspected to all six elements.
16,Total Mastery,Used actions aspected to all six elements and three damage types (blunt, piercing, slashing).
17,Enfeeble Me Tender,Applied six or more unique enfeeblements.
18,Enfeeble Me Tenderer,Applied nine or more unique enfeeblements.
19,Let's Get Physical,Used only physical-type actions.
20,Advanced Spellcasting,Cast only rank 4 or 5 spells.
21,Beginner Spellcasting,Cast only rank 1 or 2 spells.
22,Four-faced,Used four or more unique actions that are fired from the face.
23,Amajina Special,
24,One-trick Pony,
25,The Primals,
26,Giant Slayer,
27,Trouble with Tentacles,
28,Perfect Blue,
29,Eight-faced,Used eight or more unique actions that are fired from the face.
30,Hooked on a Healing,Use Pom Cure, Exuviation, and White Wind.
31,Alexander Aficionado,
32,The Celestium's Finest,
33,Pure Azure,
34,Going for Gold,
