key,0,1
#,Name,Name{Short}
offset,0,4
int32,str,str
0,Sea of Clouds - Sector 01,Sea of Clouds 01
1,Sea of Clouds - Sector 02,Sea of Clouds 02
2,Sea of Clouds - Sector 03,Sea of Clouds 03
3,Sea of Clouds - Sector 04,Sea of Clouds 04
4,Sea of Clouds - Sector 05,Sea of Clouds 05
5,Sea of Clouds - Sector 06,Sea of Clouds 06
6,Sea of Clouds - Sector 07,Sea of Clouds 07
7,Sea of Clouds - Sector 08,Sea of Clouds 08
8,Sea of Clouds - Sector 09,Sea of Clouds 09
9,Sea of Clouds - Sector 10,Sea of Clouds 10
10,Sea of Clouds - Sector 11,Sea of Clouds 11
11,Sea of Clouds - Sector 12,Sea of Clouds 12
12,Sea of Clouds - Sector 13,Sea of Clouds 13
13,Sea of Clouds - Sector 14,Sea of Clouds 14
14,Sea of Clouds - Sector 15,Sea of Clouds 15
15,Sea of Clouds - Sector 16,Sea of Clouds 16
16,Sea of Clouds - Sector 17,Sea of Clouds 17
17,Sea of Clouds - Sector 18,Sea of Clouds 18
18,Sea of Clouds - Sector 19,Sea of Clouds 19
19,Sea of Clouds - Sector 20,Sea of Clouds 20
20,Sea of Clouds - Sector 21,Sea of Clouds 21
21,Sea of Clouds - Sector 22,Sea of Clouds 22
22,The Diadem (Hard),The Diadem (Hard)
23,Sea of Clouds - Sector 23,Sea of Clouds 23
24,Sea of Clouds - Sector 24,Sea of Clouds 24
25,,
127,,
128,,
