key,0,2
#,Singular,Plural
offset,0,4
int32,str,str
0,,
1,,
2,ruins runner,ruins runners
3,antelope doe,antelope does
4,antelope stag,antelope stags
5,opo-opo,opo-opos
6,lemur,lemurs
7,giant gnat,giant gnats
8,ked,keds
9,miteling,mitelings
10,diremite,diremites
11,banemite,banemites
12,northern vulture,northern vultures
13,arbor buzzard,arbor buzzards
14,wild hoglet,wild hoglets
15,wild hog,wild hogs
16,wild boar,wild boars
17,balloon,balloons
18,zombie,zombies
19,zombie mage,zombie mages
20,magicked bones,magicked bones
21,trickster imp,trickster imps
22,roselet,roselets
23,kedtrap,kedtraps
24,treant,treants
25,dryad,dryads
26,gigantoad,gigantoads
27,nix,nixes
28,coeurl pup,coeurl pups
29,dullahan,dullahans
30,clay golem,clay golems
31,mindflayer,mindflayers
32,microchu,microchus
33,ochu,ochus
34,adamantoise,adamantoises
35,tonberry,tonberries
36,boring weevil,boring weevils
37,ground squirrel,ground squirrels
38,black bat,black bats
39,tree slug,tree slugs
40,Shroud hare,Shroud hares
41,syrphid swarm,syrphid swarms
42,yarzon,yarzons
43,chigoe,chigoes
44,jumping djigga,jumping djiggas
45,will-o'-the-wisp,will-o'-the-wisps
46,plasmoid,plasmoids
47,forest funguar,forest funguars
48,toadstool,toadstools
49,little ladybug,little ladybugs
50,goblin thug,goblin thugs
51,alpha anole,alpha anoles
52,Redbelly lookout,Redbelly lookouts
53,3rd Cohort hoplomachus,3rd Cohort hoplomachi
54,hornet swarm,hornet swarms
55,deathgaze,deathgazes
56,water sprite,water sprites
57,3rd Cohort decurion,3rd Cohort decurions
58,3rd Cohort laquearius,3rd Cohort laquearii
59,3rd Cohort eques,3rd Cohort equites
60,3rd Cohort secutor,3rd Cohort secutores
61,3rd Cohort signifer,3rd Cohort signiferi
62,pteroc,pterocs
63,pudding,puddings
64,sylvan screech,sylvan screeches
65,sylvan sigh,sylvan sighs
66,sylvan snarl,sylvan snarls
67,sylpheed screech,sylpheed screeches
68,sylpheed sigh,sylpheed sighs
69,sylpheed snarl,sylpheed snarls
70,sylpheed song,sylpheed songs
71,Silbexio of the Dusken Knot,Silbexio of the Dusken Knot
72,Bockman,Bockman
73,Galvanth the Dominator,Galvanth the Dominator
74,Shredder,Shredder
75,Aerico,Aerico
76,Gelmorran strutfinder,Gelmorran strutfinders
77,Gelmorran cogfinder,Gelmorran cogfinders
78,Gelmorran nailfinder,Gelmorran nailfinders
79,Dalamud priest,Dalamud priests
80,Redbelly gutter,Redbelly gutters
81,Severaint Seven Splinter,Severaint Seven Splinter
82,Redbelly hivekeep,Redbelly hivekeeps
83,Redbelly sharpeye,Redbelly sharpeyes
84,Redbelly chanter,Redbelly chanters
85,Dofagan the Penitent,Dofagan the Penitent
86,Hollow Baron lodesman,Hollow Baron lodesmen
87,Hollow Baron waister,Hollow Baron waisters
88,Hollow Baron engineer,Hollow Baron engineers
89,Hollow Baron gunner,Hollow Baron gunners
90,spriggan collector,spriggan collectors
91,spriggan,spriggans
92,Antares,Antares
93,Sargas,Sargas
94,Shaula,Shaula
95,flux flan,flux flans
96,hecatoncheir overseer,hecatoncheir overseers
97,hecatoncheir stonehauler,hecatoncheir stonehaulers
98,hecatoncheir shockblocker,hecatoncheir shockblockers
99,hecatoncheir piledriver,hecatoncheir piledrivers
100,hecatoncheir blastmaster,hecatoncheir blastmasters
101,Gyges the Great,Gyges the Great
102,Ixali swordfighter,Ixali swordfighters
103,Ixali boldwing,Ixali boldwings
104,Ixali swiftbeak,Ixali swiftbeaks
105,Ixali fogcaller,Ixali fogcallers
106,coeurl,coeurls
107,mandragora,mandragoras
108,,
109,gravedigger,gravediggers
110,skeleton soldier,skeleton soldiers
111,Deepcroft miteling,Deepcroft mitelings
112,lesser kalong,lesser kalongs
113,earth sprite,earth sprites
114,ice sprite,ice sprites
115,wind sprite,wind sprites
116,fire sprite,fire sprites
117,lightning sprite,lightning sprites
118,midge swarm,midge swarms
119,Octavel the Unforgiving,Octavel the Unforgiving
120,anole,anoles
121,Redbelly swarmpoint,Redbelly swarmpoints
122,Redbelly stinger,Redbelly stingers
123,toxic battrap,toxic battraps
124,toxic flytrap,toxic flytraps
125,pus gnat,pus gnats
126,giant slug,giant slugs
127,enormous slug,enormous slugs
128,treant sapling,treant saplings
129,firefly,fireflies
130,lindwurm,lindwurms
131,crater golem,crater golems
132,smoke bomb,smoke bombs
133,giant bat,giant bats
134,tainted earth sprite,tainted earth sprites
135,tainted wind sprite,tainted wind sprites
136,tainted water sprite,tainted water sprites
137,wandering bones,wandering bones
138,Redbelly jack,Redbelly jacks
139,Coeurlclaw hunter,Coeurlclaw hunters
140,Coeurlclaw poacher,Coeurlclaw poachers
141,parasite funguar,parasite funguars
142,young antelope stag,young antelope stags
143,Ak-Inik varlet,Ak-Inik varlets
144,Ak-Mena varlet,Ak-Mena varlets
145,carrion beetle,carrion beetles
146,fleshfly swarm,fleshfly swarms
147,croftlight,croftlights
148,void lamp,void lamp
149,horde mite,horde mites
150,bastard mite,bastard mites
151,tainted louse,tainted lice
152,void flame,void flames
153,prison pteroc,prison pterocs
154,Mun-Tuy sapling,Mun-Tuy saplings
155,mitetrap,mitetraps
156,gaoler's lantern,gaoler's lanterns
157,cell mite,cell mites
158,prison pudding,prison puddings
159,widow's suitor,widow's suitors
160,Sylphlands buzzard,Sylphlands buzzards
161,pit boar,pit boars
162,milkroot sapling,milkroot saplings
163,Sylphlands sentinel,Sylphlands sentinels
164,dreamtoad,dreamtoads
165,milkroot cluster,milkroot clusters
166,sylph bonnet,sylph bonnets
167,sylpheed dream,sylpheed dreams
168,hoverfly swarm,hoverfly swarms
169,Coeurlclaw cutter,Coeurlclaw cutters
170,deepvoid deathmouse,deepvoid deathmice
171,lesser kalong,lesser kalongs
172,Redbelly larcener,Redbelly larceners
173,anole familiar,anole familiars
174,watchwolf,watchwolves
175,poisonous flytrap,poisonous flytraps
176,foraging doe,foraging does
177,leafbleed slug,leafbleed slugs
178,leafbleed mite,leafbleed mites
179,Shroudbee swarm,Shroudbee swarms
180,leafbleed roseling,leafbleed roselings
181,carrion chigoe,carrion chigoes
182,zombie pikeman,zombie pikemen
183,North Shroud lemur,North Shroud lemurs
184,South Shroud opo-opo,South Shroud opo-opos
185,Janremi Blackheart,Janremi Blackheart
186,hedge knight,hedge knights
187,marshlight,marshlights
188,saprophagous slug,saprophagous slugs
189,Ailbert the Lost,Ailbert the Lost
190,Ixali scout,Ixali scouts
191,dewdrinker ladybug,dewdrinker ladybugs
192,Ixali dulltalon,Ixali dulltalons
193,Ixali lostwing,Ixali lostwings
194,Ixali slowbeak,Ixali slowbeaks
195,hoglet,hoglets
196,black eft,black efts
197,bog yarzon,bog yarzons
198,nutbreaker squirrel,nutbreaker squirrels
199,stumbling funguar,stumbling funguars
200,carrier ladybug,carrier ladybugs
201,syrphid cloud,syrphid clouds
202,greedy hoglet,greedy hoglets
203,leathervine microchu,leathervine microchus
204,russet yarzon,russet yarzons
205,mottled eft,mottled efts
206,anole stalker,anole stalkers
207,floating eye,floating eyes
208,Ixali lightwing,Ixali lightwings
209,Ixali deftalon,Ixali deftalons
210,Ixali straightbeak,Ixali straightbeaks
211,glowfly,glowflies
