key,4
#,Name
offset,0
int32,str
0,None
1,Solid Grey
2,Squares
3,Solid Purple
4,Tank Gradient
5,DPS Gradient
6,Healer Gradient
7,Vellum
8,Aether
9,Wood Panels
10,Void
11,Paladin (Ornate)
12,Warrior (Ornate)
13,Dark Knight (Ornate)
14,Gunbreaker (Ornate)
15,White Mage (Ornate)
16,Scholar (Ornate)
17,Astrologian (Ornate)
18,Sage (Ornate)
19,Monk (Ornate)
20,Dragoon (Ornate)
21,Ninja (Ornate)
22,Samurai (Ornate)
23,Reaper (Ornate)
24,Bard (Ornate)
25,Machinist (Ornate)
26,Dancer (Ornate)
27,Black Mage (Ornate)
28,Summoner (Ornate)
29,Red Mage (Ornate)
30,Team Astra
31,Team Umbra
32,Final Conflict 1
33,Endless Conflict 1
34,Rising Conflict 1
35,Bronze Conflict 1
36,Silver Conflict 1
37,Gold Conflict 1
38,Platinum Conflict 1
39,Diamond Conflict 1
40,Crystal Conflict 1
41,Companion 1
42,Companion 2
43,Gladiator
44,Marauder
45,Conjurer
46,Pugilist
47,Lancer
48,Rogue
49,Archer
50,Thaumaturge
51,Arcanist
52,Paladin (Simple)
53,Warrior (Simple)
54,Dark Knight (Simple)
55,Gunbreaker (Simple)
56,White Mage (Simple)
57,Scholar (Simple)
58,Astrologian (Simple)
59,Sage (Simple)
60,Monk (Simple)
61,Dragoon (Simple)
62,Ninja (Simple)
63,Samurai (Simple)
64,Reaper (Simple)
65,Bard (Simple)
66,Machinist (Simple)
67,Dancer (Simple)
68,Black Mage (Simple)
69,Summoner (Simple)
70,Red Mage (Simple)
71,Blue Mage (Simple)
72,Carpenter (Simple)
73,Blacksmith (Simple)
74,Armorer (Simple)
75,Goldsmith (Simple)
76,Leatherworker (Simple)
77,Weaver (Simple)
78,Alchemist (Simple)
79,Culinarian (Simple)
80,Miner (Simple)
81,Botanist (Simple)
82,Fisher (Simple)
83,Gridania
84,Limsa Lominsa
85,Ul'dah
86,Unending Coil of Bahamut
87,Weapon's Refrain
88,Epic of Alexander
89,Dragonsong's Reprise
90,Final Conflict 2
91,Endless Conflict 2
92,Rising Conflict 2
93,Bronze Conflict 2
94,Silver Conflict 2
95,Gold Conflict 2
96,Platinum Conflict 2
97,Diamond Conflict 2
98,Crystal Conflict 2
99,Final Conflict 3
100,Endless Conflict 3
101,Rising Conflict 3
102,Bronze Conflict 3
103,Silver Conflict 3
104,Gold Conflict 3
105,Platinum Conflict 3
106,Diamond Conflict 3
107,Crystal Conflict 3
108,Azure Conflict
109,Crimson Conflict
110,Sil'dihn Subterrane (Variant)
111,Last Dregs
112,Blue Sky
113,Seashore
114,Starry Sky
115,Brick
116,Comic
117,Quilted Black
118,Quilted White
119,Circular Geometry
120,Aetheric Purple
121,Aetheric Blue
122,Aetheric Red
123,Sheet Music
124,Far Eastern
125,Common Grey
126,Rare Pink
127,Plundered Green
128,Exceptional Blue
129,Legendary Purple
130,Lominsan Flag
131,Gridanian Flag
132,Ul'dahn Flag
133,Final Conflict 4
134,Endless Conflict 4
135,Rising Conflict 4
136,Crystal Conflict 4
137,Diamond Conflict 4
138,Platinum Conflict 4
139,Gold Conflict 4
140,Silver Conflict 4
141,Bronze Conflict 4
142,Final Conflict 5
143,Endless Conflict 5
144,Rising Conflict 5
145,Crystal Conflict 5
146,Diamond Conflict 5
147,Platinum Conflict 5
148,Gold Conflict 5
149,Silver Conflict 5
150,Bronze Conflict 5
151,Falcons
152,Ravens
153,Dreamspinners
154,Stewards
155,Watts's Anvil
156,Hippo Riders
157,Dreaming Ways
158,Omega Protocol
159,Eureka Orthos
160,Enaretos
161,Four Lords
162,Island Vacation
163,Island Memories
164,Final Conflict 6
165,Endless Conflict 6
166,Rising Conflict 6
167,Crystal Conflict 6
168,Diamond Conflict 6
169,Platinum Conflict 6
170,Gold Conflict 6
171,Silver Conflict 6
172,Bronze Conflict 6
173,Final Conflict 7
174,Endless Conflict 7
175,Rising Conflict 7
176,Crystal Conflict 7
177,Diamond Conflict 7
178,Platinum Conflict 7
179,Gold Conflict 7
180,Silver Conflict 7
181,Bronze Conflict 7
182,Aramitama Waves
183,Nigimitama Waves
184,Divine Circle
185,Velodyna Gatekeepers
186,Seven Hundred Seventy-Seven
187,Blue Mage (Ornate)
188,End of an Era
189,Ten Year Anniversary
190,Mount Rokkon (Variant)
191,Adventurous Angling
192,Big Fish
193,Mahjong Mastery
194,Palaistra
195,Cloud Nine
196,Final Conflict 8
197,Endless Conflict 8
198,Rising Conflict 8
199,Crystal Conflict 8
200,Diamond Conflict 8
201,Platinum Conflict 8
202,Gold Conflict 8
203,Silver Conflict 8
204,Bronze Conflict 8
205,Final Conflict 9
206,Endless Conflict 9
207,Rising Conflict 9
208,Crystal Conflict 9
209,Diamond Conflict 9
210,Platinum Conflict 9
211,Gold Conflict 9
212,Silver Conflict 9
213,Bronze Conflict 9
214,Final Conflict 10
215,Endless Conflict 10
216,Rising Conflict 10
217,Crystal Conflict 10
218,Diamond Conflict 10
219,Platinum Conflict 10
220,Gold Conflict 10
221,Silver Conflict 10
222,Bronze Conflict 10
223,Gundu
224,Vath
225,Mogmenders
226,Twelvefold Blessings
227,Aloalo Island (Variant)
228,Wondrous Whimsy
229,Fantastic Faux
230,Blunderful
231,Blunderous
232,Blunder-villed
