key,4
#,Name
offset,0
int32,str
0,None
1,None
2,Laurels
3,Hearts
4,Stars
5,Tank Emblem
6,DPS Emblem
7,Healer Emblem
8,Sparkles
9,Pawprints
10,Exclamation Mark
11,Question Mark
12,Paladin Emblem
13,Warrior Emblem
14,Dark Knight Emblem
15,Gunbreaker Emblem
16,White Mage Emblem
17,Scholar Emblem
18,Astrologian Emblem
19,Sage Emblem
20,Monk Emblem
21,Dragoon Emblem
22,Ninja Emblem
23,Samurai Emblem
24,Reaper Emblem
25,Bard Emblem
26,Machinist Emblem
27,Dancer Emblem
28,Black Mage Emblem
29,Summoner Emblem
30,Red Mage Emblem
31,Astra Emblem
32,Umbra Emblem
33,Final Conflict Crystal 1
34,Endless Conflict Blades 1
35,Rising Conflict Blades 1
36,Bronze Conflict Arms 1
37,Silver Conflict Arms 1
38,Gold Conflict Arms 1
39,Platinum Conflict Arms 1
40,Diamond Conflict Arms 1
41,Crystal Conflict Arms 1
42,Companion Buttons 1
43,Companion Buttons 2
44,Unending Coil of Bahamut
45,Weapon's Refrain
46,Epic of Alexander
47,Dragonsong's Reprise
48,Final Conflict Crystal 2
49,Endless Conflict Blades 2
50,Rising Conflict Blades 2
51,Bronze Conflict Arms 2
52,Silver Conflict Arms 2
53,Gold Conflict Arms 2
54,Platinum Conflict Arms 2
55,Diamond Conflict Arms 2
56,Crystal Conflict Arms 2
57,Final Conflict Crystal 3
58,Endless Conflict Blades 3
59,Rising Conflict Blades 3
60,Bronze Conflict Arms 3
61,Silver Conflict Arms 3
62,Gold Conflict Arms 3
63,Platinum Conflict Arms 3
64,Diamond Conflict Arms 3
65,Crystal Conflict Arms 3
66,Azure Conflict Emblem
67,Crimson Conflict Emblem
68,Sil'dihn Emblem
69,Omicron Matrices
70,Lominsan Flag
71,Gridanian Flag
72,Ul'dahn Flag
73,Floral Embellishment
74,Balloon
75,Particles
76,Music
77,Nameday
78,New Adventurer
79,Luster
80,Roses
81,Final Conflict Crystal 4
82,Endless Conflict Blades 4
83,Rising Conflict Blades 4
84,Crystal Conflict Arms 4
85,Diamond Conflict Arms 4
86,Platinum Conflict Arms 4
87,Gold Conflict Arms 4
88,Silver Conflict Arms 4
89,Bronze Conflict Arms 4
90,Final Conflict Crystal 5
91,Endless Conflict Blades 5
92,Rising Conflict Blades 5
93,Crystal Conflict Arms 5
94,Diamond Conflict Arms 5
95,Platinum Conflict Arms 5
96,Gold Conflict Arms 5
97,Silver Conflict Arms 5
98,Bronze Conflict Arms 5
99,Falcons
100,Ravens
101,Pixie Rainbows
102,Qitari Rope
103,Dwarven Blocks
104,Arkasodara Charms
105,Loporrit Stars
106,Omega Protocol
107,Eureka Orthos
108,Enaretos
109,Island Vacation
110,Island Memories
111,Final Conflict Crystal 6
112,Endless Conflict Blades 6
113,Rising Conflict Blades 6
114,Crystal Conflict Arms 6
115,Diamond Conflict Arms 6
116,Platinum Conflict Arms 6
117,Gold Conflict Arms 6
118,Silver Conflict Arms 6
119,Bronze Conflict Arms 6
120,Final Conflict Crystal 7
121,Endless Conflict Blades 7
122,Rising Conflict Blades 7
123,Crystal Conflict Arms 7
124,Diamond Conflict Arms 7
125,Platinum Conflict Arms 7
126,Gold Conflict Arms 7
127,Silver Conflict Arms 7
128,Bronze Conflict Arms 7
129,Aramitama Kimen
130,Nigimitama Okinamen
131,Kojin Buoys
132,Ananta Hearts
133,Namazu Lanterns
134,Blue Mage Emblem
135,Ten Year Anniversary Logo
136,Rokkon Emblem
137,Dolphins
138,Hooked a Big 'Un!
139,Mahjong Tiles
140,Palaistra Ribbons
141,Cloud Nine Ivy
142,Final Conflict Crystal 8
143,Endless Conflict Blades 8
144,Rising Conflict Blades 8
145,Crystal Conflict Arms 8
146,Diamond Conflict Arms 8
147,Platinum Conflict Arms 8
148,Gold Conflict Arms 8
149,Silver Conflict Arms 8
150,Bronze Conflict Arms 8
151,Final Conflict Crystal 9
152,Endless Conflict Blades 9
153,Rising Conflict Blades 9
154,Crystal Conflict Arms 9
155,Diamond Conflict Arms 9
156,Platinum Conflict Arms 9
157,Gold Conflict Arms 9
158,Silver Conflict Arms 9
159,Bronze Conflict Arms 9
160,Final Conflict Crystal 10
161,Endless Conflict Blades 10
162,Rising Conflict Blades 10
163,Crystal Conflict Arms 10
164,Diamond Conflict Arms 10
165,Platinum Conflict Arms 10
166,Gold Conflict Arms 10
167,Silver Conflict Arms 10
168,Bronze Conflict Arms 10
169,Vanu Vanu Cords
170,Vath Vents
171,Moogle Lamps
172,Symbol of the Fury
173,Symbol of the Lover
174,Symbol of the Scholar
175,Symbol of the Spinner
176,Symbol of the Navigator
177,Symbol of the Wanderer
178,Symbol of the Builder
179,Symbol of the Destroyer
180,Symbol of the Warden
181,Symbol of the Traders
182,Symbol of the Matron
183,Symbol of the Keeper
184,Aloalo Emblem
185,Wondrous Seals
186,Faux Panels
187,Blunderful Bean
188,Blunderous Gemstone
189,Blunder-villed Crown
190,
