key,4
#,Name
offset,0
int32,str
0,
1,
2,Fade to Black
3,Fade to White
4,Solid White
5,Metallic Silver
6,Metallic Gold
7,Journal
8,Plain
9,Beveled
10,Antique
11,Corner Accent
12,Paladin
13,Warrior
14,Dark Knight
15,Gunbreaker
16,White Mage
17,Scholar
18,Astrologian
19,Sage
20,Monk
21,Dragoon
22,Ninja
23,Samurai
24,Reaper
25,Bard
26,Machinist
27,Dancer
28,Black Mage
29,Summoner
30,Red Mage
31,Team Astra
32,Team Umbra
33,Final Conflict 1
34,Endless Conflict 1
35,Rising Conflict 1
36,Bronze Conflict 1
37,Silver Conflict 1
38,Gold Conflict 1
39,Platinum Conflict 1
40,Diamond Conflict 1
41,Crystal Conflict 1
42,Companion 1
43,Companion 2
44,Unending Coil of Bahamut
45,Weapon's Refrain
46,Epic of Alexander
47,Dragonsong's Reprise
48,Final Conflict 2
49,Endless Conflict 2
50,Rising Conflict 2
51,Bronze Conflict 2
52,Silver Conflict 2
53,Gold Conflict 2
54,Platinum Conflict 2
55,Diamond Conflict 2
56,Crystal Conflict 2
57,Final Conflict 3
58,Endless Conflict 3
59,Rising Conflict 3
60,Bronze Conflict 3
61,Silver Conflict 3
62,Gold Conflict 3
63,Platinum Conflict 3
64,Diamond Conflict 3
65,Crystal Conflict 3
66,Azure Conflict
67,Crimson Conflict
68,Sil'dihn Subterrane (Variant)
69,Comic Panel
70,Metallic Arch
71,Film
72,Focus Lines
73,Fog
74,Black Lace
75,White Lace
76,NQ Item
77,HQ Item
78,Final Conflict 4
79,Endless Conflict 4
80,Rising Conflict 4
81,Crystal Conflict 4
82,Diamond Conflict 4
83,Platinum Conflict 4
84,Gold Conflict 4
85,Silver Conflict 4
86,Bronze Conflict 4
87,Final Conflict 5
88,Endless Conflict 5
89,Rising Conflict 5
90,Crystal Conflict 5
91,Diamond Conflict 5
92,Platinum Conflict 5
93,Gold Conflict 5
94,Silver Conflict 5
95,Bronze Conflict 5
96,Falcons
97,Ravens
98,Omega Protocol
99,Four Lords
100,Island Vacation
101,Island Memories
102,Final Conflict 6
103,Endless Conflict 6
104,Rising Conflict 6
105,Crystal Conflict 6
106,Diamond Conflict 6
107,Platinum Conflict 6
108,Gold Conflict 6
109,Silver Conflict 6
110,Bronze Conflict 6
111,Final Conflict 7
112,Endless Conflict 7
113,Rising Conflict 7
114,Crystal Conflict 7
115,Diamond Conflict 7
116,Platinum Conflict 7
117,Gold Conflict 7
118,Silver Conflict 7
119,Bronze Conflict 7
120,Aramitama
121,Nigimitama
122,Blue Mage
123,Ten Year Anniversary
124,Mount Rokkon (Variant)
125,Adventurous Angling
126,Big Fish
127,Mahjong Mastery
128,End of an Era
129,Palaistra
130,Cloud Nine
131,Final Conflict 8
132,Endless Conflict 8
133,Rising Conflict 8
134,Crystal Conflict 8
135,Diamond Conflict 8
136,Platinum Conflict 8
137,Gold Conflict 8
138,Silver Conflict 8
139,Bronze Conflict 8
140,Final Conflict 9
141,Endless Conflict 9
142,Rising Conflict 9
143,Crystal Conflict 9
144,Diamond Conflict 9
145,Platinum Conflict 9
146,Gold Conflict 9
147,Silver Conflict 9
148,Bronze Conflict 9
149,Final Conflict 10
150,Endless Conflict 10
151,Rising Conflict 10
152,Crystal Conflict 10
153,Diamond Conflict 10
154,Platinum Conflict 10
155,Gold Conflict 10
156,Silver Conflict 10
157,Bronze Conflict 10
158,Twelvefold Blessings
159,Aloalo Island (Variant)
160,Wondrous Whimsy
161,Fantastic Faux
162,Blunderful
163,Blunderous
164,Blunder-villed
165,
166,
167,
168,
169,
170,
