key,2
#,Name
offset,0
int32,str
0,None
1,Dungeons
2,Trials
3,Raids
4,Ultimate Raids
5,Deep Dungeons
6,Field Operations
7,PvP
8,Blue Mage
9,Treasure Hunts
10,The Hunt
11,Crafting
12,Botany/Mining
13,Fishing
14,Main Scenario
15,Gold Saucer
16,Duty Roulette
17,Leveling
18,Role-playing
19,Hardcore
20,Casual
21,New Adventurer
22,Mentor
23,Making Gil
24,Group Pose
25,Glamour
26,Performance Mode
27,Player Chat
28,Housing
29,Community Events
30,Achievements
31,V&C Dungeons
32,Doman Mahjong
33,Island Sanctuary
