key,0,41,42
#,ShortCode,Name,NameShort
offset,52,0,4
int32,str,str,str
0,,,
1,f1r1_re,the Thousand Maws of Toto–Rak,
2,f1d1_re,the Tam–Tara Deepcroft,
3,w1d1_re,Copperbell Mines,
4,s1d1_re,Sastasha,
5,r1r2,the Aurum Vale,
6,f1d2_re,Haukke Manor,
7,w1d2,Halatali,
8,s1d2_re,Brayflox's Longstop,
9,w1d3,the Sunken Temple of Qarn,
10,s1d3,the Wanderer's Palace,
11,r1d1_re,the Stone Vigil,
12,w1r1,Cutter's Cry,
13,r1r1,Dzemael Darkhold,
14,f1d3,Amdapor Keep,
15,w1d4_re,Castrum Meridianum,
16,w1d5_re,the Praetorium,
17,s1d4,Pharos Sirius,
18,w1d6,Copperbell Mines (Hard),
19,f1d4,Haukke Manor (Hard),
20,s1d6,Brayflox's Longstop (Hard),
21,w1d7,Halatali (Hard),
22,f1d5,the Lost City of Amdapor,
23,s1d5,Hullbreaker Isle,
24,f1d6,the Tam–Tara Deepcroft (Hard),
25,r1d2,the Stone Vigil (Hard),
26,w1d8,the Sunken Temple of Qarn (Hard),
27,r1d3_re,Snowcloak,
28,s1d7,Sastasha (Hard),
29,f1d7,Amdapor Keep (Hard),
30,s1d8,the Wanderer's Palace (Hard),
31,d2d3_re,the Great Gubal Library,
32,l1d1_re,the Keeper of the Lake,
33,a2d2,Neverreap,
34,r2d2_re,the Vault,
35,a2d3,the Fractal Continuum,
36,r2d1,the Dusk Vigil,
37,d2d1_re,Sohm Al,
38,a2d1_re,the Aetherochemical Research Facility,
39,d2d2_re,the Aery,
40,s1d9,Pharos Sirius (Hard),
41,d2d4,Saint Mocianne's Arboretum,
42,go001,Basic Training: Enemy Parties,
43,go002,Under the Armor,
44,go003,Basic Training: Enemy Strongholds,
45,go004,Hero on the Half Shell,
46,go005,Pulling Poison Posies,
47,go006,Stinging Back,
48,go007,All's Well that Ends in the Well,
49,go008,Flicking Sticks and Taking Names,
50,go009,More than a Feeler,
51,go010,Annoy the Void,
52,go011,Shadow and Claw,
53,go012,Long Live the Queen,
54,go013,Ward Up,
55,go014,Solemn Trinity,
56,w1fa_re,the Bowl of Embers,
57,s1fa_re,the Navel,
58,r1fa_re,the Howling Eye,
59,w1fa_2,the Bowl of Embers (Hard),
60,s1fa_2,the Navel (Hard),
61,r1fa_2,the Howling Eye (Hard),
62,,,
63,w1fa_3,the Bowl of Embers (Extreme),
64,s1fa_3,the Navel (Extreme),
65,r1fa_3,the Howling Eye (Extreme),
66,f1fa_re,Thornmarch (Hard),
67,f1fa_2,Thornmarch (Extreme),
68,w1fb,the Minstrel's Ballad: Ultima's Bane,
69,z1z4,The Gilded Araya,
70,z1z1,Special Event I,
71,z1z2,Special Event II,
72,o1fa,the <hex:021A020203>Whorleater<hex:021A020103> (Hard),
73,o1fa_2,the <hex:021A020203>Whorleater<hex:021A020103> (Extreme),
74,r1f1_battle,A Relic Reborn: the Chimera,
75,w1d2_battle,A Relic Reborn: the Hydra,
76,r1fb,Battle on the Big Bridge,
77,f1fb,the Striking Tree (Hard),
78,f1fb_2,the Striking Tree (Extreme),
79,r1fc,the Akh Afah Amphitheatre (Hard),
80,r1fc_2,the Akh Afah Amphitheatre (Extreme),
81,w1d7_battle,the Dragon's Neck,
82,f1f3_battle,Urth's Fount,
83,,,
84,z1e9,the Chrysalis,
85,f1d3_battle,Battle in the Big Keep,
86,d2fa,Thok ast Thok (Hard),
87,d2fa_2,Thok ast Thok (Extreme),
88,a2fa,the Limitless Blue (Hard),
89,a2fa_2,the Limitless Blue (Extreme),
90,a2fb,the Singularity Reactor,
91,a2fb_2,the Minstrel's Ballad: Thordan's Reign,
92,l1r1,the Labyrinth of the Ancients,
93,s1b1,the Binding Coil of Bahamut - Turn 1,
94,s1b2,the Binding Coil of Bahamut - Turn 2,
95,s1b3,the Binding Coil of Bahamut - Turn 3,
96,s1b4,the Binding Coil of Bahamut - Turn 4,
97,s1b5,the Binding Coil of Bahamut - Turn 5,
98,f1b1,the Second Coil of Bahamut - Turn 1,
99,f1b2,the Second Coil of Bahamut - Turn 2,
100,f1b3,the Second Coil of Bahamut - Turn 3,
101,f1b4,the Second Coil of Bahamut - Turn 4,
102,l1r2,Syrcus Tower,
103,f1b1_2,the Second Coil of Bahamut (Savage) - Turn 1,
