key,0,2
#,Singular,Plural
offset,0,4
int32,str,str
2000000,,
2000001,透明君※α未使用,
2000002,草むらテスト※α未使用,
2000003,クエストツールテスト※α未使用,
2000004,クエストツールテスト２※α未使用,
2000006,草むら※α未使用,
2000007,草むら※α未使用,
2000008,Hedgetree,Hedgetrees
2000009,destination,destinations
2000010,anole egg,anole eggs
2000011,anole egg,anole eggs
2000012,anole egg,anole eggs
2000013,anole egg,anole eggs
2000014,anole egg,anole eggs
2000015,,
2000016,decaying tree,decaying trees
2000017,decaying tree,decaying trees
2000018,decaying tree,decaying trees
2000019,,
2000020,vegetable offering,vegetable offerings
2000021,vegetable offering,vegetable offerings
2000022,vegetable offering,vegetable offerings
2000023,vegetable offering,vegetable offerings
2000024,vegetable offering,vegetable offerings
2000025,vegetable offering,vegetable offerings
2000026,Azeyma rose hip,Azeyma rose hips
2000027,Azeyma rose hip,Azeyma rose hips
2000028,Azeyma rose hip,Azeyma rose hips
2000029,Azeyma rose hip,Azeyma rose hips
2000030,Azeyma rose hip,Azeyma rose hips
2000031,Azeyma rose hip,Azeyma rose hips
2000032,,
2000033,埋門,
2000034,,
2000035,,
2000037,,
2000038,,
2000039,magitek photocell,magitek photocells
2000040,,
2000041,,
2000042,destination,destinations
2000043,moist depression,moist depressions
2000044,moist depression,moist depressions
2000045,moist depression,moist depressions
2000046,exit,exits
2000047,,
2000048,matter relocation device,matter relocation devices
2000051,,
2000052,,
2000053,warm egg,warm eggs
2000054,,
2000055,cultist rosary,cultist rosaries
2000056,cultist rosary,cultist rosaries
2000057,cultist rosary,cultist rosaries
2000058,sealed barrier,sealed barriers
2000059,sealed barrier,sealed barriers
2000060,sealed barrier,sealed barriers
2000061,cultist orb,cultist orbs
2000062,cultist orb,cultist orbs
2000063,cultist orb,cultist orbs
2000064,abyssal cocoon,
2000065,stone bridge,
2000066,exit,exits
2000067,cultist orb,cultist orbs
2000068,,
2000069,,
2000070,censer,censers
2000071,censer,censers
2000072,summoning bell,summoning bells
2000073,market board,market boards
2000075,destination,destinations
2000076,destination,destinations
2000077,destination,destinations
2000078,destination,destinations
2000087,heavy oaken door,heavy oaken doors
