key,0,2,9
#,Singular,Plural,Name
offset,0,4,8
int32,str,str,str
2000000,[en],,
2000021,wooden hairpin,wooden hairpins,Wooden Hairpin
2000024,recruit's toolbox,recruit's toolboxes,Recruit's Toolbox
2000028,Azeyma rose,Azeyma roses,Azeyma Rose
2000029,iron snaffle,iron snaffles,Iron Snaffle
2000038,fire candy,fire candies,Fire Candy
2000039,wind candy,wind candies,Wind Candy
2000040,earth candy,earth candies,Earth Candy
2000041,bomb digit,bomb digits,Bomb Digit
2000042,warding lantern,warding lantern,Warding Lantern
2000043,bomb digit,bomb digits,Bomb Digit
2000044,spooky sparkler,spooky sparkler,Spooky Sparkler
2000045,fire candy,fire candies,Fire Candy
2000046,wind candy,wind candies,Wind Candy
2000047,earth candy,earth candies,Earth Candy
2000048,bomb digit,bomb digits,Bomb Digit
2000049,warding lantern,warding lantern,Warding Lantern
2000050,bomb digit,bomb digits,Bomb Digit
2000051,spooky sparkler,spooky sparkler,Spooky Sparkler
2000052,fire candy,fire candies,Fire Candy
2000053,wind candy,wind candies,Wind Candy
2000054,earth candy,earth candies,Earth Candy
2000055,bomb digit,bomb digits,Bomb Digit
2000056,warding lantern,warding lantern,Warding Lantern
2000057,bomb digit,bomb digits,Bomb Digit
2000058,spooky sparkler,spooky sparkler,Spooky Sparkler
2000061,pot of amber unguent,pots of amber unguent,Amber Unguent
2000062,chigoe egg sac,chigoe egg sacs,Chigoe Egg Sac
2000071,anole egg,anole eggs,Anole Egg
2000074,handmade eel pie,handmade eel pies,Handmade Eel Pie
2000075,bag of stolen Mun-Tuy beans,bags of stolen Mun-Tuy beans,Stolen Mun-Tuy Beans
2000076,scented letter,scented letters,Scented Letter
2000077,microchu leaflet,microchu leaflets,Microchu Leaflet
2000079,F'mibhas's sealed message,F'mibhas's sealed messages,F'mibhas's Sealed Message
2000080,bag of basic provisions,bags of basic provisions,Basic Provisions
2000081,bone spearhead,bone spearheads,Bone Spearhead
2000082,pot of beeswax oil,pots of beeswax oil,Beeswax Oil
2000083,length of brambleweed rope,lengths of brambleweed rope,Brambleweed Rope
2000084,Azeyma rose hip,Azeyma rose hips,Azeyma Rose Hip
2000085,fresh bunch of gysahl greens,fresh bunches of gysahl greens,Fresh Gysahl Greens
2000092,roselet seed,roselet seeds,Roselet Seed
2000093,strand of newly spun diremite webbing,strands of newly spun diremite webbing,Newly Spun Diremite Web
2000094,bottle of stingbrew,bottles of stingbrew,Stingbrew
2000095,smoldering coal,smoldering coals,Smoldering Coal
2000096,Leia's egg,Leia's eggs,Leia's Egg
2000097,Keitha's letter,Keitha's letters,Keitha's Letter
2000098,phial of scarlet oil,phials of scarlet oil,Scarlet Oil
2000099,bag of dead hornets,bags of dead hornets,Dead Hornets
2000100,bottle of flat ale,bottles of flat ale,Flat Ale
2000101,phial of Azeyma rose oil,phials of Azeyma rose oil,Azeyma Rose Oil
2000102,Stone of Courage,Stones of Courage,Stone of Courage
2000103,flask of humus oil,flasks of humus oil,Humus Oil
2000104,rusted octant,rusted octants,Rusted Octant
2000105,rusted octant,rusted octants,Rusted Octant
2000119,handmade eel pie,handmade eel pies,Handmade Eel Pie
2000120,handmade eel pie,handmade eel pies,Handmade Eel Pie
2000121,flask of pristine water,flasks of pristine water,Pristine Water
2000122,Stone of Courage,Stones of Courage,Stone of Courage
2000123,magitek photocell,magitek photocells,Magitek Photocell
2000124,carrion chigoe egg sac,carrion chigoe egg sacs,Carrion Chigoe Egg Sac
2000125,tattered uniform,tattered uniforms,Tattered Uniform
2000126,plump honeybee,plump honeybees,Plump Honeybee
2000127,sticky leaf,sticky leaves,Sticky Leaf
2000128,poached pelt,poached pelts,Poached Pelt
2000136,sealed envelope,sealed envelopes,Sealed Envelope
2000137,Franz the Fair flyer,Franz the Fair flyers,Franz the Fair Flyer
2000138,shrew pelt,shrew pelts,Shrew Pelt
2000140,burlap sack,burlap sacks,Burlap Sack
2000141,set of survey records,sets of survey records,Survey Records
2000142,bog yarzon shell,bog yarzon shells,Bog Yarzon Shell
2000143,glimshroom,glimshrooms,Glimshroom
2000144,basketful of aphids,basketfuls of aphids,Aphids
2000146,box of surveyor's instruments,boxes of surveyor's instruments,Surveyor's Instruments
2000147,surveyor's rope,surveyor's ropes,Surveyor's Rope
2000148,East Aldenard Trading Company cargo crate,East Aldenard Trading Company cargo crates,East Aldenard Trading Company Cargo
2000149,bottle of cactuar blood,bottles of cactuar blood,Cactuar Blood
2000150,piece of Fafafono's baggage,pieces of Fafafono's baggage,Fafafono's Baggage
2000151,slice of funguar gills,slices of funguar gills,Funguar Gills
2000152,microchu vine,microchu vines,Microchu Vine
2000153,chunk of magnetite,chunks of magnetite,Magnetite
2000154,copper lure,copper lures,Copper Lure
2000164,bottle of coblyn grease,bottles of coblyn grease,Coblyn Grease
2000165,letter to Momodi,letters to Momodi,Letter to Momodi
2000168,antling mandible,antling mandibles,Antling Mandible
2000169,hammer beak rib,hammer beak ribs,Hammer Beak Rib
2000170,silver ore cluster,silver ore clusters,Silver Ore Cluster
2000177,hammer beak rib,hammer beak ribs,Hammer Beak Rib
2000185,well-worn fishing rod,well-worn fishing rods,Well-worn Fishing Rod
2000186,Roseline's missive,Roseline's missives,Roseline's Missive
2000187,Roseline's missive,Roseline's missives,Roseline's Missive
2000188,Roseline's missive,Roseline's missives,Roseline's Missive
2000189,clay krater,clay kraters,Clay Krater
2000191,worn leather bag,worn leather bags,Leather Bag
2000192,bouquet of Nymeia lilies,bouquets of Nymeia lilies,Nymeia Lilies
2000193,thousand-year plum,thousand-year plums,Thousand-year Plum
2000196,bottle of deep-green tonic,bottles of deep-green tonic,Deep-green Tonic
2000197,cracked vase,cracked vases,Cracked Vase
2000198,handful of dropped gil,handfuls of dropped gil,Dropped Gil
2000199,receipt of purchase,receipts of purchase,Receipt of Purchase
2000200,slice of salt-cured antelope,slices of salt-cured antelope,Salt-cured Antelope
2000201,order slip,order slips,Order Slip
2000203,box of dried Mun-Tuy beans,boxes of dried Mun-Tuy beans,Mun-Tuy Bean Box
2000204,small cane,small canes,Small Cane
2000205,small cane,small canes,Small Cane
2000206,box of hunting tools,boxes of hunting tools,Hunting Tools
2000209,pile of antelope umbles,piles of antelope umbles,Antelope Umbles
2000210,ochu leaflet,ochu leaflets,Ochu Leaflet
2000211,cut of fresh shrew meat,cuts of fresh shrew meat,Fresh Shrew Meat
2000212,silver ore cluster,silver ore clusters,Silver Ore Cluster
2000214,slice of fatty orobon,slices of fatty orobon,Fatty Orobon
2000215,bottle of spoken blood,bottles of spoken blood,Spoken Blood
2000216,Amajina & Sons coffer,Amajina & Sons coffers,Amajina & Sons Coffer
2000217,Naldiq & Vymelli missive,Naldiq & Vymelli missives,Naldiq & Vymelli Missive
2000218,packed lunch,packed lunches,Packed Lunch
2000219,lightning sprite core,lightning sprite cores,Lightning Sprite Core
2000220,curved jackal fang,curved jackal fangs,Curved Jackal Fang
2000221,lump of fetid dodo flesh,lumps of fetid dodo flesh,Fetid Dodo Flesh
2000222,folded sailcloth,folded sailcloths,Folded Sailcloth
2000223,brass helm wheel,brass helm wheels,Brass Helm Wheel
2000224,knot of tangled rigging,knots of tangled rigging,Knot of Tangled Rigging
2000225,La Noscean lilybell,La Noscean lilybells,La Noscean Lilybell
2000228,muddy potsherd,muddy potsherds,Muddy Potsherd
2000229,magicked blade,magicked blades,Magicked Blade
2000230,sack of foul-smelling bait,sacks of foul-smelling bait,Foul-smelling Bait
2000231,bone whistle,bone whistles,Bone Whistle
2000232,bottle of Fullflower mead,bottles of Fullflower mead,Fullflower Mead
2000233,balloon finger,balloon fingers,Balloon Finger
2000234,oily order slip,oily order slips,Oily Order Slip
2000235,alchemic potation,alchemic potations,Alchemic Potation
2000236,bloody boar tusk,bloody boar tusks,Bloody Boar Tusk
2000237,piece of fallen cargo,pieces of fallen cargo,Fallen Cargo
2000238,plantation pumpkin,plantation pumpkins,Plantation Pumpkin
2000239,crumbling ginger cookie,crumbling ginger cookies,Crumbling Ginger Cookie
2000240,Luquelot's letter,Luquelot's letters,Luquelot's Letter
2000241,torn timetable,torn timetables,Torn Timetable
2000242,bunch of broad-leaf gysahl greens,bunches of broad-leaf gysahl greens,Broad-leaf Gysahl Greens
2000243,bottle of spoken blood,bottles of spoken blood,Spoken Blood
2000244,cultist rosary,cultist rosaries,Cultist Rosary
2000245,gaudy ring,gaudy rings,Gaudy Ring
2000246,smoked crayfish balls,smoked crayfish balls,Smoked Crayfish Balls
2000247,Mun-Tuy bean delivery,Mun-Tuy bean deliveries,Mun-Tuy Bean Delivery
2000248,suit of unworn plate mail,suits of unworn plate mail,Unworn Plate Mail
2000249,Miounne's letter,Miounne's letters,Miounne's Letter
2000250,wooden lockbox,wooden lockboxes,Wooden Lockbox
2000251,poached hide,poached hides,Poached Hide
2000252,stolen crate,stolen crates,Stolen Crate
2000253,golem fragment,golem fragments,Golem Fragment
2000254,earth sprite core,earth sprite cores,Earth Sprite Core
2000255,stolen shipping crate,stolen shipping crates,Stolen Shipping Crate
2000256,cactus leaf,cactus leaves,Cactus Leaf
2000257,golem soulstone,golem soulstones,Golem Soulstone
2000258,crate of contraband,crates of contraband,Contraband
2000259,slip of bloody parchment,slips of bloody parchment,Bloody Parchment
2000260,tiny key,tiny keys,Tiny Key
2000261,white key,white keys,White Key
2000262,red key,red keys,Red Key
2000263,green key,green keys,Green Key
2000264,yellow key,yellow keys,Yellow Key
2000265,throbbing maple log,throbbing maple logs,Throbbing Maple Log
2000266,twitching maple branch,twitching maple branches,Twitching Maple Branch
2000267,treant acorn,treant acorns,Treant Acorn
2000268,ash sapling,ash saplings,Ash Sapling
2000269,ash sapling branch,ash sapling branches,Ash Sapling Branch
2000270,sprig of east bank mistletoe,sprigs of east bank mistletoe,East Bank Mistletoe
2000271,bundle of chopped firewood,bundles of chopped firewood,Chopped Firewood
2000272,bundle of dry kindling,bundles of dry kindling,Dry Kindling
2000273,pot of pure latex,pots of pure latex,Pure Latex
2000274,pot of impure latex,pots of impure latex,Impure Latex
2000275,thinned ash log,thinned ash logs,Thinned Ash Log
2000276,thinned ash branch,thinned ash branches,Thinned Ash Branch
2000277,straight ash log,straight ash logs,Straight Ash Log
2000278,heavenspillar root,heavenspillar roots,Heavenspillar Root
2000279,piece of heavenspillar bark,pieces of heavenspillar bark,Heavenspillar Bark
2000280,thick heavenspillar root,thick heavenspillar roots,Thick Heavenspillar Root
2000281,ochu seed,ochu seeds,Ochu Seed
2000282,dried ochu leaf,dried ochu leaves,Dried Ochu Leaf
2000283,piece of spore-covered bark,pieces of spore-covered bark,Spore-covered Bark
2000284,piece of worm-eaten bark,pieces of worm-eaten bark,Worm-eaten Bark
2000285,large chestnut,large chestnuts,Large Chestnut
2000286,rotten chestnut,rotten chestnuts,Rotten Chestnut
2000287,golden chestnut,golden chestnuts,Golden Chestnut
2000288,sprig of west bank mistletoe,sprigs of west bank mistletoe,West Bank Mistletoe
2000289,long ash log,long ash logs,Long Ash Log
2000290,thin ash log,thin ash logs,Thin Ash Log
2000291,roselet seed,roselet seeds,Roselet Seed
2000292,withered roselet leaf,withered roselet leaves,Withered Roselet Leaf
2000293,sprouted roselet seed,sprouted roselet seeds,Sprouted Roselet Seed
2000294,sprig of quickweed,sprigs of quickweed,Quickweed
2000295,sprig of jessamine,sprigs of jessamine,Jessamine
2000296,pot of clear maple sap,pots of clear maple sap,Clear Maple Sap
2000297,pot of clouded maple sap,pots of clouded maple sap,Clouded Maple Sap
2000298,piece of branded bark,pieces of branded bark,Branded Bark
2000299,bed of green moss,beds of green moss,Green Moss Bed
2000300,pot of giant brambleweed sap,pots of giant brambleweed sap,Giant Brambleweed Sap
2000301,giant brambleweed thorn,giant brambleweed thorns,Giant Brambleweed Thorn
2000302,dried Mun-Tuy bean,dried Mun-Tuy beans,Dried Mun-Tuy Bean
2000303,Shroud iris,Shroud irises,Shroud Iris
2000304,exposed tree root,exposed tree roots,Exposed Tree Root
2000305,withered tree root,withered tree roots,Withered Tree Root
2000306,healthy tree root,healthy tree roots,Healthy Tree Root
2000307,sprig of young galago mint,sprigs of young galago mint,Young Galago Mint
2000308,sprig of mature galago mint,sprigs of mature galago mint,Mature Galago Mint
2000309,Gelmorran coin,Gelmorran coins,Gelmorran Coin
2000310,patinated metal shard,patinated metal shards,Patinated Metal Shard
2000311,two-yalm switch,two-yalm switches,Two-yalm Switch
2000312,rotting leaf,rotting leaves,Rotting Leaf
2000313,handful of soldier's sore berries,handfuls of soldier's sore berries,Soldier's Sore Berries
2000314,soldier's sore leaf,soldier's sore leaves,Soldier's Sore Leaf
2000315,sprite apple,sprite apples,Sprite Apple
2000316,hairy caterpillar,hairy caterpillars,Hairy Caterpillar
2000317,spotted mushroom,spotted mushrooms,Spotted Mushroom
2000318,spore-covered nail,spore-covered nails,Spore-covered Nail
2000319,practice spear,practice spears,Practice Spear
2000320,bag of compost,bags of compost,Compost Bag
2000321,mite egg,mite eggs,Mite Egg
2000322,whitecap,whitecaps,Whitecap
2000323,iron leg trap,iron leg traps,Iron Leg Trap
2000324,bottle of Solace,bottles of Solace,Solace
2000325,slice of antelope loin,slice of antelope loin,Antelope Loin
2000326,chewed Necrologos page,chewed Necrologos pages,Chewed Necrologos Page
2000327,bottle of homebrew,bottles of homebrew,Homebrew
2000328,torn Necrologos page,torn Necrologos pages,Torn Necrologos Page
2000329,ripped Necrologos page,ripped Necrologos pages,Ripped Necrologos Page
2000330,adamantoise egg,adamantoise eggs,Adamantoise Egg
2000331,poached hide,poached hides,Poached Hide
2000332,water sprite core,water sprite cores,Water Sprite Core
2000333,large pollen cluster,large pollen clusters,Large Pollen Cluster
2000335,vulture breast,vulture breasts,Vulture Breast
2000336,slice of raw orobon,slices of raw orobon,Raw Orobon
2000337,dirty diary,dirty diaries,Dirty Diary
2000338,package to the Foremast,packages to the Foremast,Foremast Package
2000339,package to the De Nevelle Checkpoint,packages to the De Nevelle Checkpoint,De Nevelle Checkpoint Package
2000340,water sprite core,water sprite cores,Water Sprite Core
2000341,sack of rotting rat meat,sacks of rotting rat meat,Rotting Rat Meat
2000342,millioncorn seedling,millioncorn seedlings,Millioncorn Seedling
2000343,iron brazier,iron braziers,Iron Brazier
2000344,bomb claw,bomb claws,Bomb Claw
2000345,wooden casket,wooden caskets,Wooden Casket
2000346,fertilized dodo egg,fertilized dodo eggs,Fertilized Dodo Egg
2000347,bushel of blackloam,bushels of blackloam,Blackloam
2000348,stolen farm tool,stolen farm tools,Stolen Farm Tool
2000350,tiller's shovel,tiller's shovels,Tiller's Shovel
2000351,ripe La Noscean orange,ripe La Noscean oranges,Ripe La Noscean Orange
2000352,piece of Fafafono's baggage,pieces of Fafafono's baggage,Fafafono's Baggage
2000353,piece of Fafafono's baggage,pieces of Fafafono's baggage,Fafafono's Baggage
2000354,letter to Kikipu,letters to Kikipu,Letter to Kikipu
2000355,hammer beak tailfeather,hammer beak tailfeathers,Hammer Beak Tailfeather
2000356,sack of oranges,sacks of oranges,Sack of Oranges
2000357,sack of gil,sacks of gil,Sack of Gil
2000367,hornet stinger,hornet stingers,Hornet Stinger
