key,1,2
#,BigFish{OnReach},BigFish{OnEnd}
offset,0,4
int32,str,str
0,,
1,REACH!,FAIL!
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,You sense something larger than even a great takitaro!,You no longer sense anything out of the ordinary.
18,,
19,,
20,,
21,You sense something massive just below the surface!,You no longer sense anything out of the ordinary.
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,The water falls dark...,A faint glow returns to the water.
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,A golden figure lurks near the surface!,The golden figure has retreated to the murky depths.
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,Something large has risen from the depths to feed!,You no longer sense anything out of the ordinary.
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,You sense something even more terrible than Canavan in the waters before you!,You no longer sense anything out of the ordinary.
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,You sense a new legend might be told this day...,You no longer sense anything out of the ordinary.
109,,
110,,
111,,
112,It smells of a rat...,The stench has abated.
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,You sense something deep beneath the magma...,You no longer sense anything out of the ordinary.
125,,
126,,
127,Something glimmers near the river bed...,You no longer perceive anything out of the ordinary.
128,,
129,,
130,,
131,,
132,,
133,,
134,You sense the lord of these skies has returned...,You no longer sense anything out of the ordinary.
135,,
136,,
137,,
138,,
139,Lady Luck has sidled up beside you...,The good lady has departed.
140,,
141,,
142,,
143,,
144,,
145,,
146,Something wondrous this way comes...,You no longer sense anything out of the ordinary.
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,The lake begins to radiate with the colors of the rainbow!,The glow fades...
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,The stones beneath the water begin shifting hither and thither.,The stones are stationary once again.
191,,
192,,
193,,
194,,
195,,
196,A massive shadow slides across the loch floor.,The shadow is no more.
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,You see the flickering light of eyes beneath the waters.,The flickering light fades...
213,,
214,,
215,You sense eyes staring up at you from the sandy waters...,You no longer sense anything out of the ordinary.
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,A glimmering jade figure drifts beneath the waters.,The glimmer fades into the depths.
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,A large shadow dances along the loch floor.,The shadow is no more.
233,,
234,,
235,,
236,,
237,The visage of a gormless-looking Roegadyn stares at you from beneath the waters.,The face vanishes back into the depths.
238,The ocean begins to twinkle like the stars in the sky.,The twinkle fades to nothing.
239,A shadow evoking the Lord of the Whorl slithers across the ocean.,The shadow has disappeared.
240,The coral begins to wriggle about on the ocean floor.,The wriggling stops.
241,You see a metallic glint just beneath the waters.,The glint vanishes.
242,A massive boulder begins to writhe on the ocean floor.,The boulder ceases to move.
243,"You spot a glimmer of crimson, as if a ruby has floated to the surface of the ocean.",All hint of crimson vanishes.
244,The shadow lurking under the surface belongs to a beast spoken of only in legend.,The shadow is no more.
245,,
246,An aura of violent menace rises from the depths!,The sense of menace dissipates.
247,You glimpse the writhing silhouette of some vast tentacle moving just beneath the water.,The undulating shadow has withdrawn.
248,You glance down into a pair of astoundingly goblin-like eyes.,You no longer feel the weight of that goblin-like gaze.
249,"You rub your eyes, certain you'd seen a creature with no business being out on the ocean.",The out-of-place creature has moved on...or never was.
250,"A graceful, leafy form appears, swirling and dancing beneath the waves.",The leafy form has swept on out of sight.
251,A dull cracking and crunching sound echoes up from the sea floor.,"The crunching, cracking sounds fade into silence."
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,A reptilian tail writhes and splashes up to the surface!,The splashing subsides.
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,The Font's aquatic flora undulates with sudden activity! ,The activity subsides...
269,"A massive, ship-shaped silhouette darkens the waters before you.",The shadowy silhouette returns to the depths.
270,A layer of ice suddenly forms upon the lake's surface!,The frozen surface thaws.
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,A profound melancholy swells within you!,The melancholy passes as swiftly as it came...
286,A large fin breaches the ocean surface!,The fin sinks under the surface and out of sight...
287,A lethal predator draws close to the ship!,The predator loses interest...
288,A strip of red and white floats under the water's surface!,You lose sight of the colorful fish...
289,Something blue glitters deep under the water!,The glittering vanishes...
290,You feel hungry eyes track your every move!,The hungry thing decides to feast elsewhere...
291,The sea temperature rises suddenly!,The temperature of the water returns to normal...
292,The seaweed glimmers with a strange light!,The seaweed glimmers no more...
293,The scent of plums rises from the waters!,The scent of plums disappears...
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
10000,,
10001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10008,,
10009,,
10010,,
10011,,
10012,,
10013,,
10014,,
10015,,
10016,,
10017,,
10018,,
10019,,
10020,,
10021,You spot a massive shadow drifting along beneath the clouds.,The shadow is no more.
10022,,
10023,You glimpse the blurred form of some flying creature as it flashes across the sky.,"Like a living bolt of lightning, the creature flickers past and is gone."
10024,,
10025,,
10026,,
10027,,
10028,,
10029,,
10030,,
