key,6
#,
offset,24
int32,str
1000000,
1000001,Far Eastern Garb for Men
1000002,Far Eastern Garb for Women
1000003,Far Eastern Patriarch's Attire
1000004,Far Eastern Matriarch's Attire
1000005,Armoury of the Heavens' Ward: Lancer's Arms
1000006,Armoury of the Heavens' Ward: Marauder's Arms
1000007,Armoury of the Heavens' Ward: Gladiator's Arms
1000008,Armoury of the Heavens' Ward: Conjurer's Arms
1000009,Fuga Attire
1000010,Far Eastern Noble's Attire
1000011,Far Eastern Gentleman's Attire
1000012,Far Eastern Beauty's Attire
1000013,Emerald Carbuncle Attire
1000014,Topaz Carbuncle Attire
1000015,Nezha Lord's Attire
1000016,Nezha Lady's Attire
1000017,Angelic Attire
1000018,Demonic Attire
1000019,Faerie Tale Prince's Attire
1000020,Faerie Tale Princess's Attire
1000021,Mun'gaek Attire
1000022,Eastern Socialite's Attire
1000023,Far Eastern Schoolgirl's Uniform
1000024,Far Eastern Schoolboy's Uniform
1000025,Far Eastern Officer's Uniform
1000026,Far Eastern Maiden's Attire
1000027,Mheg Deaca Attire
1000028,Ruby Carbuncle Attire
1000029,Peacock Attire
1000030,Bergsteiger's Attire
1000031,Dirndl's Attire
1000032,Collegiate Attire (Slacks)
1000033,Collegiate Attire (Skirt)
1000034,Eastern Lord Errant's Attire
1000035,Eastern Lady Errant's Attire
1000036,Resshi Attire
1000037,Minfilia's Attire
1000038,Yda's Attire
1000039,Papalymo's Attire
1000040,Thancred's Attire
1000041,Urianger's Attire
1000042,Y'shtola's Attire
1000043,Cid's Attire
1000044,Garlond Ironworks Attire
1000045,Y'shtola's Modish Attire
1000046,Thancred's Modish Attire
1000047,Ward Knight's Attire
1000048,Ward Mage's Attire
1000049,Aymeric's Attire
1000050,Blackbosom Attire
1000051,Scion Liberator's Attire
1000052,Distressed Manderville Attire
1000053,Lord Hien's Attire
1000054,Gosetsu's Attire
1000055,Minfilia's Modish Attire
1000056,Krile's Attire
1000057,Alma's Attire
1000058,Brave New Y'shtola Attire
1000059,Oracle's Attire
1000060,Omega-M Attire
1000061,Omega-F Attire
1000062,Lightning's Attire
1000063,Snow's Attire
1000064,Valentione Apron Attire
1000065,Valentione Apron Dress Attire
1000066,Dashing Valentione Rose Attire
1000067,Dashing Valentione Forget-me-not Attire
1000068,Dashing Valentione Acacia Attire
1000069,Prim Valentione Rose Attire
1000070,Prim Valentione Forget-me-not Attire
1000071,Prim Valentione Acacia Attire
1000072,Lord's Suikan Set
1000073,Lady's Suikan Set
1000074,Songbird Attire
1000075,Royal Seneschal Attire
1000076,Spriggan Attire
1000077,Men's Red Summer Set
1000078,Men's Green Summer Set
1000079,Men's Blue Summer Set
1000080,Men's Solar Summer Set
1000081,Men's Lunar Summer Set
1000082,Women's Red Summer Set
1000083,Women's Green Summer Set
1000084,Women's Blue Summer Set
1000085,Women's Solar Summer Set
1000086,Women's Lunar Summer Set
1000087,Men's Black Summer Set
1000088,Men's Striped Summer Set
1000089,Women's Summer Morning Set
1000090,Women's Striped Summer Set
1000091,Legacy Warrior Attire
1000092,Eastern Faire-goer's Attire
1000093,Endless Summer Attire
1000094,Eerie Garments
1000095,Witch's Attire
1000096,Sweet Dream Attire
1000097,Reindeer Suit
1000098,Snowman Suit
1000099,Starlight Attire
1000100,Reindeer Attire
1000101,Saint's Cap and Beard Set
1000102,Choir Attire
1000103,Loyal Housemaid's Uniform
1000104,Loyal Butler's Uniform
1000105,Exclusive Eastern Journey Attire
1000106,Moogle Attire
1000107,Abes Attire
1000108,High Summoner's Attire
1000109,Chicken Attire
1000110,Street Attire
1000111,Male Werewolf Set
1000112,Female Werewolf Set
1000113,
1000114,
1000115,
1000116,
1000117,
1000118,
1000119,
1000120,
1000121,
1000122,
1000123,
1000124,
1000125,
1000126,
1000127,
1000128,
1000129,
1000130,
1000131,
1000132,
1000133,
1000134,
1000135,
1000136,
1000137,
1000138,
1000139,
1000140,
1000141,
1000142,
1000143,
1000144,
1000145,
1000146,
1000147,
1000148,
1000149,
1000150,
1000151,
1000152,
1000153,
1000154,
1000155,
1000156,
1000157,
1000158,
1000159,
1000160,
1000161,
1000162,
