key,0,2,8,9
#,Singular,Plural,Name{Rank},
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,Serpent Private Third Class,Serpent Privates Third Class,private,
2,Serpent Private Second Class,Serpent Privates Second Class,private,
3,Serpent Private First Class,Serpent Privates First Class,private,
4,Serpent Corporal,Serpent Corporals,corporal,
5,Serpent Sergeant Third Class,Serpent Sergeants Third Class,sergeant,
6,Serpent Sergeant Second Class,Serpent Sergeants Second Class,sergeant,
7,Serpent Sergeant First Class,Serpent Sergeants First Class,sergeant,
8,Chief Serpent Sergeant,Chief Serpent Sergeants,sergeant,
9,Second Serpent Lieutenant,Second Serpent Lieutenants,lieutenant,
10,First Serpent Lieutenant,First Serpent Lieutenants,lieutenant,
11,Serpent Captain,Serpent Captains,captain,
12,Second Serpent Commander,Second Serpent Commanders,commander,
13,First Serpent Commander,First Serpent Commanders,commander,
14,High Serpent Commander,High Serpent Commanders,commander,
15,Rear Serpent Marshal,Rear Serpent Marshals,rear marshal,
16,Vice Serpent Marshal,Vice Serpent Marshals,vice marshal,
17,Serpent Marshal,Serpent Marshals,marshal,
18,Grand Serpent Marshal,Grand Serpent Marshals,grand marshal,
19,Serpent Champion,Serpent Champions,champion,
