key,0,2,8,9
#,Singular,Plural,Name{Rank},
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,Storm Private Third Class,Storm Privates Third Class,private,
2,Storm Private Second Class,Storm Privates Second Class,private,
3,Storm Private First Class,Storm Privates First Class,private,
4,Storm Corporal,Storm Corporals,corporal,
5,Storm Sergeant Third Class,Storm Sergeants Third Class,sergeant,
6,Storm Sergeant Second Class,Storm Sergeants Second Class,sergeant,
7,Storm Sergeant First Class,Storm Sergeants First Class,sergeant,
8,Chief Storm Sergeant,Chief Storm Sergeants,sergeant,
9,Second Storm Lieutenant,Second Storm Lieutenants,lieutenant,
10,First Storm Lieutenant,First Storm Lieutenants,lieutenant,
11,Storm Captain,Storm Captains,captain,
12,Second Storm Commander,Second Storm Commanders,commander,
13,First Storm Commander,First Storm Commanders,commander,
14,High Storm Commander,High Storm Commanders,commander,
15,Rear Storm Marshal,Rear Storm Marshals,rear marshal,
16,Vice Storm Marshal,Vice Storm Marshals,vice marshal,
17,Storm Marshal,Storm Marshals,marshal,
18,Grand Storm Marshal,Grand Storm Marshals,grand marshal,
19,Storm Champion,Storm Champions,champion,
