key,0,2,8,9
#,Singular,Plural,Name{Rank},
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,Flame Private Third Class,Flame Privates Third Class,private,
2,Flame Private Second Class,Flame Privates Second Class,private,
3,Flame Private First Class,Flame Privates First Class,private,
4,Flame Corporal,Flame Corporals,corporal,
5,Flame Sergeant Third Class,Flame Sergeants Third Class,sergeant,
6,Flame Sergeant Second Class,Flame Sergeants Second Class,sergeant,
7,Flame Sergeant First Class,Flame Sergeants First Class,sergeant,
8,Chief Flame Sergeant,Chief Flame Sergeants,sergeant,
9,Second Flame Lieutenant,Second Flame Lieutenants,lieutenant,
10,First Flame Lieutenant,First Flame Lieutenants,lieutenant,
11,Flame Captain,Flame Captains,captain,
12,Second Flame Commander,Second Flame Commanders,commander,
13,First Flame Commander,First Flame Commanders,commander,
14,High Flame Commander,High Flame Commanders,commander,
15,Rear Flame Marshal,Rear Flame Marshals,rear marshal,
16,Vice Flame Marshal,Vice Flame Marshals,vice marshal,
17,Flame Marshal,Flame Marshals,marshal,
18,Grand Flame Marshal,Grand Flame Marshals,grand marshal,
19,Flame Champion,Flame Champions,champion,
