key,1
#,
offset,0
int32,str
0,
1,A chocobo hatchling has wandered her way to the top of Mt. Corel and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
2,A chocobo hatchling has wandered her way to the top of Mt. Corel and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
3,A chocobo hatchling has wandered her way to the top of Mt. Corel and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
4,A chocobo hatchling has wandered her way to the top of Mt. Corel and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
5,A chocobo hatchling has wandered her way to the top of Mt. Corel and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
6,A chocobo hatchling has wandered her way to the top of Mt. Corel and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
7,A chocobo hatchling has wandered her way to the top of Mt. Corel and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
8,Baby Bootkins has wandered her way to the top of El Coloso and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
9,Baby Bootkins has wandered her way to the top of El Coloso and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
10,Baby Bootkins has wandered her way to the top of El Coloso and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
11,Baby Bootkins has wandered her way to the top of El Coloso and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
12,Baby Bootkins has wandered her way to the top of El Coloso and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
13,Baby Bootkins has wandered her way to the top of El Coloso and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
14,Baby Bootkins has wandered her way to the top of El Coloso and is unable to make it back down. Avoid the barrage of gobbie bombs and rescue the frightened fledgling before she falls!
