key,0
#,Name
offset,0
int32,str
262144,
262145,
262151,Purchase Items
262152,Purchase Lalafellin Gear
262153,Purchase Roegadyn Gear
262154,Purchase Elezen Gear
262155,Purchase Hyuran Gear
262156,Purchase Miqo'te Gear
262157,
262158,Purchase Items
262159,Purchase Lalafellin Gear
262160,Purchase Roegadyn Gear
262161,Purchase Elezen Gear
262162,Purchase Hyuran Gear
262163,Purchase Miqo'te Gear
262164,Purchase Items
262165,Purchase Lalafellin Gear
262166,Purchase Roegadyn Gear
262167,Purchase Elezen Gear
262168,Purchase Hyuran Gear
262169,Purchase Miqo'te Gear
262170,
262171,
262172,
262173,
262174,
262175,
262176,
262177,
262178,Purchase Battle Accessories
262179,Purchase Field Accessories
262180,
262181,Purchase Items
262182,
262183,Purchase Tools
262184,Purchase Weapons
262185,
262186,Purchase Battle Gear
262187,Purchase Field Gear
262188,Purchase Battle Accessories
262189,Purchase Field Accessories
262190,
262191,Purchase Items
262192,
262193,Purchase Tools
262194,Purchase Weapons
262195,Purchase Battle Gear
262196,Purchase Field Gear
262197,
262198,Purchase Battle Accessories
262199,Purchase Field Accessories
262200,
262201,Purchase Items
262202,
262203,Purchase Tools
262204,Purchase Weapons
262205,Purchase Battle Gear
262206,Purchase Field Gear
262207,
262208,
262209,Purchase Weapons
262210,
262211,
262212,Purchase Battle Accessories
262213,Purchase Battle Gear
262214,Purchase Field Gear
262215,Purchase Weapons
262216,Purchase Tools
262217,Purchase Weapons
262218,Purchase Battle Gear
262219,Purchase Field Gear
262221,Purchase Tools
262222,Purchase Weapons
262223,Purchase Battle Gear
262224,Purchase Field Gear
262225,Purchase Tools
262226,Purchase Weapons
262227,Purchase Battle Gear
262228,Purchase Field Gear
262229,Purchase Tools
262230,Purchase Weapons
262231,Purchase Battle Gear
262232,Purchase Field Gear
262233,Purchase Tools
262234,Purchase Weapons
262235,Purchase Battle Gear
262236,Purchase Field Gear
262237,Purchase Tools
262238,Purchase Weapons
262239,Purchase Battle Gear
262240,Purchase Field Gear
262241,Purchase Tools
262242,Purchase Weapons
262243,Purchase Battle Gear
262244,Purchase Field Gear
262245,Purchase Tools
262246,Purchase Weapons
262247,Purchase Battle Gear
262248,Purchase Field Gear
262249,Purchase Tools
262250,Purchase Weapons
262251,Purchase Battle Gear
262252,Purchase Field Gear
262253,Purchase Tools
262254,Purchase Weapons
262255,Purchase Battle Gear
262256,Purchase Field Gear
262257,
262258,Purchase Tools
262259,Purchase Weapons
262260,Purchase Battle Gear
262261,Purchase Field Gear
262262,Purchase Tools
262263,Purchase Weapons
262264,Purchase Battle Gear
262265,Purchase Field Gear
262266,Purchase Tools
262267,Purchase Weapons
262268,Purchase Battle Gear
262269,Purchase Field Gear
262270,Purchase Weapons
262271,Purchase Tools
262272,Purchase Battle Gear
262273,Purchase Field Gear
262274,Purchase Tools
262275,Purchase Weapons
262276,Purchase Battle Gear
262277,Purchase Field Gear
262278,Purchase Weapons
262279,Purchase Tools
262280,Purchase Battle Gear
262281,Purchase Field Gear
