key,10
#,Name
offset,0
int32,str
0,None
1,Duty Commenced
2,Duty Complete
3,
4,Forward!
5,Quest Accepted
6,Quest Complete
7,FATE Joined
8,FATE Complete
9,
10,Level Up!
11,GATE Joined
12,GATE Complete
13,
14,Chocobo Race: Start!
15,Chocobo Race: Goal!
16,Chocobo Race: Challenge Complete
17,Monster Toss: Nice Shot!
18,Monster Toss: Miss
19,Mini-game: Pulverizing!!!
20,Mini-game: Crushing!!
21,Mini-game: Glancing!
22,
23,Light Party
24,Full Party
25,Level Down...
26,FINAL FANTASY XIV Online (White)
27,FINAL FANTASY XIV Online (Black)
28,
29,
30,Triple Triad: ★
31,Triple Triad: ★★
32,Triple Triad: ★★★
33,Triple Triad: ★★★★
34,Triple Triad: ★★★★★
35,Triple Triad: 1
36,Triple Triad: 2
37,Triple Triad: 3
38,Triple Triad: 4
39,Triple Triad: 5
40,Triple Triad: 6
41,Triple Triad: 7
42,Triple Triad: 8
43,Triple Triad: 9
44,Triple Triad: A
45,Triple Triad: 0
46,
47,
48,
49,
50,Gridanian Flag
51,Lominsan Flag
52,Ul'dahn Flag
53,Ishgardian Flag
54,Ala Mhigan Flag
55,Kugane Flag
56,Doman Flag
57,Crystarium Flag
58,Eulmoran Flag
59,Bozjan Flag
60,Straight Face
61,Smile
62,Grin
63,Wink
64,
65,Smirk
66,Taunt
67,Shut Eyes
68,Amazed
69,Alert
70,Pucker Up
71,Concentrate
72,Mild
73,Beam
74,Big Grin
75,Reflect
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,Exclamation Mark
91,Question Mark
92,Interrobang 1
93,Interrobang 2
94,Ellipsis
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,Standard Bubble
111,Thought Bubble
112,Loud Bubble
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,Sparkle 1 
131,Heart 
132,Flare 
133,Footprint 
134,Sparkle 1 
135,Sunglasses
136,Heart 
137,Flare 
138,Lips
139,Footprint 
140,Arrow
141,Triangle 
142,Square 
143,Pentagon 
144,Flower 
145,Bokeh 
146,Musical Note 1 
147,Musical Note 2 
148,Musical Note 
149,Triangle 
150,Square 
151,Pentagon 
152,Flower 
153,Bokeh 
154,Sparkle 2 
155,Sparkle 2 
156,Sparkle 3 
157,Sparkle 3 
158,Sparkle 4 
159,Sparkle 4 
160,Star
161,Confetti
162,
163,
164,
165,
166,
167,
168,
169,
170,Meat Miq'abob
171,Antelope Steak
172,Dodo Omelette
173,Fried Egg
174,Grilled Trout
175,Tuna Miq'abob
176,Parsnip Salad
177,Forest Miq'abob
178,Flatbread
179,Dark Pretzel
180,Knight's Bread
181,Finger Sandwich
182,Apple Tart
183,Pea Soup
184,Ginger Cookie
185,Heart Chocolate
186,Pumpkin Cookie
187,Orange Juice
188,Mulled Tea
189,Battered Fish
190,Ishgardian Muffin
191,Baguette
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,Pink Bean
218,Pegwin
219,
220,Wind-up Nidhogg
221,Mammet #001
222,Wayward Hatchling
223,Cherry Bomb
224,Baby Behemoth
225,Morbol Seedling
226,Dust Bunny
227,Cactuar Cutting
228,Smallshell
229,Goobbue Sproutling
230,Demon Brick
231,Wind-up Cursor
232,Wind-up Qiqirn
233,Wolf Pup
234,Coeurl Kitten
235,Wind-up Tonberry
236,Magic Broom
237,Wind-up Moogle
238,Nutkin
239,Fat Cat
240,Water Imp
241,Accompaniment Node
242,Paissa Brat
243,Korpokkur Kid
244,Odder Otter
245,Wind-up Namazu
246,Wind-up Khloe
247,Mameshiba
248,The Great Serpent of Ronka
249,Giant Beaver
250,The Major-General
251,Cait Sith Doll
252,Bluebird
253,Fledgling Dodo
254,Fledgling Apkallu
255,Tender Lamb
256,Kidragora
257,Tight-beaked Parrot
258,Wind-up Succubus
259,Wind-up Gilgamesh
260,Onion Prince
261,Eggplant Knight
262,Garlic Jester
263,Tomato King
264,Mandragora Queen
265,Wind-up Ultros
266,Enkidu
267,Atrophied Atomos
268,Gaelikitten
269,Lesser Panda
270,Penguin Prince
271,Piggy
272,Shaggy Shoat
273,Road Sparrow
274,Wind-up Chimera
275,Yukinko Snowflake
276,Fox Kit
277,Shoebill
278,Bacon Bits
279,Sand Fox
280,Much-coveted Mora
281,Heavy Hatchling
282,Slime Puddle
283,Baby Opo-opo
284,Littlefoot
285,Shalloweye
286,Morpho
287,Poro Roggo
288,Drippy
289,Bom Boko
290,Hedgehoglet
291,Pterosquirrel
292,Ghido
293,Salt & Pepper Seal
294,Axolotl Eft
295,Bitty Duckbill
296,Ugly Duckling
297,Byakko Cub
298,Scarlet Peacock
299,Seitei
300,Wind-up Y'shtola
301,Wind-up Minfilia
302,Wind-up Thancred
303,Wind-up Yda
304,Wind-up Papalymo
