key,3
#,
offset,0
int32,str
0,未設定
1,<hex:0248020203><hex:0249023603>Color 1<hex:0249020103><hex:0248020103>
2,<hex:0248020203><hex:0249023703>Color 3<hex:0249020103><hex:0248020103>
3,<hex:0248020203><hex:024904F202C303>Color 2<hex:0249020103><hex:0248020103>
4,<hex:0248020203><hex:024904F202C203>Color 4<hex:0249020103><hex:0248020103>
5,<hex:0248020203><hex:024904F202C603>Color 5<hex:0249020103><hex:0248020103>
6,<hex:0248020203><hex:024904F2023A03>Color 6<hex:0249020103><hex:0248020103>
7,<hex:0248020203><hex:024904F202C503>Color 7<hex:0249020103><hex:0248020103>
8,<hex:0248020203><hex:024904F202C403>Color 8<hex:0249020103><hex:0248020103>
9,<hex:0248020203><hex:024904F202C003>Color 9<hex:0249020103><hex:0248020103>
10,<hex:0248020203><hex:024904F202C103>Color 10<hex:0249020103><hex:0248020103>
11,<hex:0248020203><hex:024904F202BF03>Color 11<hex:0249020103><hex:0248020103>
12,<hex:0248020203><hex:024904F202BC03>Color 12<hex:0249020103><hex:0248020103>
13,<hex:0248020203><hex:024904F202BD03>Color 13<hex:0249020103><hex:0248020103>
14,<hex:0248020203><hex:024904F202BE03>Color 14<hex:0249020103><hex:0248020103>
15,
16,
17,
18,
19,
20,
