key,0
#,Name
offset,0
int32,str
0,
1,
2,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
3,"In the upcomin' session, we're plannin' to complete the first stage of works. If you haven't already, check the skybuilders' board for details."
4,"First stage works are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
5,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
6,"In the upcomin' session, we're plannin' to complete the second stage of works. If you haven't already, check the skybuilders' board for details."
7,"Second stage works are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
8,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
9,"In the upcomin' session, we're plannin' to complete the third stage of works. If you haven't already, check the skybuilders' board for details."
10,"With that, all works in the Mendicant's Court are complete! You can rightly be proud of yourselves, all of you!"
11,
12,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
13,"First stage works for the Mattock are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
14,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
15,"Second stage works for the Mattock are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
16,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
17,"In the upcomin' session, we're plannin' to complete the third stage of works for the Mattock. If you haven't already, check the skybuilders' board for details."
18,"Third stage works for the Mattock are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
19,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
20,"In the upcomin' session, we're plannin' to complete the fourth stage of works for the Mattock. If you haven't already, check the skybuilders' board for details."
21,"We've done it, everyone! The Mattock stretches out towards a brighter tomorrow! Let's not rest on our laurels, though, eh? We're gettin' started on Saint Roelle's Dais next, and for that we'll need more supplies!"
22,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
23,"First stage works for Saint Roelle's Dais are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
24,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
25,"Second stage works for Saint Roelle's Dais are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
26,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
27,"In the upcomin' session, we're plannin' to complete the third stage of works for Saint Roelle's Dais. If you haven't already, check the skybuilders' board for details."
28,"Third stage works for Saint Roelle's Dais are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
29,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
30,"We've done it, everyone! Saint Roelle's Dais beckons folk to come together! Let's not rest on our laurels, though, eh? We're gettin' started on the New Nest next, and for that we'll need more supplies!"
31,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
32,"First stage works for the New Nest are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
33,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
34,"Second stage works for the New Nest are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
35,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
36,"Third stage works for the New Nest are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
37,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
38,"In the upcomin' session, we're plannin' to complete the fourth stage of works for the New Nest. If you haven't already, check the skybuilders' board for details."
39,"Fourth stage works for the New Nest are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
40,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
41,"In the upcomin' session, we're plannin' to complete the fifth stage of works for the New Nest. If you haven't already, check the skybuilders' board for details."
42,"Fifth stage works for the New Nest are complete─well done, everyone! Now it's time to prepare for the next, so let's keep the supplies comin', eh?"
43,"Be kindly informed that sufficient supplies have been stockpiled, and thus we will be proceeding with the concerted works. Please refer to the skybuilders' board for the schedule."
44,"In the upcomin' session, we're plannin' to complete the sixth stage of works for the New Nest. If you haven't already, check the skybuilders' board for details."
