key,1
#,
offset,0
int32,str
0,
1,Catch jellyfish or crabs
2,Catch fish rated ★★★ or higher
3,●★★★★を3匹釣る。
4,Catch fish with a weak bite (!)
5,Catch fish with a strong bite (!!)
6,Catch fish with a ferocious bite (!!!)
7,Catch sharks
8,Catch fish rated ★★★ or higher
9,●★★★★を3匹釣る。
10,Catch fish with a weak bite (!)
11,Catch fish with a strong bite (!!)
12,Catch fish with a ferocious bite (!!!)
13,Catch crabs
14,Catch fish rated ★★★ or higher
15,●★★★★を3匹釣る。
16,Catch fish with a weak bite (!)
17,Catch fish with a strong bite (!!)
18,Catch fish with a ferocious bite (!!!)
19,Catch fugu
20,Catch fish rated ★★★ or higher
21,●★★★★を3匹釣る。
22,Catch fish with a weak bite (!)
23,Catch fish with a strong bite (!!)
24,Catch fish with a ferocious bite (!!!)
25,Catch shrimp or squid
26,Catch fish rated ★★★ or higher
27,Catch fish with a weak bite (!)
28,Catch fish with a strong bite (!!)
29,Catch fish with a ferocious bite (!!!)
30,Catch shrimp or shellfish
31,Catch fish rated ★★★ or higher
32,Catch fish with a weak bite (!)
33,Catch fish with a strong bite (!!)
34,Catch fish with a ferocious bite (!!!)
