key,6,7
#,Name,Example
offset,0,4
int32,str,str
0,None,
1,Say,Cloud Strife: Never mind...
2,Shout,Cloud Strife: Can someone give me some gil?
3,Tell,">> Cloud Strife: Nice shirt.<hex:02100103>Tifa Lockhart >> Eyes up here, Cloud."
4,Party,(Cloud Strife) Where is everybody?
5,Standard Emotes,Cloud Strife points at Bayohne.
6,Custom Emotes,Cloud Strife wallows in self-pity...
7,Free Company,"[FC]<Cloud Strife> Can I invite my friend, Zack?"
8,Linkshell [1],[1]<Cloud Strife> Do I have time to grab my gunblade?
9,Linkshell [2],[2]<Cloud Strife> Do I have time to grab my gunblade?
10,Linkshell [3],[3]<Cloud Strife> Do I have time to grab my gunblade?
11,Linkshell [4],[4]<Cloud Strife> Do I have time to grab my gunblade?
12,Linkshell [5],[5]<Cloud Strife> Do I have time to grab my gunblade?
13,Linkshell [6],[6]<Cloud Strife> Do I have time to grab my gunblade?
14,Linkshell [7],[7]<Cloud Strife> Do I have time to grab my gunblade?
15,Linkshell [8],[8]<Cloud Strife> Do I have time to grab my gunblade?
16,Yell,Cloud Strife: Aeriiiiiith!
17,Alliance,"((Cloud Strife)) All right, everyone, let's mosey."
18,Novice Network,[NOVICE]<hex:0212024F03>Cloud Strife: Follow me.
19,PvP Team,[PvP]<Cloud Strife> There's no “I” in team!
20,Cross-world Linkshell [1],[CWLS1]<Cloud Strife> You guys seen Hojo anywhere?
21,System Messages,You invite Cloud Strife to a party.
22,,
23,Gathering System Messages,There are no mineral deposits or rocky outcrops in this area.
24,Error Messages,Message to Cloud Strife could not be sent.
25,Echo,Echo
26,NPC Dialogue,Baderon: Now off with ye. I got casks to tap.
27,Loot Notices,You obtain <hex:024804F2023B03><hex:024904F2023C03>Excalipoor<hex:0249020103><hex:0248020103>.
28,Own Progression Messages,You attain level 51!
29,Others' Progression Messages,Cloud Strife attains level 2!
30,Own Loot Messages,You roll on Need. 50!
31,Others' Loot Messages,Cloud Strife rolls on Need. 1!
32,Own Synthesis Messages,You synthesize a <hex:024804F2023B03><hex:024904F2023C03>suit of diamond armor<hex:0249020103><hex:0248020103>.
33,Others' Synthesis Messages,Cloud Strife synthesizes a <hex:024804F2023B03><hex:024904F2023C03>boiled egg<hex:0249020103><hex:0248020103>.
34,Message Book Alert,A new entry has been added to the free company estate message book.
35,Own Gathering Messages,You begin quarrying.
36,Others' Fishing Messages,Cloud Strife lands a <hex:024804F2022503><hex:024904F2022603>Nibelheim bass<hex:0249020103><hex:0248020103> measuring 7 ilms!
37,Own Battle System Messages,You defeat the Shadow Lord.
38,Others' Battle System Messages,Cloud Strife defeats the little ladybug.
39,NPC Dialogue (Announcements),"Bremondt: Come one, come all!"
40,Free Company Announcements,You adjust company hierarchy.
41,Free Company Member Login Notifications,Cloud Strife has logged in.
42,Party Members' Progression Messages,Cloud Strife attains level 2!
43,Retainer Sale Notifications,The ribbon you put up for sale in Ul'dah has sold for 1 gil (after fees).
44,Periodic Recruitment Notifications,"Of the 12 parties currently recruiting, 3 match your search conditions."
45,Sign Messages for PC Targets,You mark Cloud Strife as “Target to Ignore 1.”
46,Random Number Messages,Random! You roll a <hex:0212024A03>998.
47,Novice Network Notifications,Novice - You've joined the Novice Network.<hex:02100103>There are currently 10 <hex:0212024F03>mentors and 30 <hex:0212024E03>new adventurers participating.
48,Current Orchestrion Track Messages,<hex:021A020203>Under the Weight<hex:021A020103> is now playing.
49,PvP Team Announcements,Tifa Lockhart has joined the team.
50,PvP Team Member Login Notifications,Tifa Lockhart has logged in.
51,Damage dealt by you.,You hit the Shadow Lord for 9999 damage.
52,Failed attacks by you.,You miss the Shadow Lord.
53,Actions initiated by you.,You begin casting Flare.<hex:02100103>You cancel Flare.
54,Items used by you.,You ready a tuft of phoenix down.<hex:02100103>You cancel use of the tuft of phoenix down.
55,Effects of healing spells cast by you.,  Cloud Strife recovers 7 HP.
56,Beneficial effects granted by you.,  Cloud Strife gains the effect of Protect.
57,Detrimental effects inflicted by you.,  The Shadow Lord suffers the effect of Rasp.
58,Damage you are dealt.,The Shadow Lord hits you for 9999 damage.
59,Failed attacks on you.,The Shadow Lord misses you.
60,Actions used on you.,The Shadow Lord begins casting Meteor.<hex:02100103>The Shadow Lord cancels Meteor.
61,Items used on you.,Cloud Strife readies a tuft of phoenix down.<hex:02100103>Cloud Strife cancels the use of the tuft of phoenix down.
62,Effects of healing spells cast on you.,  You recover 411 HP.
63,Beneficial effects granted to you.,  You gain the effect of Stoneskin.
64,Detrimental effects inflicted on you.,  You suffer the effect of Bio.
65,Beneficial effects on you ending.,You lose the effect of Stoneskin.
66,Detrimental effects on you ending.,You recover from the effect of Bio.
67,Alarm Notifications,<hex:0212026903> Alarm: 0 minutes until 12:00 p.m. 
68,,
69,,
70,,
71,Damage dealt by party members.,Cloud Strife hits the little ladybug for 2 damage.
72,Failed attacks by party members.,Cloud Strife misses the little ladybug.
73,Actions initiated by party members.,Cloud Strife begins casting Stone.<hex:02100103>Cloud Strife cancels Stone.
74,Items used by party members.,Cloud Strife readies a tuft of phoenix down.<hex:02100103>Cloud Strife cancels the use of the tuft of phoenix down.
75,Effects of healing spells cast by party members.,  Cloud Strife recovers 7 HP.
76,Beneficial effects granted by party members.,  Cloud Strife gains the effect of Protect.
77,Detrimental effects inflicted by party members.,  The Shadow Lord suffers the effect of Rasp.
78,Damage party members are dealt.,The Shadow Lord hits Cloud Strife for 9999 damage.
79,Failed attacks on party members.,The Shadow Lord misses Cloud Strife.
80,Actions used on party members.,The Shadow Lord begins casting Meteor.<hex:02100103>The Shadow Lord cancels Meteor.
81,Items used on party members.,Cloud Strife readies a tuft of phoenix down.<hex:02100103>Cloud Strife cancels the use of the tuft of phoenix down.
82,Effects of healing spells cast on party members.,  Cloud Strife recovers 7 HP.
83,Beneficial effects granted to party members.,  Cloud Strife gains the effect of Shock Spikes.
84,Detrimental effects inflicted on party members.,  Cloud Strife suffers the effect of Amnesia.
85,Beneficial effects on party members ending.,Cloud Strife loses the effect of Shock Spikes.
86,Detrimental effects on party members ending.,Cloud Strife recovers from the effect of Amnesia.
87,,
88,,
89,,
90,,
91,Damage dealt by others.,Cloud Strife hits the little ladybug for 2 damage.
92,Failed attacks by others.,Cloud Strife misses the little ladybug.
93,Actions initiated by others.,Cloud Strife begins casting Stone.<hex:02100103>Cloud Strife cancels Stone.
94,Items used by others.,Cloud Strife readies a tuft of phoenix down.<hex:02100103>Cloud Strife cancels the use of the tuft of phoenix down.
95,Effects of healing spells cast by others.,  Cloud Strife recovers 7 HP.
96,Beneficial effects granted by others.,  Cloud Strife gains the effect of Protect.
97,Detrimental effects inflicted by others.,  The Shadow Lord suffers the effect of Rasp.
98,Damage others are dealt.,The Shadow Lord hits Cloud Strife for 9999 damage.
99,Failed attacks on others.,The Shadow Lord misses Cloud Strife.
100,Actions used on others.,The Shadow Lord begins casting Meteor.<hex:02100103>The Shadow Lord cancels Meteor.
101,Items used on others.,Cloud Strife readies a tuft of phoenix down.<hex:02100103>Cloud Strife cancels the use of the tuft of phoenix down.
102,Effects of healing spells cast on others.,  Cloud Strife recovers 7 HP.
103,Beneficial effects granted to others.,  Cloud Strife gains the effect of Shock Spikes.
104,Detrimental effects inflicted on others.,  Cloud Strife suffers the effect of Amnesia.
105,Beneficial effects on others ending.,Cloud Strife loses the effect of Shock Spikes.
106,Detrimental effects on others ending.,Cloud Strife recovers from the effect of Amnesia.
107,,
108,,
109,,
110,,
111,Damage dealt by engaged enemies.,The Shadow Lord hits you for 9999 damage.
112,Failed attacks by engaged enemies.,The Shadow Lord misses you.
