key,0
#,
offset,0
int32,str
0,
1,Stage 1: Tutorial
2,Stage 2: Hatching a Plan
3,Stage 3: The First Move
4,Stage 4: Little Big Beast
5,Stage 5: Turning Tribes
6,Stage 6: Off the Deepcroft
7,Stage 7: Rivals
8,Stage 8: Always Darkest
9,Stage 9: Mine Your Minions
10,Stage 10: Children of Mandragora
11,Stage 11: The Queen and I
12,Stage 12: Breakout
13,Stage 13: My Name Is Cid
14,Stage 14: Like a Nut
15,Stage 15: Urth's Spout
16,Stage 16: Exodus
17,Stage 17: Over the Wall
18,Stage 18: The Hunt
19,Stage 19: Battle on the Bitty Bridge
20,Stage 20: Guiding Light
21,Stage 21: Wise Words
22,Stage 22: World of Poor Lighting
23,Stage 23: The Binding Coil
24,Stage 24: The Final Coil
25,
26,
27,
28,
29,
30,
31,
32,
33,
