key,9
#,Name
offset,0
int32,str
10001,Gladiator 01
10002,Gladiator 02
10003,Gladiator 03
10004,Gladiator 04
10005,Gladiator 05
10006,Gladiator 06
10007,Gladiator 07
10008,Gladiator 08
10009,Gladiator 09
10010,Gladiator 10
10011,Gladiator 11
10012,Gladiator 12
10013,Gladiator 13
10014,Gladiator 14
10015,Gladiator 15
10016,Gladiator 16
10017,Gladiator 17
10018,Gladiator 18
10019,Gladiator 19
10020,Gladiator 20
10021,Gladiator 21
10022,Gladiator 22
10023,Gladiator 23
10024,Gladiator 24
10025,Gladiator 25
10026,Gladiator 26
10027,Gladiator 27
10028,Gladiator 28
10029,Gladiator 29
10030,Gladiator 30
10031,Gladiator 31
10032,Gladiator 32
10033,Gladiator 33
10034,Gladiator 34
10035,Gladiator 35
10036,Gladiator 36
10037,Gladiator 37
10038,Gladiator 38
10039,Gladiator 39
10040,Gladiator 40
10041,Gladiator 41
10042,Gladiator 42
10043,Gladiator 43
10044,Gladiator 44
10045,Gladiator 45
10046,Gladiator 46
10047,Gladiator 47
10048,Gladiator 48
10049,Gladiator 49
10050,Gladiator 50
20001,Pugilist 01
20002,Pugilist 02
20003,Pugilist 03
20004,Pugilist 04
20005,Pugilist 05
20006,Pugilist 06
20007,Pugilist 07
20008,Pugilist 08
20009,Pugilist 09
20010,Pugilist 10
20011,Pugilist 11
20012,Pugilist 12
20013,Pugilist 13
20014,Pugilist 14
20015,Pugilist 15
20016,Pugilist 16
20017,Pugilist 17
20018,Pugilist 18
20019,Pugilist 19
20020,Pugilist 20
20021,Pugilist 21
20022,Pugilist 22
20023,Pugilist 23
20024,Pugilist 24
20025,Pugilist 25
20026,Pugilist 26
20027,Pugilist 27
20028,Pugilist 28
20029,Pugilist 29
20030,Pugilist 30
20031,Pugilist 31
20032,Pugilist 32
20033,Pugilist 33
20034,Pugilist 34
20035,Pugilist 35
20036,Pugilist 36
20037,Pugilist 37
20038,Pugilist 38
20039,Pugilist 39
20040,Pugilist 40
20041,Pugilist 41
20042,Pugilist 42
20043,Pugilist 43
20044,Pugilist 44
20045,Pugilist 45
20046,Pugilist 46
20047,Pugilist 47
20048,Pugilist 48
20049,Pugilist 49
20050,Pugilist 50
30001,Marauder 01
30002,Marauder 02
30003,Marauder 03
30004,Marauder 04
30005,Marauder 05
30006,Marauder 06
30007,Marauder 07
30008,Marauder 08
30009,Marauder 09
30010,Marauder 10
30011,Marauder 11
30012,Marauder 12
30013,Marauder 13
30014,Marauder 14
30015,Marauder 15
30016,Marauder 16
30017,Marauder 17
30018,Marauder 18
30019,Marauder 19
30020,Marauder 20
30021,Marauder 21
30022,Marauder 22
30023,Marauder 23
30024,Marauder 24
30025,Marauder 25
30026,Marauder 26
30027,Marauder 27
30028,Marauder 28
30029,Marauder 29
30030,Marauder 30
30031,Marauder 31
30032,Marauder 32
30033,Marauder 33
30034,Marauder 34
30035,Marauder 35
30036,Marauder 36
30037,Marauder 37
30038,Marauder 38
30039,Marauder 39
30040,Marauder 40
30041,Marauder 41
30042,Marauder 42
30043,Marauder 43
30044,Marauder 44
30045,Marauder 45
30046,Marauder 46
30047,Marauder 47
30048,Marauder 48
30049,Marauder 49
30050,Marauder 50
40001,Lancer 01
40002,Lancer 02
40003,Lancer 03
40004,Lancer 04
40005,Lancer 05
40006,Lancer 06
40007,Lancer 07
40008,Lancer 08
40009,Lancer 09
40010,Lancer 10
40011,Lancer 11
40012,Lancer 12
40013,Lancer 13
40014,Lancer 14
40015,Lancer 15
40016,Lancer 16
40017,Lancer 17
40018,Lancer 18
40019,Lancer 19
40020,Lancer 20
40021,Lancer 21
40022,Lancer 22
40023,Lancer 23
40024,Lancer 24
40025,Lancer 25
40026,Lancer 26
40027,Lancer 27
40028,Lancer 28
40029,Lancer 29
40030,Lancer 30
40031,Lancer 31
40032,Lancer 32
40033,Lancer 33
40034,Lancer 34
40035,Lancer 35
40036,Lancer 36
40037,Lancer 37
40038,Lancer 38
40039,Lancer 39
40040,Lancer 40
40041,Lancer 41
40042,Lancer 42
40043,Lancer 43
40044,Lancer 44
40045,Lancer 45
40046,Lancer 46
40047,Lancer 47
40048,Lancer 48
40049,Lancer 49
40050,Lancer 50
50001,Archer 01
50002,Archer 02
50003,Archer 03
50004,Archer 04
50005,Archer 05
50006,Archer 06
50007,Archer 07
50008,Archer 08
50009,Archer 09
50010,Archer 10
50011,Archer 11
50012,Archer 12
50013,Archer 13
50014,Archer 14
50015,Archer 15
50016,Archer 16
50017,Archer 17
50018,Archer 18
50019,Archer 19
50020,Archer 20
50021,Archer 21
50022,Archer 22
50023,Archer 23
50024,Archer 24
50025,Archer 25
50026,Archer 26
50027,Archer 27
50028,Archer 28
50029,Archer 29
50030,Archer 30
50031,Archer 31
50032,Archer 32
50033,Archer 33
50034,Archer 34
50035,Archer 35
50036,Archer 36
50037,Archer 37
50038,Archer 38
50039,Archer 39
50040,Archer 40
50041,Archer 41
50042,Archer 42
50043,Archer 43
