key,0
#,Name
offset,0
int32,str
0,1-5
1,6-10
2,11-15
3,16-20
4,21-25
5,26-30
6,31-35
7,36-40
8,41-45
9,46-50
10,51-55
11,56-60
12,61-65
13,66-70
14,71-75
15,76-80
16,81-85
17,86-90
18,91-95
19,96-100
20,101-105
21,106-110
22,111-115
23,116-120
24,121-125
25,126-130
26,131-135
27,136-140
28,141-145
29,146-150
30,151-155
31,156-160
32,161-175
33,166-170
34,171-175
35,176-180
36,181-185
37,186-190
38,191-195
39,196-200
40,[翻訳不要] レベル区分終端
1000,Master Recipes (1)
1001,Master Recipes (2)
1002,Master Recipes (3)
1003,Master Recipes (4)
1004,Master Recipes (5)
1005,Master Recipes (6)
1006,Master Recipes (7)
1007,Master Recipes (8)
1008,Other Master Recipes
1009,
1010,
1011,Dyes
1012,
1013,Class Quests
1014,Crystarium Deliveries
1015,Crystarium Deliveries
1016,Crystarium Deliveries
1017,Ixal Quests
1018,Moogle Quests
1019,Namazu Quests
1020,Zhloe Aliapoh
1021,M'naago
1022,Kurenai
1023,Adkiragh
1024,Kai-Shirr
1025,Restoration (1)
1026,Other
1027,Restoration (2)
1028,Skysteel Tools
1029,Dwarf Quests
1030,Ehll Tou
1031,Restoration (3)
1032,50-60
1033,61-70
1034,71-80
1035,Ornaments (1)
1036,Restoration (4)
1037,Charlemend
1038,Master Recipes (9)
1039,81-90
1040,Studium Deliveries
1041,Studium Deliveries
1042,Studium Deliveries
1043,Fixtures
1044,Outdoor Furnishings
1045,Indoor Furnishings
1046,Tables/Rugs
1047,Tabletop
1048,Wall-mounted
1049,Other
1050,Ameliance
1051,Master Recipes (10)
1052,Ornaments (2)
1053,Anden
1054,Loporrit Quests
1055,Splendorous Tools
1056,Margrat
1057,
2000,Coerthas
2001,Dravania
2002,Abalathia
2003,Gyr Abania
2004,Othard
2005,Norvrandt
2006,Ishgard Restoration
2007,Skysteel Tools
2008,50-70
2009,71-80
2010,Ilsabard/Northern Empty
2011,Sea of Stars
2012,World Unsundered
2013,81-90
2014,Splendorous Tools
2015,
