key,6
#,Name
offset,0
int32,str
0,
1,Game QA
2,Game Master
3,Game Master
4,Event Participant
5,Disconnected
6,Waiting for Friend List Approval
7,Waiting for Linkshell Approval
8,Waiting for Free Company Approval
9,Not Found
10,Offline
11,Battle Mentor
12,Busy
13,PvP
14,Playing Triple Triad
15,Viewing Cutscene
16,Using a Chocobo Porter
17,Away from Keyboard
18,Camera Mode
19,Looking for Repairs
20,Looking to Repair
21,Looking to Meld Materia
22,Role-playing
23,Looking for Party
24,Sword for Hire
25,Waiting for Duty Finder
26,Recruiting Party Members
27,Mentor
28,PvE Mentor
29,Trade Mentor
30,PvP Mentor
31,Returner
32,New Adventurer
33,Alliance Leader
34,Alliance Party Leader
35,Alliance Party Member
36,Party Leader
37,Party Member
38,Party Leader (Cross-world)
39,Party Member (Cross-world)
40,Another World
41,Sharing Duty
42,Similar Duty
43,In Duty
44,Trial Adventurer
45,Free Company
46,Grand Company
47,Online
