key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,Away,Order pet to leave the battlefield.
2,Heel,Order pet to follow behind you.
3,Place,Order pet to move to a specified location.
4,Stay,Order pet to remain where it is.
5,Guard,Order pet to refrain from attacking until you attack or are attacked.
6,Steady,Order pet to refrain from attacking until ordered to do so.
7,Sic,Order pet to attack.
8,Obey,"Order pet to attack, but refrain from using certain actions until ordered to do so."
9,Gust,Deals wind damage with a potency of 90.
10,Backdraft,"Deals wind damage with a potency of 80.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> 15-yalm knockback<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
11,Downburst,"Deals wind damage with a potency of 80 to target and all enemies nearby it.<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
12,Shining Emerald,"Increases target's magic damage taken by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 15s<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
13,Gouge,Deals earth damage with a potency of 70.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> Increased enmity
14,Shining Topaz,"Deals earth damage with a potency of 60 to all nearby enemies.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> Increased enmity<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
15,Curl,"Decreases damage suffered by pet by 20%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 20s<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
16,Storm,"Deals earth damage with a potency of 60.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> <hex:024804F201FA03><hex:024904F201FB03>Stun<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 2s<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
17,Wind Blade,Deals wind damage with a potency of 110.
18,Shockwave,"Deals wind damage with a potency of 90.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> 15-yalm knockback<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
19,Aerial Slash,"Deals wind damage with a potency of 90 to target and all enemies nearby it.<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
20,Contagion,"Increases target's magic damage taken by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 15s<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
21,Aerial Blast,Deals wind damage with a potency of 250 to target and all enemies nearby it.<hex:02100103>Executed when master uses <hex:024804F201F403><hex:024904F201F503>Enkindle<hex:0249020103><hex:0248020103>.
22,Rock Buster,Deals earth damage with a potency of 85.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> Increased enmity
23,Mountain Buster,"Deals earth damage with a potency of 70 to all nearby enemies.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> Increased enmity<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
24,Earthen Ward,"Decreases damage suffered by pet by 20%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 20s<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
25,Landslide,"Deals earth damage with a potency of 70.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Additional Effect:<hex:0249020103><hex:0248020103> <hex:024804F201FA03><hex:024904F201FB03>Stun<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 2s<hex:02100103>When <hex:024804F201FA03><hex:024904F201FB03>Obey<hex:0249020103><hex:0248020103> is active, will only execute upon command."
