key,1
#,Expac
offset,0
int32,str
0,
1,Heavensward
2,Stormblood
3,Shadowbringers
4,Raids
5,Alliance Raids
6,Trials
7,"Hildibrand, Agent of Enquiry"
8,Saint Endalim's Scholasticate
9,Chronicles of Light
10,Carpenter
11,Blacksmith
12,Armorer
13,Goldsmith
14,Leatherworker
15,Weaver
16,Alchemist
17,Culinarian
18,Miner
19,Botanist
20,Fisher
21,Gladiator / Paladin
22,Marauder / Warrior
23,Conjurer / White Mage
24,Arcanist / Summoner
25,Pugilist / Monk
26,Lancer / Dragoon
27,Rogue / Ninja
28,Archer / Bard
29,Thaumaturge / Black Mage
30,A Realm Reborn
31,Dark Knight
32,Gunbreaker
33,Scholar
34,Astrologian
35,Samurai
36,Machinist
37,Dancer
38,
39,Red Mage
40,Blue Mage (Limited Job)
41,Tank
42,Healer
43,DPS
44,Role Quests
45,Void Quests
46,Endwalker
47,Sage
48,Reaper
49,Variant Dungeons
50,Tales from the Calamity
51,Tataru's Grand Endeavor
