key,7,8,9,10
#,Objective,,,
offset,0,4,8,12
int32,str,str,str,str
0,,,,
10,,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"House Haillenarte has a vested interest in the bounty these isles have to offer. As such, your task this day is to assess the region's natural resources.","Go forth and gather what you may! Provide us with a thorough evaluation, and your diligence shall be duly rewarded. "
11,,Operation Command here.<hex:02100103>We have received your preliminary report.,The initial results are certainly promising! Pray continue your survey and inform us of your progress.,
12,,Operation Command here.<hex:02100103>We have received your interim report.,"Fascinating, but inconclusive. One last round of samples should allow for a more definitive assessment!",
13,Gather over-aspected fire crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
14,Gather over-aspected water crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
15,Gather over-aspected earth crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
16,Gather over-aspected ice crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
17,Gather over-aspected wind crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
18,Gather over-aspected lightning crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
19,Gather over-aspected fire crystals,Operation Command here.<hex:02100103>We have received your preliminary report.,More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
20,Gather over-aspected water crystals,Operation Command here.<hex:02100103>We have received your preliminary report.,More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
21,Gather over-aspected earth crystals,Operation Command here.<hex:02100103>We have received your preliminary report.,More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
22,Gather over-aspected ice crystals,Operation Command here.<hex:02100103>We have received your preliminary report.,More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
23,Gather over-aspected wind crystals,Operation Command here.<hex:02100103>We have received your preliminary report.,More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
24,Gather over-aspected lightning crystals,Operation Command here.<hex:02100103>We have received your preliminary report.,More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
25,Deliver gathered goods to the pilot at the <hex:021A020203>Bounty<hex:021A020103>,Operation Command here.<hex:02100103>We have received your interim report.,Gather your last haul of goods and deliver what you have to the <hex:021A020203>Bounty<hex:021A020103>.,I promise you House Haillenarte will not be miserly with its gratitude!
26,"Use a scent trap to ambush silvershells, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
27,"Use a scent trap to ambush welkinixes, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
28,"Use a scent trap to ambush jewel wasps, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
29,"Use a scent trap to ambush rainbow gastornis, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
30,"Use a scent trap to ambush lunantishees, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
31,"Use a scent trap to ambush ant hawks, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
32,"Use a scent trap to ambush diplocauluses, and obtain cloud dweller bones",Operation Command here.<hex:02100103>We have received your preliminary report.,"A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
33,"Use a scent trap to ambush proceratosaurs, and obtain cloud dweller bones",Operation Command here.<hex:02100103>We have received your preliminary report.,"A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
34,"Use a scent trap to ambush coelophysis, and obtain cloud dweller bones",Operation Command here.<hex:02100103>We have received your preliminary report.,"A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
35,"Use a scent trap to ambush zeuglodons, and obtain cloud dweller bones",Operation Command here.<hex:02100103>We have received your preliminary report.,"A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers."
36,Deliver gathered goods to the pilot at the <hex:021A020203>Bounty<hex:021A020103>,Operation Command here.<hex:02100103>We have received your interim report.,Gather your last haul of goods and deliver what you have to the <hex:021A020203>Bounty<hex:021A020103>.,I promise you House Haillenarte will not be miserly with its gratitude!
