key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,"Hm? Silly customer, you cannot eat Rhon Ron. Not even for a Voeburt gold piece!",,
11,Can anyone tell me what this infernal tablet even looks like?,,
12,I can barely see my hand in front of my face. If only that torch were a little closer...,,
13,"There is nothing to gain from staring at my backside. Now please, I need to concentrate.",,
14,Ugh! I would thank you not to shoot me!,,
15,"For all its reaction, the creature may as well be made of stone. It only stares at you unflinchingly...",,
16,Well done! A fine show of discernment and dexterity!,,
17,"Wrong! I'm wearin' a Tholl helm, see?",,
18,Gahaha! You weren't supposed to hit me!,,
19,You have located your quarry!,,
20,...This creature is making no effort to avoid detection. And is also not a Mystel.,,
21,The mural appears to be ancient. A warrior in the middle stands triumphant over what appears to be a creature of shadow. Other figures surround the warrior rejoicing in their victory.,,
22,"The mural appears to be very old. A ruler sits atop a throne, attended by their subjects.",,
23,The mural appears to be fairly old. A knight shields himself and their comrades from an encroaching darkness. The central figure is considerably faded.,,
24,"I call that “Mushloaf”! The middle is stuffed with bittersweet cactus fruits, so even if the bread dries out, it's still moist inside. Keeps you going in the heat!",,
25,"That's my “Everburning Bounty,” made with the best parts of the lizard. Cured with special spicy spices! Some find the smell...<hex:021A020203>challenging<hex:021A020103>, but it'll warm you up on chilly desert nights!",,
26,"Oh, you'll like those! “Chewy Skewers”! Find small frogs hiding under rocks, spear with stick, then roast over fire. Crackly on the outside, gooey on the inside─perfect for snacking!",,
27,"Everyone's favorite! Plump white worms slathered in honey. Once you eat a “Glazed Wriggler,” you'll never want any other treat!",,
28,You have located the timeworn tablet!,,
29,"Were the tablet a fragment of holy scripture, 'twould most assuredly rest here on this altar. Yet this would, I presume, also have been where the Blessed placed the Font of Seeing used in the practice of their faith... Whither, then, would they have set the tablet?",,
30,"You have located the mysterious person! However, it seems he has likewise spotted you, and hurriedly turns back to the village...",,
31,The creature stares at you unflinchingly. This probably isn't the mysterious person Alisaie saw...,,
32,"Nice shootin'! Keep it up in the actual trial, eh?",,
33,"The tall, slender towers feature many elaborate windows, the likes of which you have seen nowhere else.",,
34,There is a shoebill here. At the bottom of the ocean. For some reason.,,
35,"The clionid larva floats aimlessly, a forlorn look on its face. It seems harmless enough.",,
36,"If you're entertaining the thought of knocking off my cowl, know that it will not work.",,
37,"For all its reaction, the creature may as well be made of stone. It only stares at you unflinchingly, as if peering into your very soul...",,
38,,,
39,Blargh! Wha...what happened?,,
40,"Hmm... It's a little hard to see from here, but is that a golden pipe connected to the top of those tanks?",And I can see through that window another pipe at the bottom...,Ah! This must be for purifying water drawn up from below!
41,Is that water I hear from inside that great big tube?,It must be because of those cogs and that gigantic wheel at the top.,"Oh, I see! That's how they draw up the water! There's probably some sort of spiral-shaped mechanism inside it, too."
42,That looks like the “trees” in Greatest Endsvale!,"Hold on, that's a bit of a strange shape... It's thin at the bottom but big and round at the top. Quite tall for something so unbalanced, too.",Now it makes sense! That's where they store the water!
43,"You spot an ambystoma! An especially lively one, at that.","It would appear that the concept you observed in another time, another place, was approved for life in the wider world...somehow.",
44,"Ow! That smarts! If this was meant to be a joke, it isn't funny!",,
45,You have sedated the wrong bird...,,
46,"This statue is a representation of Thaliak, one of the Twelve divinities of Eorzea, and guardian deity of Sharlayan. As the god of knowledge, He rules over rivers and wisdom.",There was once a system of governance in Sharlayan known as the Ecclesia─a great gathering at which each citizen was given a voice in decisions affecting the nation's future─and it was during one such forum wherein the people voted to elect Thaliak as our patron.,"It was not piety which drove this choice, but rather a natural progression of our principles and creeds. We Sharlayans have, after all, always devoted ourselves to the pursuit of knowledge."
