key,0
#,Name
offset,0
int32,str
3276800,
3276801,
3276802,Purchase Gordian Items
3276803,Purchase Midan Items
3276804,Aloalo Island Artifact Exchange
3276805,
3276806,Purchase Alexandrian Items
3276807,
3276808,
3276809,
3276810,Purchase Artifact Gear
3276811,Purchase Doman Gear
3276812,Improve Shire Gear
3276813,
3276814,
3276815,Purchase Garo Gear (DoW I)
3276816,Purchase Garo Gear (DoM)
3276817,
3276818,
3276819,
3276820,
3276821,
3276822,
3276823,
3276824,
3276825,Purchase Disciple of War Gear
3276826,Purchase Disciple of Magic Gear
3276827,Purchase Disciple of the Hand/Land Gear
3276828,Purchase Disciple of War Arms
3276829,Purchase Disciple of Magic Arms
3276830,Purchase Disciple of the Hand Tools
3276831,Purchase Disciple of the Land Tools
3276832,Purchase Disciple of War Gear
3276833,Purchase Disciple of Magic Gear
3276834,Purchase Disciple of the Hand/Land Gear
3276835,Purchase Disciple of War Arms
3276836,Purchase Disciple of Magic Arms
3276837,Purchase Disciple of the Hand Tools
3276838,Purchase Disciple of the Land Tools
3276839,Purchase Job-specific Gear
3276840,Purchase Quest Rewards
3276841,Purchase Gender-specific Gear
3276842,Deal in Spoils
3276843,
3276844,
3276845,
3276846,Purchase Tools
3276847,Purchase Gear
3276848,Purchase Seasonal Event Items
3276849,Purchase Achievement Rewards
3276850,Earn Resistance Tokens
3276851,Earn Resistance Tokens (HQ)
3276852,Use Resistance Tokens
3276853,Use Resistance Tokens (HQ)
3276854,Earn Rakshasa Tokens
3276855,Earn Rakshasa Tokens (HQ)
3276856,Use Rakshasa Tokens (HQ)
3276857,Purchase Disciple of War Gear
3276858,Purchase Disciple of Magic Gear
3276859,Crafters' Scrip Exchange
3276860,Gatherers' Scrip Exchange
3276861,Crafters' Scrip Exchange
3276862,Gatherers' Scrip Exchange
3276863,Crafters' Scrip Exchange
3276864,Gatherers' Scrip Exchange
3276865,Crafters' Scrip Exchange
3276866,Gatherers' Scrip Exchange
3276867,Crafters' Scrip Exchange
3276868,Gatherers' Scrip Exchange
3276869,Crafters' Scrip Exchange
3276870,Gatherers' Scrip Exchange
3276871,Crafters' Scrip Exchange
3276872,Gatherers' Scrip Exchange
3276873,Crafters' Scrip Exchange
3276874,Gatherers' Scrip Exchange
3276875,Earn Eulmoran Certificates of Import
3276876,Earn Eulmoran Certificates of Import (HQ)
3276877,Purchase Augmented Facet Equipment
3276878,Earn Eulmoran Certificates of Novelty
3276879,Earn Eulmoran Certificates of Novelty (HQ)
3276880,Purchase Augmented Neo-Ishgardian Equipment
3276881,Crafters' Scrip Exchange
3276882,Gatherers' Scrip Exchange
3276883,Earn Eulmoran Certificates of Grandeur
3276884,Earn Eulmoran Certificates of Grandeur (HQ)
3276885,Purchase Augmented Exarchic Equipment
3276886,Purchase Disciple of War Gear
3276887,Purchase Disciple of Magic Gear
3276888,Earn Hannish Certificates of Grade 1 Import
3276889,Earn Hannish Certificates of Grade 1 Import (HQ)
3276890,Purchase Augmented Classical Equipment
3276891,Purchase Garo Gear (DoW II)
3276892,Earn Hannish Certificates of Grade 3 Import
3276893,Earn Hannish Certificates of Grade 2 Import
3276894,Earn Hannish Certificates of Grade 2 Import (HQ)
3276895,Purchase Augmented Rinascita Equipment
3276896,Sil'dihn Artifact Exchange
3276897,Rokkon Artifact Exchange
3276898,Earn Hannish Certificates of Grade 3 Import (HQ)
3276899,Purchase Augmented Diadochos Equipment
