key,0
#,Name
offset,0
int32,str
0,
1,Enhanced Vitality
2,Enhanced Vitality II
3,Enhanced Vitality III
4,Enhanced Vitality
5,Enhanced Vitality II
6,Enhanced Vitality III
7,Enhanced Strength
8,Enhanced Strength II
9,Enhanced Strength III
10,Enhanced Greased Lightning
11,Enhanced Greased Lightning II
12,Enhanced Strength
13,Enhanced Strength II
14,Enhanced Strength III
15,Enhanced Dexterity
16,Enhanced Dexterity II
17,Heavier Shot
18,Increased Action Damage
19,Enhanced Dexterity III
20,Increased Action Damage II
21,Enhanced Mind
22,Enhanced Mind II
23,Maim and Mend
24,Enhanced Mind III
25,Freecure
26,Maim and Mend II
27,Enhanced Intelligence
28,Enhanced Intelligence II
29,Maim and Mend
30,Enhanced Intelligence III
31,Maim and Mend II
32,Firestarter
33,Thundercloud
34,Auto Triangulate
35,Enhanced Stealth
36,Enhanced Stealth II
37,Enhanced Stealth III
38,Auto Prospect
39,Enhanced Stealth
40,Enhanced Stealth II
41,Enhanced Stealth III
42,Tree Whisperer
43,Tree Whisperer II
44,Tree Whisperer III
45,Tree Whisperer IV
46,Enhanced Twelve's Bounty
47,Enhanced Twelve's Bounty II
48,Stone Whisperer
49,Stone Whisperer II
50,Stone Whisperer III
51,Stone Whisperer IV
52,Enhanced Twelve's Bounty
53,Enhanced Twelve's Bounty II
54,Dunefishing
55,Skyfishing
56,Enhanced Stealth
57,Enhanced Stealth II
58,Enhanced Stealth III
59,Gulleye
60,Gulleye II
61,Gulleye III
62,Double Mooching
63,Aetherdam
64,Enhanced Intelligence
65,Enhanced Intelligence II
66,Maim and Mend
67,Aetherdam II
68,Enhanced Intelligence III
69,Maim and Mend II
70,Aetherdam III
71,Enhanced Strength
72,Increased HP
73,Enhanced Accuracy
74,Enhanced Critical Hit
75,Enhanced Strength
76,Increased HP
77,Enhanced Strength
78,Increased HP
79,Enhanced Accuracy
80,Enhanced Critical Hit
81,Enhanced Strength
82,Increase Attack Speed
83,Enhanced Mind
84,Increased HP
85,Enhanced Accuracy
86,Enhanced Critical Hit
87,Enhanced Mind
88,Increased HP
89,Enhanced Dexterity
90,All Fours
91,Enhanced Dexterity II
92,Enhanced Dexterity III
93,Fleet of Foot
94,Nymeia's Ward
95,Stone Whisperer V
96,Enhanced Stealth IV
97,Enhanced Stealth V
98,Enhanced Stealth VI
99,Nymeia's Ward
100,Tree Whisperer V
101,Enhanced Stealth IV
102,Enhanced Stealth V
103,Enhanced Stealth VI
104,Gulleye IV
105,Gulleye V
106,Cloudfishing
107,Enhanced Stealth IV
108,Enhanced Stealth V
109,Enhanced Stealth VI
110,Hellfishing
111,Aetherfishing
112,Enhanced Vitality
113,Enhanced Vitality II
114,Enhanced Vitality III
115,Enhanced Dexterity
116,Enhanced Dexterity II
117,Increased Action Damage
118,Enhanced Dexterity III
119,Increased Action Damage II
120,Enhanced Mind
121,Enhanced Mind II
122,Maim and Mend
123,Enhanced Mind III
124,Enhanced Benefic
125,Maim and Mend II
126,Enhanced Stealth VII
