key,11,13
#,Description,IsInitial
offset,0,8
int32,str,str
2162688,Barracuda Piers,"These docks provide safe mooring for the Thalassocratic Navy's principal squadrons, also known as the Crimson Fleet. To prevent sabotage, admittance to the area is forbidden to the general citizenry; however, on clear days, one may catch a glimpse of the armada flagship, the <hex:021A020203>Triumph<hex:021A020103>, from atop one of Limsa Lominsa's myriad spans."
2162689,The <hex:021A020203>Astalicia<hex:021A020103>,"Registered as a trade vessel hailing from foreign waters, this battle-scarred warship captained by the lord of the region's underworld, Hyllfyr, serves as a gathering place for brigands, cutthroats, and the purveyors of sundry other breeds of villainy. It is here that the city–state's many pirate crews find new recruits to join their ranks."
2162690,Seasong Grotto,"“I am the waves that bear, I am the winds that guide.<hex:02100103>I am the evening stars, I am the morning sky.<hex:02100103>I am born of the sea, and there shall I die.”<hex:02100103><hex:02100103>Nestled within a shallow cavern situated to the south of Summerford Farms sits an ancient monolith upon which is carved this, the Sailors' Requiem."
2162691,The Skylift,"Once an endless expanse of flat, rocky meadows, middle La Noscea is now severed atwain by a sheer cliff known as the Descent. To maintain overland trade routes from the easterly outposts of Aleport and Bronze Lake, Lominsan engineers created the Skylift─a tower of wooden scaffolding outfitted with pulleys, winches, and lighter-than-air balloons."
2162692,La Thagran Eastroad,"When the <hex:021A020203>Galadion<hex:021A020103> fell victim to the Navigator's fury and ran aground on the southern shores of Vylbrand seven hundred years ago, it was her two helmsmen, Jean De Nevelle and Guy La Thagran, who were tasked with exploring the newfound island─the former heading east, the latter, west. To this day, their routes still serve as La Noscea's two main thoroughfares."
2162693,The Salt Strand,"When struck by a fallen shard from Dalamud's outer shell, a massive amount of concentrated aether was released from just below the surface of the Rhotano Sea, immediately fusing with and crystallizing the towering fount of saltwater which was expelled during the impact. City–state-funded exploratory forays into the inner crater have all yet to return..."
2162694,Red Rooster Stead,"The farmers on the Red Rooster Stead will rarely shy from testing their agricultural acumen on exotic crops or untested growing methods, and take pride in their willingness to sacrifice a harvest if it means a better yield an autumn hence. The plantation's name is said to be taken from the bloody cockfights held after nightfall by the gamekeeps."
2162695,The Brewer's Beacon,"This relatively new lighthouse was built soon after the Calamity claimed Swiftperch Tower to ensure safe passage for trade vessels carrying shipments of dark stouts and blonde barleywines out of Aleport. In addition, the candlekeeps also keep watch for increasingly frequent rogue tidal waves caused by the stirrings of the Lord of the Whorl."
2162696,The Leatherworkers' Guild,"Crafters for the realm-famous Atelier Fen-Yll, the Leatherworkers' Guild boasts the finest tawers and tanners in all Eorzea. In recent years, the workshop has come to be known for its Geva patterns, which outline methods of working and cutting hides, pelts, skins, and furs in a way that honors the elementals within by minimizing waste."
2162697,Apkallu Falls,"Named after a failed attempt by an ambitious Gridanian merchant to hatch and breed apkallus in the linn, Apkallu Falls is most remembered for serving as a place of meditation for the late Louisoix Leveilleur, Circle of Knowing Archon and hero of Eorzea."
2162698,Bentbranch Meadows,"Once Moogle's Gift Mounts was established and its rookery stocked with Ishgard's finest birds, it was not long before an entire settlement had grown up around the stables. The trademark balloon tethered to the main building is actually an Ixali war vessel claimed by chocobokeeps after it became tangled in a nearby tree and was abandoned by its riders."
2162699,The Sanctum of the Twelve,"This sky-scraping ivory cathedral was built following the Age of Endless Frost─a dark period in which the realm was overrun with famine and disease─to serve as a place of refuge and respite for all who sought succor. Soon after, however, it fell into ruin and was all but forgotten...until the advent of the Seventh Umbral Era saw need for its rise once again."
2162700,Little Solace,"Little is the solace granted to those sylphs who would voice their opposition to the summoning of the Lord of Levin. Little is the solace bequeathed upon those who would abandon their homes in the Sylphlands and shun their frenzied brethren. Thus, it is only through fraternity that those sylphs may ultimately find solace, however little it may be."
2162701,Royal Promenade,"In times when the sultan had sole rule over the city–state, the Promenade would serve as an ersatz waiting chamber for those petitioners who sought audience with His Resplendence in the Fragrant Chamber. Now, with power in the hands of the Syndicate, the round is empty, save for the occasional tryst betwixt young nobles."
2162702,The Gold Court,"A large atrium in the heart of Ul'dah, the Gold Court's opulence and scale make it a popular meeting place for the city's elite. The plaza was once reserved for the sultan's private balls, but has since been opened to the public due to a lack of funds to maintain the majestic hanging fountain at her center."
2162703,The Jewel of the Desert,"The commercial hub of Ul'dah is organized strategically around the dome-shaped citadel at its center. Its towering fortifications and protective outer walls bedighted with myriad glass panes and colorful mosaics are visible for malms in all directions, and serve as a stark yet dazzling deterrent to would-be besiegers."
2162704,The Ruins of Sil'dih,The city–states of Ul'dah and Sil'dih coexisted for generations until four hundred years ago when bad blood festering betwixt the two sultanates culminated in the War of the Sisters─leaving Sil'dih a smoldering pile of rubble to be claimed by the shifting desert sands. The subsequent relocation of Ul'dah placed the city–state nearly directly above her fallen sibling.
2162705,The Lonely Giant,"Local legend claims the Lonely Giant is everything from the ghost of a Sil'dihn sultan, to the prototype for a new model of Garlean machina. Ul'dahn scholars, however, simply believe him a Coerthan goobbue who lost his bearings during the chaos of the Calamity, and after a long journey through the Black Shroud, died of exhaustion upon reaching Thanalan."
2162706,The Invisible City,"Buried under nearly a malm of solid rock, if not for a gaping rent torn open by the Calamity, these ancient ruins may have gone undiscovered for another thousand summers. Scholars sent to Highbridge to study the site are currently of a mind that the structures are not a city, but in fact the tomb of one Lalafuto IV, famed sultan of Belah'dia."
2162707,Highbridge,"After the Calamity rent eastern Thanalan asunder, one of the first projects commissioned by the Syndicate was the construction of a bridge to span the newly formed chasm and restore the trade route with lands transpontine. The city which has sprung up along its edges is populated almost solely by scholars investigating the nearby ruins of the Invisible City."
2162708,Woad Whisper Canyon,"Little more than a shallow valley but five years past, Woad Whisper Canyon was carved into a gaping gorge in a matter of moons after the Calamity drained Bronze Lake and dramatically altered the course of the Nym River. On hot days, laborers from both Summerford Farms and the Skylift will oft take respite in the cool mists of the falls...if not met by bandits."
