key,1
#,Dialogue
offset,0
int32,str
0,
1,
2,"Come one, come all!"
3,We've the best<hex:02100103>prices in the realm!
4,Zzz......
5,Any word<hex:02100103>on the Empire?
6,Our scouts should<hex:02100103>be returning shortly.
7,"One day,<hex:02100103>all this'll be mine!"
8,"The wood...<hex:02100103>It's watching, you know!"
9,You look odd. Did you do<hex:02100103>something with your hair?
10,A little lanolin<hex:02100103>goes a long way.
11,You can rest now.
12,Kweh! Kweeeh!
13,Well done. Report to<hex:02100103>the Barracks at once.
14,It had to have<hex:02100103>been the Ixal.
15,The markings<hex:02100103>were consistent.
16,"Allow me to assist<hex:02100103>you, good sir."
17,I need to be back in<hex:02100103>Limsa by sundown!
18,Where in the seven<hex:02100103>hells is that woman?
19,  ...
20,  ...
21,Zzz...
22,Just what we need.<hex:02100103>Another outsider...
23,Where in Oschon's name<hex:02100103>are those damned Ixal?
24,Those are some<hex:02100103>right fine birds.
25,The markets are<hex:02100103>beyond this passage.
26,Kwaaark! Kwaaaaaark!
27,"You can do it, girl!<hex:02100103>Now push!"
28,What if we were to<hex:02100103>entreat the spirits?
29,Would you have your<hex:02100103>mother wipe your arse?
30,"<hex:020826E905FF11>Want to know how<hex:FF10>Watch your eyes<hex:03><hex:02100103><hex:020829E905FF17>I got up here, do you?<hex:FF0D>now, milord.<hex:03>"
31,Respite cleanses the<hex:02100103>mind of impurity.
32,Kweh! Kweh!
33,"What is it, girl?"
34,Ginger cookies are<hex:02100103><hex:021A020203>my<hex:021A020103> sustenance!
35,"Your words are my<hex:02100103>sustenance, Master!"
36,Zzz......
37,My whole body reeks<hex:02100103>of gysahl greens!
38,But the forest was<hex:02100103>once full with them!
39,"Sorry, ma'am. We're<hex:02100103>fresh out of walnuts."
40,"Gods, me back!"
41,"Caps of red,<hex:02100103>good as dead.<hex:02100103>Caps of white,<hex:02100103>stew tonight!"
42,One cannot be too<hex:02100103>careful when working<hex:02100103>the saws.
43,"A little off here,<hex:02100103>and a little off here..."
44,"You're not supposed<hex:02100103>to be back here, you!"
45,A fine crop we'll<hex:02100103>have this season!
46,"I can make it,<hex:02100103>I tell you! Just watch!"
47,You're going to fall<hex:02100103>in again.
48,"Always heed the<hex:02100103>spirits, my children."
49,But I can't heed<hex:02100103>what I can't hear!
50,♪♪♪
51,What I wouldn't give<hex:02100103>for a cup of mead.
52,May the Matron bless<hex:02100103>these busy bees.
53,Only a few more<hex:02100103>turns of the sun now.
54,"I told you, no<hex:02100103>wandering off!"
55,"But, Mother!"
56,"Come one, come all!"
57,We've the best<hex:02100103>prices in the realm!
58,We mustn't let this<hex:02100103>come between us!
59,I suppose...
60,All travelers are<hex:02100103>welcome here. Even you.
61,Kweh...
62,"Apologies, milord!<hex:02100103>It won't happen again."
63,You'd best believe<hex:02100103>it won't.
64,Damnable Duskwights!
65,Silence! You will<hex:02100103>disturb the rites.
66,On your feet!<hex:02100103>We're not through yet!
67,But my legs...<hex:02100103>They're like jelly!
68,"Die, foul Ixal!"
69,"Disobey me again, and it<hex:02100103>will be another thousand!"
70,Bend your knees!<hex:02100103>Straighten your back!
71,Hyah!
72,"Yes, sir!"
73,Nnnghaaa! Grrraaah!
74,How much longer?<hex:02100103>I grow weary of this.
75,"Foul spirits, begone!"
76,"Well, I see nothing<hex:02100103>wrong with her."
77,"She's got the blight,<hex:02100103>I tell ye!"
78,"Yes, I believe we'll<hex:02100103>be needing more salt."
79,To slice or to pierce?<hex:02100103>I cannot decide!
80,Are you two<hex:02100103>even listening?
81,<groan>
82,  ...?
83,My apologies...
84,"Sun's sweet smile<hex:02100103>and wind's cool breath,<hex:02100103>both of these<hex:02100103>I send thee...♪"
85,♪♪♪
86,What to plant next...
87,"This season, I<hex:02100103>switched formulas!"
88,I knew the leaves<hex:02100103>looked greener!
89,Beta works far<hex:02100103>better than alpha!
90,The foreman still<hex:02100103>watching? Damn...
91,I think you've had<hex:02100103>enough rest today.
92,"Just another<hex:02100103>half bell, I swear!"
93,What do you think!?
94,What did you go<hex:02100103>and cuff me for?
95,91
96,Such is the will<hex:02100103>of the forest.
97,But that's not right!
98,The girl's only seen<hex:02100103>twelve summers!
99,Please... You must<hex:02100103>do something...
100,The forest watches<hex:02100103>over us all.
101,Would the spirits<hex:02100103>bless me business?
102,We must make haste!
103,I'm going nowhere<hex:02100103>until I've had a drink.
104,But we just arrived!
105,  ...
106,The beasts grow<hex:02100103>bolder by the day!
107,What say the spirits<hex:02100103>of the harvest?
108,Why has Gridania<hex:02100103>forsaken us?
