key,10,12,18
#,Adjective,PossessivePronoun,
offset,0,4,8
int32,str,str,str
0,,,
1,Amalj'aa,,Amalj'aa Relations
2,sylphs,,Sylphic Relations
3,kobolds,,Kobold Relations
4,Sahagin,,Sahagin Relations
5,Ixal,,Ixali Relations
6,Vanu Vanu,,Vanu Relations
7,Vath,,Vath Relations
8,moogles,,Moogle Relations
9,Kojin,,Kojin Relations
10,Ananta,,Ananta Relations
11,Namazu,,Namazu Relations
12,pixies,,Pixie Relations
13,Qitari,,Qitari Relations
14,dwarves,,Dwarf Relations
15,Arkasodara,,Arkasodara Relations
16,Omicrons,,Omicron Relations
17,Loporrits,,Loporrit Relations
18,Pelupelu,,Pelupelu Relations
