key,1
#,
offset,0
int32,str
0,
1,Paladin
2,Monk
3,Warrior
4,Dragoon
5,Bard
6,Ninja
7,White Mage
8,Black Mage
9,Summoner
10,Scholar
11,Disciples of the Land and Hand
12,Little Ladies' Day - Legacy
13,Little Ladies' Day - 2015
14,Little Ladies' Day - 2016
15,Little Ladies' Day - 2017
16,Little Ladies' Day - 2019
17,Little Ladies' Day - 2020
18,Little Ladies' Day - 2022
19,Hatching-tide - Legacy
20,Hatching-tide - 2015
21,Hatching-tide - 2019
22,Hatching-tide - 2020
23,Hatching-tide - 2021
24,Hatching-tide - 2023
25,Make It Rain Campaign - 2024
26,Moonfire Faire - Legacy
27,Moonfire Faire - 2014
28,Moonfire Faire - 2015
29,Moonfire Faire - 2016
30,Moonfire Faire - 2017
31,Moonfire Faire - 2018
32,Moonfire Faire - 2019
33,Moonfire Faire - 2020
34,Moonfire Faire - 2022
35,Moonfire Faire - 2023
36,All Saints' Wake - Legacy
37,All Saints' Wake - 2014
38,All Saints' Wake - 2015
39,All Saints' Wake - 2016
40,All Saints' Wake - 2017
41,All Saints' Wake - 2021
42,All Saints' Wake - 2022
43,All Saints' Wake - 2024
44,Heavensturn - Legacy
45,Heavensturn - 2014
46,Heavensturn - 2015
47,Heavensturn - 2016
48,Heavensturn - 2017
49,Heavensturn - 2018
50,Heavensturn - 2019
51,Heavensturn - 2020
52,Heavensturn - 2021
53,Heavensturn - 2022
54,Heavensturn - 2023
55,Valentione's Day - Legacy
56,Valentione's Day - 2014
57,Valentione's Day - 2016
58,Valentione's Day - 2019
59,Valentione's Day - 2020
60,Valentione's & Little Ladies' Day - 2021
61,Valentione's Day - 2023
62,Starlight Celebration - Legacy
63,Starlight Celebration - 2014
64,Starlight Celebration - 2015
65,Starlight Celebration - 2016
66,Starlight Celebration - 2018
67,Starlight Celebration - 2023
68,FINAL FANTASY XI ONLINE - The Maiden's Rhapsody
69,FINAL FANTASY XIII - Lightning Strikes
70,FINAL FANTASY XV -  A Nocturne for Heroes
71,FINAL FANTASY XVI - The Path Infernal
72,DRAGON QUEST X
73,Yo-kai Watch
74,Fall Guys
75,Achievement - Legacy
76,Achievement - Battle
77,Achievement - PvP
78,Achievement - Character
79,Achievement - Items
80,Achievement - Crafting & Gathering
81,Achievement - Quests
82,Achievement - Grand Company
83,Bonus Items - Legacy
84,Exclusive Extras - A Realm Reborn
85,Exclusive Extras - Heavensward
86,Exclusive Extras - Stormblood
87,Exclusive Extras - Shadowbringers
88,Exclusive Extras - Endwalker
89,Exclusive Extras - Dawntrail
90,Exclusive Extras - Other
91,Veteran Rewards
92,Veteran Rewards - Achievement Certificates
93,Fan Festival Items
94,Campaign Items
95,Alphinaud & Alisaie
96,Minfilia
97,Thancred
98,Y'shtola
99,Urianger
100,Papalymo
101,Yda & Lyse
102,Krile
103,Hildibrand
104,Edda
105,Garlond Ironworks
106,Cid
107,The Heavens' Ward
108,Aymeric
109,Ysayle
110,Hien
111,Gosetsu
112,Alma
113,Ryne
114,Gaia
115,Omega
116,Legacy Replicas
117,Little Ladies' Day - 2025
118,Leisurewear
119,Belt-leather
120,
121,G'raha Tia
122,Zero
123,War of the Visions
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,Moogle
143,Carbuncle
144,Fat Cat
145,Fuga
146,Angelic & Demonic
147,Eastern Journey
148,Nezha Lord & Lady
149,Loyal Butler & Housemaid
150,Highborn
151,Mun'gaek & Socialite
152,Peacock
153,Faerie Tale
154,Traditional
155,School Uniform
156,Resshi
157,Street
158,Magitek
159,Eastern Lord & Lady
160,Far Eastern Noble
161,Far Eastern Patriarch & Matriarch
162,Far Eastern Gentleman & Beauty
163,Far Eastern Warrior & Damsel (temp name)
164,Far Eastern Officer & Maiden
165,Far Eastern Schoolboy & Schoolgirl
166,Eastern Lord & Lady Errant
167,Far Eastern Performer
168,
