key,10
#,
offset,0
int32,str
0,None
1,
2,Solid Black
3,Solid White
4,Solid Purple
5,Tank Gradient
6,DPS Gradient
7,Healer Gradient
8,Solid Ivory
9,Semi-transparent
10,Solid Beige
11,Lavender Gradient
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,Companion 1
53,Companion 2
54,Unending Coil of Bahamut
55,Weapon's Refrain
56,Epic of Alexander
57,Dragonsong's Reprise
58,Last Dregs
59,Coffee Break
60,Circular Geometry
61,Piano Forte
62,Far Eastern
63,Dreamspinners
64,Stewards
65,Watts's Anvil
66,Hippo Riders
67,Dreaming Ways
68,Omega Protocol
69,Eureka Orthos
70,Enaretos
71,Four Lords
72,Island Vacation
73,Island Memories
74,Divine Circle
75,Velodyna Gatekeepers
76,Seven Hundred Seventy-Seven
77,End of an Era
78,Ten Year Anniversary
79,Adventurous Angling
80,Big Fish
81,Mahjong Mastery
82,Gundu
83,Vath
84,Mogmenders
85,Halone's Blessing
86,Menphina's Blessing
87,Thaliak's Blessing
88,Nymeia's Blessing
89,Llymlaen's Blessing
90,Oschon's Blessing
91,Byregot's Blessing
92,Rhalgr's Blessing
93,Azeyma's Blessing
94,Nald'thal's Blessing
95,Nophica's Blessing
96,Althyk's Blessing
97,Tataru's Bespoke
98,Wondrous Whimsy
99,Fantastic Faux
100,Blunderful
101,Blunderous
102,Blunder-villed
103,Yo-kai Watch
104,789th Order
105,Little Solace
106,Brotherhood of Ash
107,Novv's Clutch
108,Ehcatl Nine
109,Crimson Dawn
110,Golden Dawn
111,Dark Solution
112,Bright Solution
113,Turali Travel Agency
114,Heavens' Orthodoxy
115,Heavens' Heresy
116,Idyll Wisdom
117,Idyll Industry
118,Kugane Commerce
119,Kugane Leisure
120,Western Reach
121,Eastern Reach
122,Exarchic Dome
123,Exarchic Tower
124,Eulmoran Comfort
125,Eulmoran Glory
126,Sharlayan Stoa
127,Sharlayan Agora
128,Hannish Radiance
129,Hannish Wonders
130,
