key,9
#,
offset,0
int32,str
0,None
1,Glossy
2,Squares
3,Dots
4,Checkerboard
5,Grid
6,Diagonal Lines
7,Diagonal Slice
8,Triangles
9,Vellum
10,Corner Accent
11,Shadow
12,Light
13,Dots
14,Notebook
15,Scrapbook
16,Arcane Sigil
17,Vellum
18,Paint
19,Metal Signboard
20,Parchment Stack
21,Banner
22,Welcome Back
23,Curved Metal
24,Tank Marker
25,DPS Marker
26,Healer Marker
27,Simple
28,Beveled
29,Notes
30,Scrapbook
31,Black
32,White
33,Gemstone Inlay (Thick)
34,Gemstone Inlay (Thin)
35,Limsa Lominsa
36,Gridania
37,Ul'dah
38,Metal
39,Triple Triad Ex.
40,Triple Triad
41,Gil
42,Quill
43,Stickers
44,Maps
45,Ribbon
46,Letters
47,Music
48,Bouquet
49,Notes
50,Stamps
51,Gladiator
52,Marauder
53,Conjurer
54,Pugilist
55,Lancer
56,Rogue
57,Archer
58,Thaumaturge
59,Arcanist
60,Paladin
61,Warrior
62,Dark Knight
63,Gunbreaker
64,White Mage
65,Scholar
66,Astrologian
67,Sage
68,Monk
69,Dragoon
70,Ninja
71,Samurai
72,Reaper
73,Bard
74,Machinist
75,Dancer
76,Black Mage
77,Summoner
78,Red Mage
79,Blue Mage
80,Carpenter
81,Blacksmith
82,Armorer
83,Goldsmith
84,Leatherworker
85,Weaver
86,Alchemist
87,Culinarian
88,Miner
89,Botanist
90,Fisher
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,Companion 1
153,Companion 2
154,Companion 1
155,Companion 2
156,Companion 1
157,Companion 2
158,Companion Sticker 1
159,Companion Sticker 2
160,Unending Coil of Bahamut
161,Unending Coil of Bahamut
162,Unending Coil of Bahamut
163,Unending Coil of Bahamut
164,Weapon's Refrain
165,Weapon's Refrain
166,Weapon's Refrain
167,Weapon's Refrain
168,Epic of Alexander
169,Epic of Alexander
170,Epic of Alexander
171,Epic of Alexander
172,Dragonsong's Reprise
173,Dragonsong's Reprise
174,Dragonsong's Reprise
175,Dragonsong's Reprise
176,Sil'dihn Subterrane (Variant)
177,Sil'dihn Subterrane (Variant)
178,
179,Last Dregs
180,Café
181,Quadrilled
182,Sparkles
183,Vertical Stripes
184,Horizontal Stripes
185,Hearts
186,Chevron Stripes
187,Symmetrical
188,Gingham Check
189,Crystal
190,Far Eastern
191,Zigzag
192,Warm Tape
193,Cool Tape
194,Café
195,Guitar Picks
196,Violin
197,Mammet #001
198,Wayward Hatchling
199,Cherry Bomb
200,Baby Behemoth
201,Morbol Seedling
202,Dust Bunny
203,Cactuar Cutting
204,Smallshell
205,Goobbue Sproutling
206,Demon Brick
207,Wind-up Cursor
208,Wind-up Qiqirn
209,Wolf Pup
210,Coeurl Kitten
211,Wind-up Tonberry
212,Magic Broom
213,Wind-up Moogle
214,Nutkin
215,Fat Cat
216,Water Imp
217,Accompaniment Node
218,Paissa Brat
219,Korpokkur Kid
220,Odder Otter
221,Wind-up Namazu
222,Wind-up Khloe
223,Mameshiba
224,Great Serpent of Ronka
225,Giant Beaver
226,Major-General
227,Cait Sith Doll
228,Bluebird
229,Fledgling Dodo
230,Fledgling Apkallu
231,Tender Lamb
232,Kidragora
233,Tight-beaked Parrot
234,Wind-up Succubus
235,Wind-up Gilgamesh
236,Onion Prince
237,Eggplant Knight
238,Garlic Jester
239,Tomato King
240,Mandragora Queen
241,Wind-up Ultros
242,Enkidu
243,Atrophied Atomos
244,Gaelikitten
245,Lesser Panda
246,Penguin Prince
247,Piggy
248,Shaggy Shoat
249,Road Sparrow
250,Wind-up Chimera
251,Yukinko Snowflake
252,Fox Kit
253,Shoebill
254,Bacon Bits
255,Sand Fox
256,Much-coveted Mora
257,Dreamspinners
258,Stewards
259,Watts's Anvil
260,Hippo Riders
261,Dreaming Ways
262,Omega Protocol
263,Omega Protocol
264,Omega Protocol
265,Omega Protocol
266,Heavy Hatchling
267,Slime Puddle
268,Baby Opo-opo
269,Littlefoot
270,Shalloweye
271,Morpho
272,Poro Roggo
273,Drippy
274,Bom Boko
275,Hedgehoglet
276,Pterosquirrel
277,Ghido
278,Salt & Pepper Seal
279,Axolotl Eft
280,Bitty Duckbill
281,Ugly Duckling
282,Byakko Cub
283,Scarlet Peacock
284,Seitei
285,Wind-up Y'shtola
286,Wind-up Minfilia
287,Wind-up Thancred
288,Wind-up Yda
289,Wind-up Papalymo
290,Wind-up Urianger
291,Wind-up Alphinaud
292,Wind-up Alisaie
293,Wind-up Tataru
294,Wind-up Cid
295,Felicitous Fuzzball
296,Eureka Orthos
297,Enaretos
298,Four Lords
299,Island Vacation
300,Island Memories
301,Island Vacation
302,Island Memories
303,Sponge Silkie
304,Chewy
305,Weatherproof Gaelicat
306,Nana Bear
307,Black Hayate
308,Koala Joey
309,Capybara Pup
310,Flag
311,Corgi
312,Silver Dasher
313,Greener Gleaner
314,Wind-up Arkasodara
315,Wind-up Grebuloff
316,Findingway
317,Optimus Omicron
318,Wind-up Omega-M
319,Wind-up Omega-F
320,OMG
321,Wind-up Alpha
322,Wind-up Krile
323,Wind-up Moenbryda
324,Wind-up Gentleman
325,Wind-up Nanamo
326,Wind-up Haurchefant
327,Wind-up Aymeric
328,Wind-up Estinien
329,Wind-up Nero tol Scaeva
330,Wind-up Raubahn
331,Wind-up Kan-E
332,Wind-up Merlwyb
333,Divine Circle
334,Velodyna Gatekeepers
335,Seven Hundred Seventy-Seven
336,Phoenix Feathers
337,End of an Era
338,Lilies
339,Ten Year Anniversary
340,Ten Year Anniversary Logo
341,Mount Rokkon (Variant)
342,Mount Rokkon (Variant)
343,Adventurous Angling
344,Adventurous Angling
345,Adventurous Angling
346,Adventurous Anchor
347,Big Fish
348,Big Fish
349,Big Fish
350,Big Fishing Lure
351,Mahjong Mastery
352,Mahjong Mastery
353,Namazu Tile
354,End of an Era
355,Private Pachypodium
356,Shiromaru
357,Kuromaru
358,Private Moai
359,Wind-up Azeyma
360,Wind-up Halone
361,Wind-up Oschon
362,Gravel Golem
363,Mummy's Little Mummy
364,Fenrir Pup
365,Little Leannan
366,Dwarf Rabbit
367,Meerkat
368,Assassin Fry
369,Owlet
370,Hunting Hawk
371,Blue-footed Booby
372,Dress-up Y'shtola
373,Dress-up Thancred
374,Wind-up Louisoix
375,Dress-up Alisaie
376,Wind-up Godbert
377,Wind-up Iceheart
378,Wind-up Yugiri
379,Wind-up Edda
380,Wind-up Zhloe
381,Wind-up G'raha Tia
382,Midgardsormr
383,Wind-up Hraesvelgr
384,Wind-up Nidhogg
385,Pink Bean
386,Pegwin
387,Torgal Pup
388,Gundu
389,Vath
390,Mogmenders
391,Twelvefold Blessings
392,Twelvefold Blessings
393,Twelvefold Symbols
394,Tataru's Bespoke
395,Tataru's Bespoke
396,Aloalo Island (Variant)
397,Aloalo Island (Variant)
398,Wondrous Whimsy
399,Wondrous Whimsy
400,Wondrous Whimsy
401,Khloe's Journal
402,Fantastic Faux
403,Fantastic Faux
404,Fantastic Faux
405,Faux Commander
406,Blunderful
407,Blunderous
408,Blunder-villed
409,Yo-kai Watch
