key,11
#,
offset,0
int32,str
0,None
1,Black Gradient
2,Blue Gradient
3,Purple Gradient
4,Carved Ivory
5,Spear
6,Classic Display
7,Wood Planks
8,Semi-transparent Blue
9,Wood Grain
10,Scroll
11,Unending Coil of Bahamut
12,Weapon's Refrain
13,Epic of Alexander
14,Dragonsong's Reprise
15,Last Dregs
16,Music
17,Far Eastern
18,Lominsan Tape
19,Gridanian Tape
20,Ul'dahn Tape
21,Dreamspinners
22,Stewards
23,Watts's Anvil
24,Hippo Riders
25,Dreaming Ways
26,Omega Protocol
27,Divine Circle
28,Velodyna Gatekeepers
29,Seven Hundred Seventy-Seven
30,Ten Year Anniversary
31,Adventurous Angling
32,Big Fish
33,Mahjong Mastery
34,Gundu
35,Vath
36,Mogmenders
37,Twelvefold Blessings
38,Tataru's Bespoke
39,Wondrous Whimsy
40,Fantastic Faux
41,Blunderful
42,Blunderous
43,Blunder-villed
44,Yo-kai Watch
45,789th Order
46,Little Solace
47,Brotherhood of Ash
48,Novv's Clutch
49,Ehcatl Nine
50,Crimson Dawn
51,Golden Dawn
52,Dark Solution
53,Bright Solution
54,Turali Travel Agency
55,Heavens' Orthodoxy
56,Heavens' Heresy
57,Idyll Wisdom
58,Idyll Industry
59,Kugane Commerce
60,Kugane Leisure
61,Western Reach
62,Eastern Reach
63,Exarchic Dome
64,Exarchic Tower
65,Eulmoran Comfort
66,Eulmoran Glory
67,Sharlayan Stoa
68,Sharlayan Agora
69,Hannish Radiance
70,Hannish Wonders
