key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,Choco Dash,Temporarily boosts speed without depleting stamina.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 1s
2,Choco Dash II,Temporarily boosts speed without depleting stamina.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 2s
3,Choco Dash III,Temporarily boosts speed without depleting stamina.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 3s
4,Choco Cure,Restores 6% of total stamina.
5,Choco Cure II,Restores 9% of total stamina.
6,Choco Cure III,Restores 12% of total stamina.
7,Choco Esuna,Removes all current enfeeblements with a 75% success rate.
8,Choco Esuna II,Removes all current enfeeblements with a 90% success rate.
9,Choco Esuna III,Removes all current enfeeblements with a 100% success rate.
10,Choco Ease,Cures Heavy status while restoring stamina by 80.
11,Choco Ease II,Cures Heavy status while restoring stamina by 130.
12,Choco Ease III,Cures Heavy status while restoring stamina by 180.
13,Choco Calm,Cures Frenzied status while restoring stamina by 100.
14,Choco Calm II,Cures Frenzied status while restoring stamina by 150.
15,Choco Calm III,Cures Frenzied status while restoring stamina by 200.
16,Choco Reflect,Repels any non-area of effect enfeeblement back to its point of origin.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 10s
17,Choco Reflect II,Repels any non-area of effect enfeeblement back to its point of origin.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 15s
18,Choco Reflect III,Repels any non-area of effect enfeeblement back to its point of origin.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 20s
19,Choco Steal,Take an item from the satchel of the forerunning jockey with a 50% success rate.
20,Choco Steal II,Take an item from the satchel of the forerunning jockey with a 70% success rate.
21,Choco Steal III,Take an item from the satchel of the forerunning jockey with a 90% success rate.
22,Choco Silence,Creates a vacuum of silence preventing any nearby chocobo from using abilities.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 35s
23,Choco Silence II,Creates a vacuum of silence preventing any nearby chocobo from using abilities.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 40s
24,Choco Silence III,Creates a vacuum of silence preventing any nearby chocobo from using abilities.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 45s
25,Choco Shock,Creates a disconcerting aura which distracts nearby chocobos and prevents them from using items.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 25s
26,Choco Shock II,Creates a disconcerting aura which distracts nearby chocobos and prevents them from using items.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 30s
27,Choco Shock III,Creates a disconcerting aura which distracts nearby chocobos and prevents them from using items.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 35s
28,Increased Stamina,Reduces stamina depletion during acceleration by 9%.
29,Increased Stamina II,Reduces stamina depletion during acceleration by 12%.
30,Increased Stamina III,Reduces stamina depletion during acceleration by 15%.
31,Heavy Resistance,Increases chances of resisting Heavy to 60%.
32,Heavy Resistance II,Increases chances of resisting Heavy to 70%.
33,Heavy Resistance III,Increases chances of resisting Heavy to 80%.
34,Heavy Resistance IV,Increases chances of resisting Heavy to 90%.
35,Heavy Resistance V,Increases chances of resisting Heavy to 100%.
36,Level Head,Increases chances of resisting Frenzied status to 60%.
37,Level Head II,Increases chances of resisting Frenzied status to 70%.
38,Level Head III,Increases chances of resisting Frenzied status to 80%.
39,Level Head IV,Increases chances of resisting Frenzied status to 90%.
40,Level Head V,Increases chances of resisting Frenzied status to 100%.
41,Speedy Recovery,Increases ability-induced stamina recovery by 50%.
42,Speedy Recovery II,Increases ability-induced stamina recovery by 65%.
43,Speedy Recovery III,Increases ability-induced stamina recovery by 80%.
44,Dressage,Increases EXP earned in races by 10%.
45,Dressage II,Increases EXP earned in races by 20%.
46,Dressage III,Increases EXP earned in races by 30%.
47,Head Start,Begin the race at maximum speed.
48,Choco Drain,Generates a field which drains the stamina of nearby chocobos at a rate of 15 per second.
49,Choco Drain II,Generates a field which drains the stamina of nearby chocobos at a rate of 25 per second.
50,Choco Drain III,Generates a field which drains the stamina of nearby chocobos at a rate of 35 per second.
51,Paradigm Shift,Swaps current item with a different one.
52,Mimic,Repeats any ability or item used by a forerunning chocobo.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 7s
53,Mimic II,Repeats any ability or item used by a forerunning chocobo.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103> 11s
