key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,The Heat of Battle,Increases EXP earned through battle by 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
2,Earth and Water,Increases EXP earned through gathering by 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
3,Helping Hand,Increases EXP earned through crafting by 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
4,A Man's Best Friend,Increases EXP earned by companions by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
5,Mark Up,Increases Wolf Marks earned by 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
6,Seal Sweetener,Increases company seals earned by 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
7,Brave New World,Increases the attributes of all Disciple of War or Magic members under level 25 by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
8,Live off the Land,Increases gathering by 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
9,What You See,Increases perception by 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
10,Eat from the Hand,Increases craftsmanship by 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
11,In Control,Increases control by 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
12,That Which Binds Us,Increases spiritbonding speed.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
13,Meat and Mead,Increases duration of food effects by five minutes.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
14,Proper Care,Slows gear wear by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
15,Fleet-footed,Increases duration of <hex:024804F201FA03><hex:024904F201FB03>Sprint<hex:0249020103><hex:0248020103> in large settlements by 25%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
16,Reduced Rates,Reduces teleportation fees by 20%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
17,Jackpot,Increases MGP payout by 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,The Heat of Battle II,Increases EXP earned through battle by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
32,Earth and Water II,Increases EXP earned through gathering by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
33,Helping Hand II,Increases EXP earned through crafting by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
34,A Man's Best Friend II,Increases EXP earned by companions by 15%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
35,Mark Up II,Increases Wolf Marks earned by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
36,Seal Sweetener II,Increases company seals earned by 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
37,Brave New World II,Increases the attributes of all Disciple of War or Magic members under level 49 by 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
38,Live off the Land II,Increases gathering by 10.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
39,What You See II,Increases perception by 10.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
40,Eat from the Hand II,Increases craftsmanship by 10.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
41,In Control II,Increases control by 10.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
42,That Which Binds Us II,Increases spiritbonding speed.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
43,Meat and Mead II,Increases duration of food effects by ten minutes.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration:<hex:0249020103><hex:0248020103> 24h
