key,0
#,Name
offset,0
int32,str
0,airship prototype II
1,airship prototype III
2,airship prototype IV
3,airship prototype V
4,airship prototype VI
5,restaurant prototype
6,armor shop prototype
7,weapon shop prototype
8,aetherial wheel prototype II
9,aetherial wheel prototype III
10,aetherial wheel prototype IV
11,aetherial wheel prototype V
12,aetherial wheel prototype VI
13,aetherial wheel prototype VII
14,wheel stand prototype II
15,moghouse prototype
16,wheel stand prototype III
17,airship prototype VII
18,wheel stand prototype IV
19,wheel stand prototype V
20,chocobo house prototype
21,paissa house prototype
22,Carbuncle house prototype
23,Shirogane Castle prototype
24,submersible prototype I
25,submersible prototype II
26,submersible prototype III
27,odder otter house prototype
28,submersible prototype IV
29,submersible prototype V
30,submersible prototype VI
31,half-timbered house prototype
32,smithy prototype
33,florist prototype
34,forge prototype
35,cafe prototype
36,gingerbread house prototype
37,sukiya-zukuri prototype
38,country house prototype
