key,5
#,Name
offset,0
int32,str
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,So You Want to Be a Rogue
43,So You Want to Be a Gladiator
44,So You Want to Be a Pugilist
45,So You Want to Be a Marauder
46,So You Want to Be a Lancer
47,So You Want to Be an Archer
48,So You Want to Be a Conjurer
49,So You Want to Be a Thaumaturge
50,So You Want to Be a Carpenter
51,So You Want to Be a Blacksmith
52,So You Want to Be an Armorer
53,So You Want to Be a Goldsmith
54,So You Want to Be a Leatherworker
55,So You Want to Be a Weaver
56,So You Want to Be an Alchemist
57,So You Want to Be a Culinarian
58,So You Want to Be a Miner
59,So You Want to Be a Botanist
60,
61,
62,
63,
64,
65,So You Want to Be an Arcanist
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,So You Want to Be a Fisher
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,Songs in the Key of Kugane
111,
112,
113,
114,
115,Minstrel from Another Mother
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,Memories Rekindled
128,The Mendicant's Court
129,
130,The New Nest
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,Featherfall
143,Open and Inviting
144,The Risensong Quarter
145,A Message from Konogg
146,Dwarves of a Beard
147,Strange Glagg
148,Dwarves of a Beard Freshened
149,Stranger Glagg
150,All's Well That Ends with Ale
151,I Wandered Sharlayan as a Minstrel
152,How the West Was Sung
153,
154,
155,Triple Triad Trial
156,Scratch It Rich
157,Hitting the Cactpot
158,
159,Plucking the Heartstrings
160,Squadron and Commander (Twin Adder)
161,Squadron and Commander (Maelstrom)
162,Squadron and Commander (Immortal Flames)
163,Leves of Ishgard
164,So You Want to Be a Machinist
165,A Dark Spectacle
166,What's Your Sign
167,
168,Sights of the North
169,
170,The Favors of the House
171,
172,The New Frontier
173,Recondition the Anima
174,Sights of Crimson and Dawn
175,Leves of Kugane
176,Reach Long and Prosper
177,And We Shall Call It Pyros
178,And We Shall Call It Hydatos
179,And We Shall Call It Pagos
180,Recall of Duty
181,Leves of the Crystarium
182,The Boutique Always Wins
183,Sights of the First
184,
185,
186,The Aspiring Skywatcher
187,Weapon of Choice
188,Forged Anew
189,Leves of Old Sharlayan
190,Sights of the End
191,Expanding House of Splendors
192,
193,
194,Leves of Tuliyollal
195,Sights of the West
196,Sights of the West and Beyond
197,Dawn of a New Deal
198,
199,
200,
201,Legacy of Allag
202,An Odd Job
203,Moving On
204,Flowers for One
205,All Things in Time
206,The Resolute
207,Laying the Foundation
208,Rock-solid Protection
209,Crate Go Kaboom
210,Better Late than Sever
211,Seeing the Cieldalaes
212,Hest of the Best
213,Welcome to Morbol Country
214,Pass the Smell Hest
215,Answering the Call
216,You're Gonna Carry That
217,The Things We Do for Tea
218,It's Possibly a Primal
219,Build on the Stone
220,Still Waters
221,An Eft for Effort
222,Promises to Keep
223,Eggs over Queasy
224,A Small-scale Operation
225,Yugiri's Game
226,Disorderly Conduct
227,If Wishes Were Horsebirds
228,Further Afield
229,All Due Respect
230,Until a Quieter Time
231,"Full Belly, Happy Heart"
232,Prudence at This Junction
233,Writhing in the Dark
234,Butcher of Greentear
235,A Soldier's Breakfast
236,Fireworks and Fish Don't Mix
237,Spriggan Cleaning
238,Feeding Time
239,Shock and Awe
240,Reap the Whirlwind
241,Courier for a Day
242,A Sylphlands Sting
243,Scattered Scions
244,True to Form
245,Levin an Impression
246,A Hard Hapalit to Break
247,Farmer of Fortune
248,Picking Up the Sledge
249,"Heir Today, Gone Tomorrow"
250,Skeletons in My Deepcroft
251,Lights Out
252,Chasing Ivy
253,Compulsory Catering
254,Doman Connection
255,Ruffled Feathers
256,In Flagrante Delicto
257,Aether on Demand
258,It's Probably Pirates
259,The Steps of Faith
260,Memoirs from the Front
261,We Come in Peace
262,Dance Dance Diplomacy
263,Forest Friend
264,Druthers House Rules
265,Never Forget
266,Microbrewing
267,Nouveau Riche
268,Ratting It Out
269,Terror at Fallgourd
270,Ziz Is So Ridiculous
271,The Penitent Man
272,Changing of the Guard
273,Trial by Turtle
274,The Drake Exception
275,What Do You Mean You Forgot the Wine
276,Not My War
277,A Final Ignominy
278,With a Little Elbow Grease
279,You Can't Take It with You
280,A Tall Drink of Aqua del Sol
281,The Warden Works in Mysterious Ways
282,Feats of Strength
283,The Final Flight of the Enterprise
284,Opportunity Knocks
285,All by Ourselves
286,The Best Inventions
287,A Seaside Story
288,All Due Precautions
289,The Curious Case of Giggity
290,Of Sylphs and Spriggans
291,Crazy Enough to Work
292,Dressed for Conquest
293,Operation Archon
294,The Ladle in the Darkness
295,All upon the Watchtowers
296,Hearts on Fire
