key,0,44
#,ShortCode,TransientKey
offset,52,4
int32,str,str
0,,
1,f1r1_re,
2,f1d1_re,
3,w1d1_re,
4,s1d1_re,
5,r1r2,
6,f1d2_re,
7,w1d2_re,
8,s1d2_re,
9,w1d3,
10,s1d3,
11,r1d1_re,
12,w1r1,
13,r1r1,
14,f1d3,
15,w1d4_re,
16,w1d5_re,
17,s1d4,
18,w1d6,
19,f1d4,
20,s1d6,
21,w1d7,
22,f1d5,
23,s1d5,
24,f1d6,
25,r1d2,
26,w1d8,
27,r1d3_re,
28,s1d7,
29,f1d7,
30,s1d8,
31,d2d3_re,
32,l1d1_re,
33,a2d2,
34,r2d2_re,
35,a2d3,
36,r2d1,
37,d2d1_re,
38,a2d1_re,
39,d2d2_re,
40,s1d9,
41,d2d4,
42,go001,
43,go002,
44,go003,
45,go004,
46,go005,
47,go006,
48,go007,
49,go008,
50,go009,
51,go010,
52,go011,
53,go012,
54,go013,
55,go014,
56,w1fa_re,
57,s1fa_re,
58,r1fa_re,
59,w1fa_2,
60,s1fa_2,
61,r1fa_2,
62,,
63,w1fa_3,
64,s1fa_3,
65,r1fa_3,
66,f1fa_re,
67,f1fa_2,
68,w1fb,
69,z1z4,
70,z1z1,
71,z1z2,
72,o1fa,
73,o1fa_2,
74,r1f1_battle,
75,w1d2_battle,
76,r1fb,
77,f1fb,
78,f1fb_2,
79,r1fc,
80,r1fc_2,
81,w1d7_battle,
82,f1f3_battle,
83,,
84,z1e9,
85,f1d3_battle,
86,d2fa,
87,d2fa_2,
88,a2fa,
89,a2fa_2,
90,a2fb,
91,a2fb_2,
92,l1r1,
93,s1b1,
94,s1b2,
95,s1b3,
96,s1b4,
97,s1b5,
98,f1b1,
99,f1b2,
100,f1b3,
101,f1b4,
102,l1r2,
103,f1b1_2,
104,f1b2_2,
105,f1b3_2,
106,f1b4_2,
107,w1b1,
108,w1b2,
109,w1b3,
110,w1b4,
111,l1r3,
112,d2a1,
113,d2a2,
114,d2a3,
115,d2a4,
116,d2a1_2,
117,d2a2_2,
118,d2a3_2,
119,d2a4_2,
120,z2r1,
121,,
122,,
123,,
124,,
125,,
126,,
127,l1p1,
128,,
129,,
130,s2p1,
131,a2fc,
132,a2fc_2,
133,a2fc_3,
134,a2fd,
135,a2fd_2,
136,d2a5,
137,d2a6,
138,d2a7,
139,d2a8,
140,f1d8,
141,d2d5_re,
142,,
143,,
144,,
145,,
146,,
147,d2a5_2,
148,d2a6_2,
149,d2a7_2,
150,d2a8_2,
151,s1p2_begin01,
152,s1p2_begin02,
153,s1p2_begin03,
154,s1p2_begin04,
155,s1p2_begin05,
156,s1p2_begin06,
157,s1p2_begin07,
158,s1p2_begin08,
159,s1p2_begin09,
160,s1p2_begin10,
161,s1p2_begin11,
162,s1p2_begin12,
163,s1p2_begin13,
164,s1p2_begin14,
165,s1p2_begin15,
166,s1f4_begin16,
167,ec001,
168,z2r2,
169,r1fe,
170,r1fe_2,
171,d2d6_re,
172,s1da,
173,ec002,
174,f1c1_dd001,
175,f1c2_dd002,
176,f1c3_dd003,
177,f1c4_dd004,
178,f1c4_dd005,
179,w1c1,
180,r2p1,
181,f1d9,
182,r2d3_re,
183,a2fe,
184,a2fe_2,
185,,
186,d2a9,
187,d2aa,
188,d2ab,
189,d2ac,
190,d2a9_2,
191,d2aa_2,
192,d2ab_2,
193,d2ac_2,
194,ec003,
195,w1ee,Battlehall
196,d2d7,
197,s1p3_2,Player Battle (RP)
198,s1p3_3,Tournament
199,s1p3_4,Player Battle (Non-RP)
200,,
201,,
202,a2fc_4,
203,a2fc_5,
204,f1c5_dd006,
205,f1c5_dd007,
206,f1c5_dd008,
207,f1c6_dd009,
208,f1c6_dd010,
209,f1c6_dd011,
210,f1c8_dd012,
211,f1c8_dd013,
212,f1c9_dd014,
213,f1c9_dd015,
214,f1c7_dd016,
215,f1c7_dd017,
216,f1c7_dd018,
217,f1c7_dd019,
218,f1c7_dd020,
219,f1da_re,
220,z2r3,
221,d2d8,
222,ec004,
223,a2fg,
224,a2fg_2,
225,a2fh,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,a2fh_2,
235,e3d1,
236,g3d3,
237,ec005,
238,o3d1_re,
239,g3fb,
240,e3d2_re,
241,e3d3_re,
242,g3d1_re,
243,e3fa,
244,e3fa_2,
245,e0182,
246,ec006,
247,g3d2_re,
248,e0184,
249,e0185,
250,e0186,
251,e0187,
252,z3o2,
253,z3o3,
254,z3o4,
255,z3o5,
256,z3o2_2,
257,z3o3_2,
258,z3o4_2,
259,z3o5_2,
260,e0174,
261,e0168,
262,e3d4,
263,g3fa,
264,g3fa_2,
265,e0171,
266,e0175,
267,e0158,
268,o3c1,
269,ec007,
270,e0169,
271,e0160,
272,e0161,
273,e0159,
274,e0167,
275,z3o1,
276,o3c1_2,
277,d2p1,
278,g3fc,
279,g3d4_re,
280,f1bz,
281,z3r1,
282,ec008,
283,z3fa,
284,e3d5,
285,a2d4,
286,z3o7,
287,z3o8,
288,z3o9,
289,z3oa,
290,e3fb,
291,e3fb_2,
292,z3o7_2,
293,z3o8_2,
294,z3o9_2,
295,z3oa_2,
296,e0001,
297,e0002,
298,e0003,
299,e0004,
300,e0005,
301,e0006,
302,e0007,
303,e0008,
304,e0009,
305,e0010,
306,e0011,
307,e0012,
308,e0013,
309,e0014,
310,e0015,
311,e0016,
312,e0017,
313,e0018,
314,e0019,
315,e0020,
316,e0021,
317,e0022,
318,e0023,
319,e0024,
320,e0025,
321,e0026,
322,e0027,
323,e0028,
324,e0029,
325,e0030,
326,e0031,
327,e0032,
328,e0034,
329,e0035,
330,e0036,
331,e0037,
332,e0038,
333,e0039,
334,e0040,
335,e0041,
336,e0042,
337,e0043,
338,e0046,
339,e0047,
340,e0048,
341,e0049,
342,e0050,
343,e0051,
344,e0052,
345,e0053,
346,e0054,
347,e0055,
348,e0056,
349,e0057,
350,e0058,
351,e0059,
352,e0060,
353,e0061,
354,e0062,
355,e0063,
356,e0064,
357,e0065,
358,e0066,
359,e0067,
360,e0068,
361,e0069,
362,e0070,
363,e0071,
364,e0072,
365,e0073,
366,e0074,
367,e0075,
368,e0076,
369,e0077,
370,e0078,
371,e0079,
372,e0080,
373,e0081,
374,e0082,
375,e0083,
376,e0084,
377,e0085,
378,e0086,
379,e0087,
380,e0090,
381,e0091,
382,e0092,
383,e0093,
384,e0094,
385,e0095,
386,e0096,
387,e0097,
388,e0098,
389,e0099,
390,e0100,
391,e0101,
392,e0102,
393,e0103,
394,e0104,
395,e0105,
396,e0106,
397,e0107,
398,e0108,
399,e0109,
400,e0110,
401,e0111,
402,e0112,
403,e0113,
404,e0114,
405,e0115,
406,e0116,
407,e0117,
408,e0118,
409,e0119,
410,e0120,
411,e0121,
412,e0122,
413,e0123,
414,e0124,
415,e0125,
416,e0126,
417,e0127,
418,e0128,
419,e0129,
420,e0130,
421,e0131,
422,e0132,
423,e0133,
424,e0134,
425,e0135,
426,e0136,
427,e0137,
428,e0138,
429,e0139,
430,e0140,
431,e0141,
