key,0,1,2,3,4
#,Name,Category,,Description,DutyType
offset,0,4,8,12,16
int32,str,str,str,str,str
0,,,,,
1,Duty Roulette: Leveling,Leveling,,A dungeon or trial will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※Bonus EXP and gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.<hex:02100103>※The amount of bonus company seals awarded is determined by class/job level.<hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.<hex:02100103>,Duty Type: Light Party Dungeons & Trials
2,Duty Roulette: High-level Dungeons,High-level Dungeons,,A level 50/60/70/80/90 dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※Bonus gil and EXP will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.<hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.<hex:02100103>,Duty Type: Level 50/60/70/80/90 Light Party Dungeons
3,Duty Roulette: Main Scenario,Main Scenario,,A main scenario duty will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※Cutscenes cannot be skipped.<hex:02100103>※Bonus gil and EXP will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.<hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.<hex:02100103>,Duty Type: Full Party Dungeons
4,Duty Roulette: Guildhests,Guildhests,,A guildhest will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※Bonus EXP and gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.<hex:02100103>※The amount of bonus company seals awarded is determined by class/job level.<hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.<hex:02100103>※Only light party guildhests will be selected when joining this duty as a group of four. There are no role restrictions when in a light party.<hex:02100103>,Duty Type: Guildhests
5,Duty Roulette: Expert,Expert,,An expert dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.<hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.<hex:02100103>,Duty Type: Light Party Expert Dungeons
6,Duty Roulette: Trials,Trials,,A trial will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.<hex:02100103>,Duty Type: Trials
7,Daily Challenge: Frontline,Frontline,,The current daily Frontline battle (indicated under <hex:024804F201F403><hex:024904F201F503>Information<hex:0249020103><hex:0248020103>) will be joined. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※The daily challenge reward bonus is available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.,Duty Type: Onsal Hakair (Danshig Naadam)
8,Duty Roulette: Level Cap Dungeons,Level Cap Dungeons,,A level 100 dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.<hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.<hex:02100103>,Duty Type: Level 100 Light Party Dungeons
9,Duty Roulette: Mentor,Mentor,,A mentor-oriented duty will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.<hex:02100103><hex:02100103>※Only available if you have achieved battle mentor status.<hex:02100103>※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.<hex:02100103>※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Earth time) each day.<hex:02100103>※The “adventurer in need” reward applies to the role in demand when registering for this duty.<hex:02100103>,Duty Type: Mentor-oriented Duties
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
