key,2,3,4
#,Text[Long],Text[Short],Text[Commentary]
offset,0,4,8
int32,str,str,str
3604480,,,
3604481,,,
3604482,Mahjong Rules,Mahjong Rules,
3604483,Rival Wings Rules,Rival Wings,
3604484,Housing Inquiries,Housing,
3604485,Enjoying New Game+,New Game+,つよくてニューゲーム解説
3604486,Frontline Rules,Frontline Rules,
3604487,Ocean Fishing,Ocean Fishing,
3604488,Faux Hollows,Faux Hollows,
3604489,The Bozjan Southern Front,The Bozjan Southern Front,
3604490,Resistance Rank,Resistance Rank,
3604491,Lost Actions,Lost Actions,
3604492,Bozjan Clusters,Bozjan Clusters,
3604493,Triple Triad Tournaments: Short Modes,Triple Triad Tournaments: Short Modes,
3604494,,,
3604495,,,
3604496,Resistance Honors,Resistance Honors,
3604497,Zadnor,Zadnor,
3604498,PvP,PvP,
3604499,Crystalline Conflict,Crystalline Conflict,
3604500,Deep Dungeons,Deep Dungeons,
3604501,Deep Dungeons,Deep Dungeons,
3604502,Deep Dungeons,Deep Dungeons,
3604503,Small Talk,Blunderville,
3604504,Hall of the Novice,Combat Guide,
3604505,,,
3604506,,,
