key,0
#,Description
offset,0
int32,str
2000000,
2000001,
2000002,
2000003,
2000004,
2000005,
2000006,
2000007,
2000008,
2000009,
2000010,
2000011,
2000012,
2000013,
2000014,
2000015,
2000016,
2000017,
2000018,
2000019,
2000020,
2000021,A simple wooden hairpin treasured by young Aunillie of the Acorn Orchard.
2000022,
2000023,
2000024,A sturdy box filled with a set of pristine carpentry tools.
2000025,
2000026,
2000027,
2000028,A single red Azeyma rose entrusted to you by Ethelred.
2000029,A small metal bit used in a set of chocobo reins. There appear to be several deep bite marks in the iron...
2000030,
2000031,
2000032,
2000033,
2000034,
2000035,
2000036,
2000037,
2000038,A spherical candy confected to shine like a fire crystal.
2000039,A spherical candy confected to shine like a wind crystal.
2000040,A spherical candy confected to shine like an earth crystal.
2000041,The disembodied finger of a voidsent bomb.
2000042,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake."
2000043,The disembodied finger of a voidsent bomb.
2000044,A handheld firework that unleashes a dazzling display of sparks.
2000045,A spherical candy confected to shine like a fire crystal.
2000046,A spherical candy confected to shine like a wind crystal.
2000047,A spherical candy confected to shine like an earth crystal.
2000048,The disembodied finger of a voidsent bomb.
2000049,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake."
2000050,The disembodied finger of a voidsent bomb.
2000051,A handheld firework that unleashes a dazzling display of sparks.
2000052,A spherical candy confected to shine like a fire crystal.
2000053,A spherical candy confected to shine like a wind crystal.
2000054,A spherical candy confected to shine like an earth crystal.
2000055,The disembodied finger of a voidsent bomb.
2000056,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake."
2000057,The disembodied finger of a voidsent bomb.
2000058,A handheld firework that unleashes a dazzling display of sparks.
2000059,
2000060,
2000061,A sharply scented liquid entrusted to you by Master Gabineaux of Gabineaux's Bower.
2000062,This translucent sac appears to be filled with thousands of tiny pearl-shaped eggs.
2000063,
2000064,
2000065,
2000066,
2000067,
2000068,
2000069,
2000070,
2000071,This melon-sized egg of the violent scalekin known as the anole is still slightly warm.
2000072,
2000073,
2000074,"Mother Miounne's realm-famous eel pie. Served only in her fine establishment, the Carline Canopy."
2000075,A hempen bag filled halfway with ripe Mun–Tuy beans.
2000076,A sweetly scented letter dropped by Ailbert.
2000077,"A tender, fleshy leaf taken from a microchu."
2000078,
2000079,A message entrusted to you at the Archers' Guild by an adventurer calling herself F'mibhas.
2000080,A large bag filled with various dried meats and fruit entrusted to you by a hardened adventurer named Celestine.
2000081,The bone of some large mammal whittled down to a sharp point.
2000082,One part softened beeswax mixed with two parts olive oil. Used to treat leather.
2000083,"A thick, sturdy rope twisted from common brambleweed."
2000084,The bitter fruit of an Azeyma rose.
2000085,"Leafy greens originating from the Near East. If they were any fresher, they would still be in the ground."
2000086,
2000087,
2000088,
2000089,
2000090,
2000091,
2000092,These hard black seeds can remain dormant for years before sprouting.
2000093,"Little time has elapsed since this strand was spun, and so the web remains extremely sticky."
2000094,A potent liquor created through the fermentation of hornet carcasses.
2000095,A red-hot piece of carbonized wood.
2000096,"You must deliver this egg, adventurer. It's our only hope!"
2000097,A stained envelope entrusted to you by realm-renowned wrangler Keitha of Bentbranch Meadows.
2000098,A viscous yet odorless secretion taken from the underbelly of a common ladybug.
2000099,The carcasses of common hornets. The stingers are still intact.
2000100,"Having been left uncovered for a few days, this cheap Aleport brew has lost all of its bubbles."
2000101,A fragrant oil pressed from freshly harvested Azeyma rose hips.
2000102,A heavy stone used by the Wood Wailers for training with the lance.
2000103,A flask of brownish oil you received from Brother E–Sumi–Yan. It reeks of decayed earth.
2000104,An instrument widely used in maritime navigation. This one appears to have been a victim of the elements.
2000105,An instrument widely used in maritime navigation. This one appears to have been a victim of the elements.
2000106,
2000107,
2000108,
2000109,
2000110,
2000111,
2000112,
2000113,
