key,0
#,Text
offset,0
int32,str
0,
1,Free company established!
2,Company rank <hex:022003E80203> attained!
3,Standing with the <hex:022812FF0D>GrandCompany<hex:E8020103> now <hex:024804F201FA03><hex:024904F201FB03><hex:022812FF0D>FCReputation<hex:E8030503><hex:0249020103><hex:0248020103>!
4,Standing with the <hex:022812FF0D>GrandCompany<hex:E8020103> now <hex:024804F201FA03><hex:024904F201FB03><hex:022812FF0D>FCReputation<hex:E8030503><hex:0249020103><hex:0248020103>!
5,Standing with the <hex:022812FF0D>GrandCompany<hex:E8020103> now <hex:024804F201FA03><hex:024904F201FB03><hex:022812FF0D>FCReputation<hex:E8030503><hex:0249020103><hex:0248020103>!
6,“<hex:02280EFF09>FCRights<hex:E8020103>” entitlement awarded!
7,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> joined the company.
8,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> joined the company.
9,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> left the company.
10,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> dismissed from the company.
11,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> made <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.
12,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> elected <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.
13,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> made <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.
14,Company allegiance pledged to the <hex:022812FF0D>GrandCompany<hex:E8020103>.
15,Company allegiance pledged to the <hex:022812FF0D>GrandCompany<hex:E8020103>.
16,Company allegiance pledged to the <hex:022812FF0D>GrandCompany<hex:E8020103>.
17,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed the settings for the member rank “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
18,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> added the member rank “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
19,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> deleted the member rank “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
20,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed member rank hierarchy.
21,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed company chest settings for <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403> <hex:022003E80203>.
22,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed company chest settings for gil.
23,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed company chest settings for crystals.
24,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> updated the company board.
25,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> updated the company profile.
26,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed the company crest.
27,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> purchased the company action “<hex:022813FF0E>CompanyAction<hex:E8020103>.”
28,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908030203><hex:EB0303><hex:03><hex:03> activated the company action “<hex:022813FF0E>CompanyAction<hex:E8020103>.”
29,Activity deleted.
30,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed the name of a member rank to “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
31,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> disabled the company action “<hex:022813FF0E>CompanyAction<hex:E8020103>.”
32,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908030203><hex:EB0303><hex:03><hex:03> discarded the company action “<hex:022813FF0E>CompanyAction<hex:E8020103>.”
33,The company name abbreviation has been changed to “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
34,The company name has been changed to “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
35,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed the name of the estate hall at plot <hex:022003E80403>, ward <hex:022003E80303>, <hex:023111FF0A>PlaceName<hex:03E802030203> to <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>."
