key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,Company Chest,Unlocks the company chest.
2,Crest Customization,Enables company crest customization.
3,Gear Customization,Enables personal gear to be customized with the company crest.
4,Company Actions,Enables execution of company actions.
5,Chest Expansion,Increases the number of company chest compartments to three.
6,Crest Expansion,Increases the variety of company crest designs.
7,Action Expansion,Increases the maximum number of inactive and active company actions.
8,Land Acquisition,Enables the acquisition of land in residential districts.
9,Chest Expansion,Increases the number of company chest compartments to four.
10,Action Expansion,Increases the maximum number of inactive company actions.
11,Chest Expansion,Increases the number of company chest compartments to five.
12,Action Expansion,Increases the maximum number of inactive company actions.
13,Action Expansion,Increases the maximum number of inactive company actions.
