key,1,2,3
#,BigFish{OnReach},BigFish{OnEnd},FishingSpotCategory
offset,0,4,8
int32,str,str,str
0,,,
1,REACH!,FAIL!,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,You sense something larger than even a giant takitaro!,You no longer sense anything out of the ordinary.,The presence looms large once more!
18,,,
19,,,
20,,,
21,You sense something massive just below the surface!,You no longer sense anything out of the ordinary.,The mysterious mass returns!
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,The water falls dark...,A faint glow returns to the water.,Again the water darkens!
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,A golden figure lurks near the surface!,The golden figure has retreated to the murky depths.,The golden figure rises once more!
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,Something large has risen from the depths to feed!,You no longer sense anything out of the ordinary.,The large predator hungers once more!
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,You sense something even more terrible than Canavan in the waters before you!,You no longer sense anything out of the ordinary.,The terror strikes again!
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,You sense a new legend might be told this day...,You no longer sense anything out of the ordinary.,The legend continues!
109,,,
110,,,
111,,,
112,It smells of a rat...,The stench has abated.,The reek intensifies!
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,You sense something deep beneath the magma...,You no longer sense anything out of the ordinary.,The magma swells once more!
125,,,
126,,,
127,Something glimmers near the riverbed...,You no longer perceive anything out of the ordinary.,The riverbed glimmers once more!
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,You sense the lord of these skies has returned...,You no longer sense anything out of the ordinary.,"Again, you sense a humbling presence..."
135,,,
136,,,
137,,,
138,,,
139,Lady Luck has sidled up beside you...,The good lady has departed.,It seems Lady Luck has given you another chance!
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,Something wondrous this way comes...,You no longer sense anything out of the ordinary.,Something wondrous wends its way back!
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
