key,1
#,
offset,0
int32,str
0,
1,Latest Trends
51,Online Store Exclusive
52,NPC Attire
101,FFXIII
102,Heavensturn
103,Valentione's Day
104,Little Ladies' Day
105,Hatching-tide
106,Moonfire Faire
107,The Rising
108,Hunter's Moon
109,All Saints' Wake
110,The Starlight Celebration
151,Other Collaborations
201,Fan Festival
202,FFX
1000,
1001,
1051,
1101,
1102,
1103,
1104,
1105,
1106,
1151,
1201,
1202,
1203,
1204,
1205,
1206,
1207,
1208,
1209,
2000,
2001,
2051,
2052,
2101,
2102,
2103,
2104,
2105,
2106,
2107,
2108,
2109,
2110,
2151,
2201,
2202,
2251,
