key,0,2
#,Singular,Plural
offset,0,4
int32,str,str
0,,
1,mineral deposit,mineral deposits
2,rocky outcrop,rocky outcrops
3,mature tree,mature trees
4,lush vegetation patch,lush vegetation patch
5,unspoiled mineral deposit,unspoiled mineral deposits
6,unspoiled rocky outcrop,unspoiled rocky outcrops
7,unspoiled mature tree,unspoiled mature trees
8,unspoiled lush vegetation patch,unspoiled lush vegetation patches
9,ephemeral mineral deposit,ephemeral mineral deposits
10,ephemeral rocky outcrop,ephemeral rocky outcrops
11,ephemeral mature tree,ephemeral mature trees
12,ephemeral lush vegetation patch,ephemeral lush vegetation patches
13,legendary mineral deposit,legendary mineral deposits
14,legendary rocky outcrop,legendary rocky outcrops
15,legendary mature tree,legendary mature trees
16,legendary lush vegetation patch,legendary lush vegetation patches
17,concealed mineral deposit,concealed mineral deposits
18,concealed rocky outcrop,concealed rocky outcrops
19,concealed mature tree,concealed mature trees
20,concealed lush vegetation patch,concealed lush vegetation patches
21,teeming waters,teeming waters
22,swimming shadows,swimming shadows
23,clouded mineral deposit,clouded mineral deposits
24,clouded rocky outcrop,clouded rocky outcrops
25,clouded mature tree,clouded mature trees
26,clouded lush vegetation patch,clouded lush vegetation patches
