key,4,6,12,13
#,,,,
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,pair of oval spectacles,pairs of oval spectacles,A piece of undyed facewear.,Oval Spectacles
2,pair of silver oval spectacles,pairs of silver oval spectacles,A piece of silver facewear.,Silver Oval Spectacles
3,pair of gold oval spectacles,pairs of gold oval spectacles,A piece of gold facewear.,Gold Oval Spectacles
4,pair of black oval spectacles,pairs of black oval spectacles,A piece of black facewear.,Black Oval Spectacles
5,pair of white oval spectacles,pairs of white oval spectacles,A piece of white facewear.,White Oval Spectacles
6,pair of grey oval spectacles,pairs of grey oval spectacles,A piece of grey facewear.,Grey Oval Spectacles
7,pair of red oval spectacles,pairs of red oval spectacles,A piece of red facewear.,Red Oval Spectacles
8,pair of blue oval spectacles,pairs of blue oval spectacles,A piece of blue facewear.,Blue Oval Spectacles
9,pair of green oval spectacles,pairs of green oval spectacles,A piece of green facewear.,Green Oval Spectacles
10,pair of brass oval spectacles,pairs of brass oval spectacles,A piece of brass facewear.,Brass Oval Spectacles
11,pair of purple oval spectacles,pairs of purple oval spectacles,A piece of purple facewear.,Purple Oval Spectacles
12,pair of brown oval spectacles,pairs of brown oval spectacles,A piece of brown facewear.,Brown Oval Spectacles
13,pair of shaded spectacles,pairs of shaded spectacles,A piece of undyed facewear.,Shaded Spectacles
14,pair of silver shaded spectacles,pairs of silver shaded spectacles,A piece of silver facewear.,Silver Shaded Spectacles
15,pair of gold shaded spectacles,pairs of gold shaded spectacles,A piece of gold facewear.,Gold Shaded Spectacles
16,pair of black shaded spectacles,pairs of black shaded spectacles,A piece of black facewear.,Black Shaded Spectacles
17,pair of white shaded spectacles,pairs of white shaded spectacles,A piece of white facewear.,White Shaded Spectacles
18,pair of grey shaded spectacles,pairs of grey shaded spectacles,A piece of grey facewear.,Grey Shaded Spectacles
19,pair of red shaded spectacles,pairs of red shaded spectacles,A piece of red facewear.,Red Shaded Spectacles
20,pair of blue shaded spectacles,pairs of blue shaded spectacles,A piece of blue facewear.,Blue Shaded Spectacles
21,pair of green shaded spectacles,pairs of green shaded spectacles,A piece of green facewear.,Green Shaded Spectacles
22,pair of brass shaded spectacles,pairs of brass shaded spectacles,A piece of brass facewear.,Brass Shaded Spectacles
23,pair of purple shaded spectacles,pairs of purple shaded spectacles,A piece of purple facewear.,Purple Shaded Spectacles
24,pair of brown shaded spectacles,pairs of brown shaded spectacles,A piece of brown facewear.,Brown Shaded Spectacles
25,pair of classic spectacles,pairs of classic spectacles,A piece of undyed facewear.,Classic Spectacles
26,pair of silver classic spectacles,pairs of silver classic spectacles,A piece of silver facewear.,Silver Classic Spectacles
27,pair of gold classic spectacles,pairs of gold classic spectacles,A piece of gold facewear.,Gold Classic Spectacles
28,pair of black classic spectacles,pairs of black classic spectacles,A piece of black facewear.,Black Classic Spectacles
29,pair of white classic spectacles,pairs of white classic spectacles,A piece of white facewear.,White Classic Spectacles
30,pair of grey classic spectacles,pairs of grey classic spectacles,A piece of grey facewear.,Grey Classic Spectacles
31,pair of red classic spectacles,pairs of red classic spectacles,A piece of red facewear.,Red Classic Spectacles
32,pair of blue classic spectacles,pairs of blue classic spectacles,A piece of blue facewear.,Blue Classic Spectacles
33,pair of green classic spectacles,pairs of green classic spectacles,A piece of green facewear.,Green Classic Spectacles
34,pair of brass classic spectacles,pairs of brass classic spectacles,A piece of brass facewear.,Brass Classic Spectacles
35,pair of purple classic spectacles,pairs of purple classic spectacles,A piece of purple facewear.,Purple Classic Spectacles
36,pair of brown classic spectacles,pairs of brown classic spectacles,A piece of brown facewear.,Brown Classic Spectacles
37,pair of rose-colored spectacles,pairs of rose-colored spectacles,A piece of undyed facewear.,Rose-colored Spectacles
38,pair of silver rose-colored spectacles,pairs of silver rose-colored spectacles,A piece of silver facewear.,Silver Rose-colored Spectacles
39,pair of gold rose-colored spectacles,pairs of gold rose-colored spectacles,A piece of gold facewear.,Gold Rose-colored Spectacles
40,pair of black rose-colored spectacles,pairs of black rose-colored spectacles,A piece of black facewear.,Black Rose-colored Spectacles
41,pair of white rose-colored spectacles,pairs of white rose-colored spectacles,A piece of white facewear.,White Rose-colored Spectacles
42,pair of grey rose-colored spectacles,pairs of grey rose-colored spectacles,A piece of grey facewear.,Grey Rose-colored Spectacles
43,pair of red rose-colored spectacles,pairs of red rose-colored spectacles,A piece of red facewear.,Red Rose-colored Spectacles
44,pair of blue rose-colored spectacles,pairs of blue rose-colored spectacles,A piece of blue facewear.,Blue Rose-colored Spectacles
45,pair of green rose-colored spectacles,pairs of green rose-colored spectacles,A piece of green facewear.,Green Rose-colored Spectacles
46,pair of brass rose-colored spectacles,pairs of brass rose-colored spectacles,A piece of brass facewear.,Brass Rose-colored Spectacles
47,pair of purple rose-colored spectacles,pairs of purple rose-colored spectacles,A piece of purple facewear.,Purple Rose-colored Spectacles
48,pair of brown rose-colored spectacles,pairs of brown rose-colored spectacles,A piece of brown facewear.,Brown Rose-colored Spectacles
49,pair of simple spectacles,pairs of simple spectacles,A piece of undyed facewear.,Simple Spectacles
50,pair of silver spectacles,pairs of silver spectacles,A piece of silver facewear.,Silver Spectacles
51,pair of gold spectacles,pairs of gold spectacles,A piece of gold facewear.,Gold Spectacles
52,pair of black spectacles,pairs of black spectacles,A piece of black facewear.,Black Spectacles
53,pair of white spectacles,pairs of white spectacles,A piece of white facewear.,White Spectacles
54,pair of grey spectacles,pairs of grey spectacles,A piece of grey facewear.,Grey Spectacles
55,pair of red spectacles,pairs of red spectacles,A piece of red facewear.,Red Spectacles
56,pair of blue spectacles,pairs of blue spectacles,A piece of blue facewear.,Blue Spectacles
57,pair of green spectacles,pairs of green spectacles,A piece of green facewear.,Green Spectacles
58,pair of brass spectacles,pairs of brass spectacles,A piece of brass facewear.,Brass Spectacles
59,pair of purple spectacles,pairs of purple spectacles,A piece of purple facewear.,Purple Spectacles
60,pair of brown spectacles,pairs of brown spectacles,A piece of brown facewear.,Brown Spectacles
61,monocle,monocles,A piece of undyed facewear.,Monocle
62,silver monocle,silver monocles,A piece of silver facewear.,Silver Monocle
63,gold monocle,gold monocles,A piece of gold facewear.,Gold Monocle
64,black monocle,black monocles,A piece of black facewear.,Black Monocle
65,white monocle,white monocles,A piece of white facewear.,White Monocle
66,grey monocle,grey monocles,A piece of grey facewear.,Grey Monocle
67,red monocle,red monocles,A piece of red facewear.,Red Monocle
68,blue monocle,blue monocles,A piece of blue facewear.,Blue Monocle
69,green monocle,green monocles,A piece of green facewear.,Green Monocle
70,brass monocle,brass monocles,A piece of brass facewear.,Brass Monocle
71,purple monocle,purple monocles,A piece of purple facewear.,Purple Monocle
72,brown monocle,brown monocles,A piece of brown facewear.,Brown Monocle
73,pair of contemporary pince-nez,pairs of contemporary pince-nez,A piece of undyed facewear.,Contemporary Pince-nez
74,pair of silver contemporary pince-nez,pairs of silver contemporary pince-nez,A piece of silver facewear.,Silver Contemporary Pince-nez
75,pair of gold contemporary pince-nez,pairs of gold contemporary pince-nez,A piece of gold facewear.,Gold Contemporary Pince-nez
76,pair of black contemporary pince-nez,pairs of black contemporary pince-nez,A piece of black facewear.,Black Contemporary Pince-nez
77,pair of white contemporary pince-nez,pairs of white contemporary pince-nez,A piece of white facewear.,White Contemporary Pince-nez
78,pair of grey contemporary pince-nez,pairs of grey contemporary pince-nez,A piece of grey facewear.,Grey Contemporary Pince-nez
79,pair of red contemporary pince-nez,pairs of red contemporary pince-nez,A piece of red facewear.,Red Contemporary Pince-nez
80,pair of blue contemporary pince-nez,pairs of blue contemporary pince-nez,A piece of blue facewear.,Blue Contemporary Pince-nez
81,pair of green contemporary pince-nez,pairs of green contemporary pince-nez,A piece of green facewear.,Green Contemporary Pince-nez
82,pair of brass contemporary pince-nez,pairs of brass contemporary pince-nez,A piece of brass facewear.,Brass Contemporary Pince-nez
83,pair of purple contemporary pince-nez,pairs of purple contemporary pince-nez,A piece of purple facewear.,Purple Contemporary Pince-nez
84,pair of brown contemporary pince-nez,pairs of brown contemporary pince-nez,A piece of brown facewear.,Brown Contemporary Pince-nez
85,pair of rimless glasses,pairs of rimless glasses,A piece of undyed facewear.,Rimless Glasses
86,pair of silver rimless glasses,pairs of silver rimless glasses,A piece of silver facewear.,Silver Rimless Glasses
87,pair of gold rimless glasses,pairs of gold rimless glasses,A piece of gold facewear.,Gold Rimless Glasses
88,pair of black rimless glasses,pairs of black rimless glasses,A piece of black facewear.,Black Rimless Glasses
89,pair of white rimless glasses,pairs of white rimless glasses,A piece of white facewear.,White Rimless Glasses
90,pair of grey rimless glasses,pairs of grey rimless glasses,A piece of grey facewear.,Grey Rimless Glasses
91,pair of red rimless glasses,pairs of red rimless glasses,A piece of red facewear.,Red Rimless Glasses
92,pair of blue rimless glasses,pairs of blue rimless glasses,A piece of blue facewear.,Blue Rimless Glasses
93,pair of green rimless glasses,pairs of green rimless glasses,A piece of green facewear.,Green Rimless Glasses
94,pair of brass rimless glasses,pairs of brass rimless glasses,A piece of brass facewear.,Brass Rimless Glasses
95,pair of purple rimless glasses,pairs of purple rimless glasses,A piece of purple facewear.,Purple Rimless Glasses
96,pair of brown rimless glasses,pairs of brown rimless glasses,A piece of brown facewear.,Brown Rimless Glasses
97,pair of thick-rimmed glasses,pairs of thick-rimmed glasses,A piece of undyed facewear.,Thick-rimmed Glasses
98,pair of silver thick-rimmed glasses,pairs of silver thick-rimmed glasses,A piece of silver facewear.,Silver Thick-rimmed Glasses
99,pair of gold thick-rimmed glasses,pairs of gold thick-rimmed glasses,A piece of gold facewear.,Gold Thick-rimmed Glasses
100,pair of black thick-rimmed glasses,pairs of black thick-rimmed glasses,A piece of black facewear.,Black Thick-rimmed Glasses
101,pair of white thick-rimmed glasses,pairs of white thick-rimmed glasses,A piece of white facewear.,White Thick-rimmed Glasses
102,pair of grey thick-rimmed glasses,pairs of grey thick-rimmed glasses,A piece of grey facewear.,Grey Thick-rimmed Glasses
