key,15,17,23
#,,,
offset,0,4,8
int32,str,str,str
0,oval spectacles,pairs of oval spectacles,Oval Spectacles
1,shaded spectacles,pairs of shaded spectacles,Shaded Spectacles
2,classic spectacles,pairs of classic spectacles,Classic Spectacles
3,rose-colored spectacles,pairs of rose-colored spectacles,Rose-colored Spectacles
4,simple spectacles,pairs of simple spectacles,Simple Spectacles
5,monocle,monocles,Monocle
6,contemporary pince-nez,pairs of contemporary pince-nez,Contemporary Pince-nez
7,rimless glasses,pairs of rimless glasses,Rimless Glasses
8,thick-rimmed glasses,pairs of thick-rimmed glasses,Thick-rimmed Glasses
9,minstrel's spectacles,pairs of minstrel's spectacles,Minstrel's Spectacles
10,pince-nez,pairs of pince-nez,Pince-nez
11,magnifiers,pairs of magnifiers,Magnifiers
12,brass goggles,pairs of brass goggles,Brass Goggles
13,under-rim glasses,pairs of under-rim glasses,Under-rim Glasses
14,oval reading glasses,pairs of oval reading glasses,Oval Reading Glasses
15,elegant rimless glasses,pairs of elegant rimless glasses,Elegant Rimless Glasses
16,cat eye glasses,pairs of cat eye glasses,Cat Eye Glasses
17,slim frame glasses,pairs of slim frame glasses,Slim Frame Glasses
