key,2,7
#,GridText,Text
offset,4,0
int32,str,str
0,,None
1,,★ Picture Frame
2,,★ Instant Camera
3,,★ Cinema
4,,★ Ukiyo-e
5,,★ Ornamental Border 1
6,,★ Ornamental Border 2
7,,★ Wall Frame
8,,★ Torn
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,◆ Simple 1
18,,◆ Journal
19,,◆ Eternal Bond
20,,◆ Elite Mark 1
21,GroupPoseFrame9grid001,◆ Picture Frame
22,GroupPoseFrame9grid002,◆ Instant Camera
23,GroupPoseFrame9grid003,◆ Cinema
24,,◆ Elite Mark 2
25,,◆ Triple Triad Card 1
26,,◆ Triple Triad Card 2
27,,◆ Simple 2
28,,◆ Lominsan Interior Wall
29,,◆ Gridanian Interior Wall
30,,◆ Ul'dahn Interior Wall
31,,◆ <hex:0212027103> Fan Festival 1
32,,◆ <hex:0212027103> Fan Festival 2
33,,◆ <hex:0212027103> Fan Festival 3
34,,◆ <hex:0212027103> Fan Festival 4
35,,◆ <hex:0212027103> Fan Festival 5
36,,◆ <hex:0212027103> Fan Festival 6
37,,◆ <hex:0212027103> Fan Festival 7
38,,◆ Simple 3
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,◆ Music
54,,◆ Island Sanctuary 1
55,,◆ Island Sanctuary 2
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,◆ Patch Logo
67,,◆ White Lace
68,,◆ Black Lace
69,,◆ Solid 1
70,,◆ Solid 2
71,,◆ Embellished Corners 1
72,,◆ Embellished Corners 2
73,,◆ Neon Frame 1
74,,◆ Neon Frame 2
75,,◆ Birthday
76,,◆ Aether
77,,◆ Screen
