key,4
#,Text
offset,0
int32,str
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,"<hex:02094FE802FF21>The Mendicant's Court, 1st Stage<hex:FF29>No. 1 - The Mendicant's Court, 1st Stage<hex:03>"
13,<hex:020941E802FF1A>1st Stage Concerted Works<hex:FF22>No. 2 - 1st Stage Concerted Works<hex:03>
14,"<hex:02094FE802FF21>The Mendicant's Court, 2nd Stage<hex:FF29>No. 3 - The Mendicant's Court, 2nd Stage<hex:03>"
15,<hex:020941E802FF1A>2nd Stage Concerted Works<hex:FF22>No. 4 - 2nd Stage Concerted Works<hex:03>
16,"<hex:02094FE802FF21>The Mendicant's Court, 3rd Stage<hex:FF29>No. 5 - The Mendicant's Court, 3rd Stage<hex:03>"
17,<hex:020941E802FF1A>3rd Stage Concerted Works<hex:FF22>No. 6 - 3rd Stage Concerted Works<hex:03>
18,<hex:02094DE802FF20>The Mendicant's Court Completed<hex:FF28>No. 7 - The Mendicant's Court Completed<hex:03>
19,Supplies Sought
20,Concerted Works
21,Ishgardian Restoration
22,
23,
24,
25,
26,<hex:020925E802FF0C>The Mattock<hex:FF14>No. 1 - The Mattock<hex:03>
27,<hex:020939E802FF16>Let's Get Back to It!<hex:FF1E>No. 2 - Let's Get Back to It!<hex:03>
28,<hex:020941E802FF1A>Further Along the Mattock<hex:FF22>No. 3 - Further Along the Mattock<hex:03>
29,<hex:02092BE802FF0F>Paving the Way<hex:FF17>No. 4 - Paving the Way<hex:03>
30,<hex:020927E802FF0D>The Fountain<hex:FF15>No. 5 - The Fountain<hex:03>
31,<hex:020935E802FF14>Saint Roelle's Dais<hex:FF1C>No. 6 - Saint Roelle's Dais<hex:03>
32,<hex:020947E802FF1E>Let’s Keep It Moving Along!<hex:FF24>No. 7 - Let's Keep It Moving Along!<hex:03>
33,<hex:020941E802FF1A>I Have Mine Eyes upon You<hex:FF22>No. 8 - I Have Mine Eyes upon You<hex:03>
34,<hex:020935E802FF14>Saint Roelle's Dais<hex:FF1C>No. 9 - Saint Roelle's Dais<hex:03>
35,<hex:020944E802FF1B>Show Your Artisans' Pride!<hex:FF24>No. 10 - Show Your Artisans' Pride!<hex:03>
36,<hex:020928E802FF0D>The New Nest<hex:FF16>No. 11 - The New Nest<hex:03>
37,<hex:020952E802FF22>Works Commencing on the New Nest!<hex:FF2B>No. 12 - Works Commencing on the New Nest!<hex:03>
38,<hex:02093CE802FF17>Works Proceeding Apace<hex:FF20>No. 13 - Works Proceeding Apace<hex:03> 
39,<hex:020936E802FF14>Almost Debris-free!<hex:FF1D>No. 14 - Almost Debris-free!<hex:03>
40,<hex:02093AE802FF16>Laying the Groundwork<hex:FF1F>No. 15 - Laying the Groundwork<hex:03>
41,<hex:020948E802FF1D>Time for the Houses to Go Up<hex:FF26>No. 16 - Time for the Houses to Go Up<hex:03>
42,<hex:020944E802FF1B>More Houses on the Horizon<hex:FF24>No. 17 - More Houses on the Horizon<hex:03>
43,<hex:020944E802FF1B>Final Works for the Phase!<hex:FF24>No. 18 - Final Works for the Phase!<hex:03>
44,<hex:02093CE802FF17>The New Nest Completed<hex:FF20>No. 19 - The New Nest Completed<hex:03>
45,The Kupo of Fortune
46,The Diadem
47,
48,
49,
50,
51,<hex:020925E802FF0C>Featherfall<hex:FF14>No. 1 - Featherfall<hex:03>
52,<hex:020933E802FF13>Strong Arms Needed<hex:FF1B>No. 2 - Strong Arms Needed<hex:03>
53,<hex:02092DE802FF10>Clearing a Path<hex:FF18>No. 3 - Clearing a Path<hex:03>
54,<hex:020933E802FF13>Great Expectations<hex:FF1B>No. 4 - Great Expectations<hex:03>
55,<hex:02092BE802FF0F>A Helping Hand<hex:FF17>No. 5 - A Helping Hand<hex:03>
56,<hex:02093BE802FF17>Let the Building Begin<hex:FF1F>No. 6 - Let the Building Begin<hex:03>
57,<hex:02093DE802FF18>Construction in Concert<hex:FF20>No. 7 - Construction in Concert<hex:03>
58,<hex:020937E802FF15>Residences Rise High<hex:FF1D>No. 8 - Residences Rise High<hex:03>
59,<hex:020923E802FF0B>The Abacus<hex:FF13>No. 9 - The Abacus<hex:03>
60,<hex:020936E802FF14>Ahead on the Abacus<hex:FF1D>No. 10 - Ahead on the Abacus<hex:03>
61,<hex:02093EE802FF18>All Clear on the Abacus<hex:FF21>No. 11 - All Clear on the Abacus<hex:03>
62,<hex:02093EE802FF18>Artistry for the Abacus<hex:FF21>No. 12 - Artistry for the Abacus<hex:03>
63,<hex:02092AE802FF0E>The Hoarfrost<hex:FF17>No. 13 - The Hoarfrost<hex:03>
64,<hex:020938E802FF15>Home Sweet Hoarfrost<hex:FF1E>No. 14 - Home Sweet Hoarfrost<hex:03>
65,<hex:02093AE802FF16>Featherfall Completed<hex:FF1F>No. 15 - Featherfall Completed<hex:03>
66,
67,
68,
69,
70,
71,<hex:020941E802FF1A>Western Risensong Quarter<hex:FF22>No. 1 - Western Risensong Quarter<hex:03>
72,<hex:02092BE802FF0F>Rubble-rousing<hex:FF17>No. 2 - Rubble-rousing<hex:03>
73,<hex:02092FE802FF11>Simple and Clean<hex:FF19>No. 3 - Simple and Clean<hex:03>
74,<hex:020935E802FF14>For Hearth and Home<hex:FF1C>No. 4 - For Hearth and Home<hex:03>
75,<hex:020941E802FF1A>A Prelude in Construction<hex:FF22>No. 5 - A Prelude in Construction<hex:03>
76,<hex:02092FE802FF11>Raising the Roof<hex:FF19>No. 6 - Raising the Roof<hex:03>
77,<hex:02093DE802FF18>Bright Ballad's Passage<hex:FF20>No. 7 - Bright Ballad's Passage<hex:03>
78,<hex:02092DE802FF10>Rite of Passage<hex:FF18>No. 8 - Rite of Passage<hex:03>
79,<hex:020941E802FF1A>Eastern Risensong Quarter<hex:FF22>No. 9 - Eastern Risensong Quarter<hex:03>
