key,0,2
#,Singular,Plural
offset,0,4
int32,str,str
262144,,
262145,riviera wood cottage,riviera wood cottages
262146,riviera composite cottage,riviera composite cottages
262147,riviera stone cottage,riviera stone cottages
262148,riviera wood house,riviera wood houses
262149,riviera composite house,riviera composite houses
262150,riviera stone house,riviera stone houses
262151,riviera wood mansion,riviera wood mansions
262152,riviera composite mansion,riviera composite mansions
262153,riviera stone mansion,riviera stone mansions
262154,glade wood cottage,glade wood cottages
262155,glade composite cottage,glade composite cottages
262156,glade stone cottage,glade stone cottages
262157,glade wood house,glade wood houses
262158,glade composite house,glade composite houses
262159,glade stone house,glade stone houses
262160,glade wood mansion,glade wood mansions
262161,glade composite mansion,glade composite mansions
262162,glade stone mansion,glade stone mansions
262163,oasis wood cottage,oasis wood cottages
262164,oasis composite cottage,oasis composite cottages
262165,oasis stone cottage,oasis stone cottages
262166,oasis wood house,oasis wood houses
262167,oasis composite house,oasis composite houses
262168,oasis stone house,oasis stone houses
262169,oasis wood mansion,oasis wood mansions
262170,oasis composite mansion,oasis composite mansions
262171,oasis stone mansion,oasis stone mansions
262172,,
262173,,
262174,,
262175,Hingan mokuzo cottage,Hingan mokuzo cottages
262176,Hingan nanpu cottage,Hingan nanpu cottages
262177,Hingan kura-zukuri cottage,Hingan kura-zukuri cottages
262178,Hingan mokuzo house,Hingan mokuzo houses
262179,Hingan nanpu house,Hingan nanpu houses
262180,Hingan kura-zukuri house,Hingan kura-zukuri houses
262181,Hingan mokuzo mansion,Hingan mokuzo mansions
262182,Hingan nanpu mansion,Hingan nanpu mansions
262183,Hingan kura-zukuri mansion,Hingan kura-zukuri mansions
262184,,
262185,highland wood cottage,highland wood cottages
262186,highland stone cottage,highland stone cottages
262187,highland composite cottage,highland composite cottages
262188,highland wood house,highland wood houses
262189,highland stone house,highland stone houses
262190,highland composite house,highland composite houses
262191,highland wood mansion,highland wood mansions
262192,highland stone mansion,highland stone mansions
262193,highland composite mansion,highland composite mansions
262194,,
262195,,
262196,,
262197,,
