key,4,5,6
#,Text[0],Text[1],Text[2]
offset,0,4,8
int32,str,str,str
0,,,
1,,,
2,,,
3,,,
4,,,
5,Non-player characters (NPCs) offering quests can be recognized by the <hex:024804F201F403><hex:024904F201F503>exclamation marks<hex:0249020103><hex:0248020103> above their heads. Right-click the mark to bring up the quest window.,Non-player characters (NPCs) offering quests can be recognized by the <hex:024804F201F403><hex:024904F201F503>exclamation marks<hex:0249020103><hex:0248020103> above their heads. Right-click the mark to bring up the quest window.,Non-player characters (NPCs) offering quests can be recognized by the <hex:024804F201F403><hex:024904F201F503>exclamation marks<hex:0249020103><hex:0248020103> above their heads. Right-click the mark to bring up the quest window.
6,"Non-player characters (NPCs) offering quests can be recognized by the <hex:024804F201F403><hex:024904F201F503>exclamation marks<hex:0249020103><hex:0248020103> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <hex:024804F201F403><hex:024904F201F503>confirm<hex:0249020103><hex:0248020103> button.","Non-player characters (NPCs) offering quests can be recognized by the <hex:024804F201F403><hex:024904F201F503>exclamation marks<hex:0249020103><hex:0248020103> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <hex:024804F201F403><hex:024904F201F503>confirm<hex:0249020103><hex:0248020103> button.","Non-player characters (NPCs) offering quests can be recognized by the <hex:024804F201F403><hex:024904F201F503>exclamation marks<hex:0249020103><hex:0248020103> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <hex:024804F201F403><hex:024904F201F503>confirm<hex:0249020103><hex:0248020103> button."
7,,,
8,,,
9,,,
10,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Click on the <hex:024804F201F403><hex:024904F201F503>Accept<hex:0249020103><hex:0248020103> button in the lower left to add the quest to your list of current duties.",,
11,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Press the <hex:024804F201F403><hex:024904F201F503>Accept<hex:0249020103><hex:0248020103> button in the lower left to add the quest to your list of current duties.",,
12,,,
13,,,
14,,,
15,"Complete a quest by right-clicking the NPC with a <hex:024804F201F403><hex:024904F201F503>check mark<hex:0249020103><hex:0248020103> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <hex:024804F201F403><hex:024904F201F503>check mark<hex:0249020103><hex:0248020103> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <hex:024804F201F403><hex:024904F201F503>check mark<hex:0249020103><hex:0248020103> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
16,"Complete a quest by speaking to the NPC with a <hex:024804F201F403><hex:024904F201F503>check mark<hex:0249020103><hex:0248020103> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <hex:024804F201F403><hex:024904F201F503>check mark<hex:0249020103><hex:0248020103> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <hex:024804F201F403><hex:024904F201F503>check mark<hex:0249020103><hex:0248020103> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
17,,,
18,,,
19,,,
20,"The <hex:024804F201F403><hex:024904F201F503>main menu<hex:0249020103><hex:0248020103> grants quick and easy access to most of the game's main features. For example, selecting Character under <hex:024804F201F403><hex:024904F201F503>Character<hex:0249020103><hex:0248020103> opens a window containing your character's various attributes and currently equipped gear. Selecting Journal under <hex:024804F201F403><hex:024904F201F503>Duty<hex:0249020103><hex:0248020103> displays a list of current and completed quests and levequests.",,
21,"If you wish to customize the game's various settings, including <hex:024804F201F403><hex:024904F201F503>key binding<hex:0249020103><hex:0248020103>, <hex:024804F201F403><hex:024904F201F503>HUD layout<hex:0249020103><hex:0248020103>, and <hex:024804F201F403><hex:024904F201F503>system configuration<hex:0249020103><hex:0248020103>, they all can be accessed via <hex:024804F201F403><hex:024904F201F503>System<hex:0249020103><hex:0248020103>.<hex:02100103><hex:02100103>Select <hex:024804F201F403><hex:024904F201F503>Active Help<hex:0249020103><hex:0248020103> to redisplay these tutorial messages.",,
22,"Game progress is saved automatically, so there are no in-game save or load functions. However, to prevent data from being lost or corrupted, it is strongly recommended that you end each playing session by selecting <hex:024804F201F403><hex:024904F201F503>Log Out<hex:0249020103><hex:0248020103> or <hex:024804F201F403><hex:024904F201F503>Exit Game<hex:0249020103><hex:0248020103> from the System menu.",,
23,,,
24,,,
25,The spell <hex:024804F201F403><hex:024904F201F503>Return<hex:0249020103><hex:0248020103> can be used to instantly travel back to the aetheryte set as your <hex:024804F201F403><hex:024904F201F503>home point<hex:0249020103><hex:0248020103>. Casting the spell does not require any <hex:024804F201F403><hex:024904F201F503>MP<hex:0249020103><hex:0248020103> and can be accessed by selecting Return under <hex:024804F201F403><hex:024904F201F503>Travel<hex:0249020103><hex:0248020103> from the <hex:024804F201F403><hex:024904F201F503>main menu<hex:0249020103><hex:0248020103>. The sole limitation of the spell is that it can only be cast once every <hex:024804F201F403><hex:024904F201F503>15 minutes<hex:0249020103><hex:0248020103> (Earth time).,,
26,"Only one home point may be set at any time. To make an aetheryte your new home point, right-click on the crystal to bring up the aetheryte menu.",,
27,The spell <hex:024804F201F403><hex:024904F201F503>Return<hex:0249020103><hex:0248020103> can be used to instantly travel back to the aetheryte set as your <hex:024804F201F403><hex:024904F201F503>home point<hex:0249020103><hex:0248020103>. Casting the spell does not require any <hex:024804F201F403><hex:024904F201F503>MP<hex:0249020103><hex:0248020103> and can be accessed by selecting <hex:024804F201F403><hex:024904F201F503>Return<hex:0249020103><hex:0248020103> under <hex:024804F201F403><hex:024904F201F503>Travel<hex:0249020103><hex:0248020103> from the <hex:024804F201F403><hex:024904F201F503>main menu<hex:0249020103><hex:0248020103>. The sole limitation of the spell is that it can only be cast once every <hex:024804F201F403><hex:024904F201F503>15 minutes<hex:0249020103><hex:0248020103> (Earth time).,,
28,"Only one home point may be set at any time. To make an aetheryte your new home point, target and select the crystal to bring up the aetheryte menu.",,
29,,,
30,"Pressing <hex:024804F201F403><hex:024904F201F503>M<hex:0249020103><hex:0248020103> on your keyboard, selecting the minimap, or selecting <hex:024804F201F403><hex:024904F201F503>Map<hex:0249020103><hex:0248020103> under <hex:024804F201F403><hex:024904F201F503>Travel<hex:0249020103><hex:0248020103> from the <hex:024804F201F403><hex:024904F201F503>main menu<hex:0249020103><hex:0248020103> in the lower right-hand corner of your screen will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.",,
31,The location of quest objectives can also be confirmed by clicking on the objective in the <hex:024804F201F403><hex:024904F201F503>duty list<hex:0249020103><hex:0248020103>. ,,
32,"Selecting <hex:024804F201F403><hex:024904F201F503>Map<hex:0249020103><hex:0248020103> from under <hex:024804F201F403><hex:024904F201F503>Travel<hex:0249020103><hex:0248020103> in the <hex:024804F201F403><hex:024904F201F503>main menu<hex:0249020103><hex:0248020103> or pressing <hex:021E020B03> on the controller will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.",,
33,The location of quest objectives can also be confirmed by selecting the objective in the <hex:024804F201F403><hex:024904F201F503>duty list<hex:0249020103><hex:0248020103>. ,,
