key,0
#,Name
offset,0
int32,str
0,
1,Tank
2,Melee DPS (DRG/RPR)
3,Melee DPS (MNK/SAM)
4,Physical Ranged DPS
5,Melee DPS (NIN/VPR)
6,Healer
7,Magical Ranged DPS
8,Combat Supplies
9,Crafter
10,Crafting Supplies
11,Gatherer
12,Gathering Supplies
13,Tank
14,Melee DPS (DRG/RPR)
15,Melee DPS (MNK/SAM)
16,Physical Ranged DPS
17,Melee DPS (NIN/VPR)
18,Healer
19,Magical Ranged DPS
20,Combat Supplies
21,Crafter
22,Crafting Supplies
23,Gatherer
24,Gathering Supplies
25,Tank
26,Melee DPS (DRG/RPR)
27,Melee DPS (MNK/SAM)
28,Physical Ranged DPS
29,Melee DPS (NIN/VPR)
30,Healer
31,Magical Ranged DPS
32,Combat Supplies
33,Crafter
34,Crafting Supplies
35,Gatherer
36,Gathering Supplies
37,Tank
38,Melee DPS (DRG/RPR)
39,Melee DPS (MNK/SAM)
40,Physical Ranged DPS
41,Melee DPS (NIN/VPR)
42,Healer
43,Magical Ranged DPS
44,Combat Supplies
45,Crafter
46,Crafting Supplies
47,Gatherer
48,Gathering Supplies
49,Crafters' Scrip (Gear)
50,Crafters' Scrip (Master Recipes/Materials/Misc.)
51,Gatherers' Scrip (Gear)
52,Gatherers' Scrip (Regional Folklore/Materials/Misc.)
53,Crafters' Scrip (Materia)
54,Gatherers' Scrip (Materia)
55,Crafters' Scrip (Gear)
56,Crafters' Scrip (Master Recipes/Materials/Misc.)
57,Gatherers' Scrip (Gear)
58,Gatherers' Scrip (Regional Folklore/Materials/Misc.)
59,Crafters' Scrip (Gear)
60,Crafters' Scrip (Master Recipes/Materials/Misc.)
61,Gatherers' Scrip (Gear)
62,Gatherers' Scrip (Regional Folklore/Materials/Misc.)
63,Wolf Marks (DoW Weapons)
64,Wolf Marks (DoM Weapons)
65,Wolf Marks (DoW Gear)
66,Wolf Marks (DoM Gear)
67,Wolf Marks (Other)
68,
69,
70,Crafters' Scrip (Gear)
71,Crafters' Scrip (Master Recipes/Materials/Misc.)
72,Gatherers' Scrip (Gear)
73,Gatherers' Scrip (Regional Folklore/Materials/Misc.)
74,Tank
75,Melee DPS (DRG/RPR)
76,Melee DPS (MNK/SAM)
77,Melee DPS (NIN/VPR)
78,Physical Ranged DPS
79,Healer
80,Magical Ranged DPS
81,Combat Supplies
82,Crafter
83,Crafting Supplies
84,Gatherer
85,Gathering Supplies
86,
