key,1,2
#,Text,String
offset,0,4
int32,str,str
0,,
1,Shapeless Melody,
2,Treasures of the Main,
3,Legends Adrift,
4,Never the Twain Shall Meet,
5,Sundered Skies,
6,Souls Gone Wild,
7,Whispers in the Wood,
8,Beckon of the Elementals,
9,Flowers for All,
10,Court in the Sands,
11,Golden Sacrifices,
12,Calamity Cometh,
13,Fade to White,
14,Together We Stand,
15,Toll of the Warden,
16,Forever Taken,
17,Lord Errant,
18,Of Men They Sing,
19,Futures Perfect,
20,The House Always Wins,
21,Here There Be Pirates,
22,Two Sides to Every Chip,
23,All Bark and No Bite,
24,Unalienable Rights,
25,Thrill of the Fight,
26,Bloody Baptism,
27,Two-man Crew,
28,Captain's Orders,
29,Getting Started,
30,Getting Started,
31,Getting Started,
32,Selecting a Different Path Companion,
33,Filling the Quiver,
34,The Foreboding Forest,
35,There Can Be Only One,
36,A Wailing Welcome,
37,Culture Shock,
38,Necessary Evils,
39,The Big Payback,
40,Revelry in Rivalry,
41,Law and the Order,
42,Dendrological Duties,
43,"Good Knight, Sweet Dreams",
44,The Call of Nature,
45,The Mouths of Babes,
46,Hide and Seek Shenanigans,
47,Spanning the Spectrum,
48,An Ear for Quality,
49,Song of the Sirens,
50,The Sound of Silence,
51,She Walks in Beauty,
52,F'lhaminn's Flower,
53,Struck Through the Heart,
54,The Silent Partners,
55,Designer Imposters,
56,Head of the Class,
57,Hoodwinked,
58,Dance the Night Away,
59,A Fruitful Murder,
60,"Sleep, Cousin of Death",
61,The Boy and the Dragon Gay,
62,"Dream On, Dream Away",
63,Showdown,
64,Mystery of the Gastronome Gone Home,
65,Something in the Soup,
66,A Piece of History,
67,Little Saboteurs,
68,Runaway Little Girl,
69,Gridanian Roots,
70,The Grass is Always Greener,
71,A Moogle Bouquet,
72,To Fight a Fishback,
73,The Beast of the Barrel,
74,Polishing the Mast,
75,"Ifrit Bleeds, We Can Kill It",
76,Assessing the Damage,
77,Bridging the Gap,
78,Revenge on the Reavers,
79,Till Death Do Us Part,
80,Beryl Overboard,
81,Have You Seen My Son,
82,Food for Thought,
83,Seashells by the Seashore,
84,Fishing for Answers,
85,Moonstruck,
86,A Misty Past,
87,Carving a Name,
88,The Tug of the Whorl,
89,Proceed with Caution,
90,Playing with Fire,
91,A Well-Balanced Diet,
92,The Penultimate Prank,
93,The Search for Sicksa,
94,The Ultimate Prank,
95,Say It with Wolf Tails,
96,Embarrassing Excerpts,
97,A Forbidden Love,
98,Last Respects,
99,Stone Deaf,
100,Hunting the Hunters,
101,To Deskunk a Beer,
102,Losing One's Thread,
103,Seeing the Seers,
104,A Knock in the Night,
105,Sleepless in Eorzea,
106,Dressed to Be Killed,
107,The Customer Comes First,
108,An Inconvenient Dodo,
109,Besmitten and Besmirched,
110,Clasping to Hope,
111,Traumaturgy,
112,Best Flower Ever,
113,The Unheard Horizon,
114,Freedom Isn't Free,
115,Ore for an Ore,
116,No Other Dodo Will Do,
117,A Call to Arms,
118,Counting Sheep,
119,A Hypocritical Oath,
120,Blood Price,
121,Quid Pro Quo,
122,There Might Be Blood,
123,Cutthroat Prices,
124,Monster of Maw Most Massive,
125,Scrubbing the Soul,
126,Disorganized Crime,
127,A Slippery Stone,
128,Winds of Change,
129,Shot Through the Heart,
130,What a Pirate Wants,
131,Of Archons and Muses,
132,Sanguine Studies,
133,Secrets Unearthed,
134,Rustproof,
135,In the Name of Science,
136,Hearing Confession,
137,A Bitter Oil to Swallow,
138,Spores on the Brain,
139,Trading Tongueflaps,
140,Letting Out Orion's Belt,
141,Sour Grapes,
142,Sniffing Out a Profit,
143,The Dreamer's Gospel (Ul'dah),
144,The Dreamer's Dilemma (Ul'dah),
145,The Dreamer's Gospel (Gridania),
146,The Dreamer's Dilemma (Gridania),
147,The Heat Is On,
148,Impish Impositions,
149,Winter Is Not Coming,
