key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,Start Game,,
2,Configuration,,
3,Opening Movie,,
4,Credits,,
5,,,
6,Calibrate controller?<hex:02100103>※Settings can be changed at any time via the System Configuration menu.,,
7,Yes,,
8,No,,
9,,,
10,Service Account,,
11,Select a service account.,,
12,Version: <hex:022903EA0203>(<hex:022903EA0303>)<hex:02081DE1E80401FF15> - ex<hex:022003E80403> : <hex:022903EA0503><hex:FF01><hex:03>,,
13,<hex:024804F201F403><hex:024904F201F503>Warning!<hex:0249020103><hex:0248020103> Screen resolution is set to Low (480p/i 576p/i)<hex:02100103>The recommended setting is High (720p).,,
14,,,
15,OK,,
16,Cancel,,
17,Select the features you wish to change from the list on the right. Those marked with ??? have yet to be confirmed.,,
18,Select the features you wish to change from the list on the right and press OK to reflect the changes.,,
19,Select the features you wish to change from the list on the right. Those marked with ??? have yet to be confirmed.,,
20,Delete Character,,
21,"Delete <hex:022903EA0203>?<hex:02100103>Please be aware that if you delete this character, you will lose all items, gil, and hired retainers in their possession.<hex:02100103>If this character is master of a free company for which there is no eligible successor, the free company will be automatically disbanded, causing company estates and all items within the company chest to be deleted as well.",,
22,I understand and wish to delete this character.,,
23,Change Name,,
24,Change Retainer Name,,
25,Log in with <hex:022903EA0203>?,,
26,A name change is required to log in with this character.,,
27,<hex:020885E1E80201FF45>Please change your character's name after retrieving character data.<hex:FF39>A name change is required to log in with this character.<hex:03>,,
28,Change this character's name to <hex:022903EA0203>?,,
29,Change this retainer's name to <hex:022903EA0203>?,,
30,New Character,,
31,Quit character creation and lose all progress?,,
32,Begin a new game with this character?,,
33,Create a new character?,,
34,You cannot create any more characters. To create a new character you must first delete an existing one.,,
35,<hex:022003E80203>/<hex:022003E80303>,,
36,Location,,
37,<hex:0209BAE803FF04>1st<hex:FF04>2nd<hex:FF04>3rd<hex:FF04>4th<hex:FF04>5th<hex:FF04>6th<hex:FF04>7th<hex:FF04>8th<hex:FF04>9th<hex:FF05>10th<hex:FF05>11th<hex:FF05>12th<hex:FF05>13th<hex:FF05>14th<hex:FF05>15th<hex:FF05>16th<hex:FF05>17th<hex:FF05>18th<hex:FF05>19th<hex:FF05>20th<hex:FF05>21st<hex:FF05>22nd<hex:FF05>23rd<hex:FF05>24th<hex:FF05>25th<hex:FF05>26th<hex:FF05>27th<hex:FF05>28th<hex:FF05>29th<hex:FF05>30th<hex:FF05>31st<hex:FF05>32nd<hex:03> Sun of the <hex:020993E802FF0B>1st Astral<hex:FF0B>1st Umbral<hex:FF0B>2nd Astral<hex:FF0B>2nd Umbral<hex:FF0B>3rd Astral<hex:FF0B>3rd Umbral<hex:FF0B>4th Astral<hex:FF0B>4th Umbral<hex:FF0B>5th Astral<hex:FF0B>5th Umbral<hex:FF0B>6th Astral<hex:FF0B>6th Umbral<hex:03> Moon,,
38,（<hex:022003E80203>/<hex:022003E80303>）,,
39,,,
40,First Astral Moon,,
41,First Umbral Moon,,
42,Second Astral Moon,,
43,Second Umbral Moon,,
44,Third Astral Moon,,
45,Third Umbral Moon,,
46,Fourth Astral Moon,,
47,Fourth Umbral Moon,,
48,Fifth Astral Moon,,
49,Fifth Umbral Moon,,
50,Sixth Astral Moon,,
51,Sixth Umbral Moon,,
52,,,
53,<hex:0209BAE804FF04>1st<hex:FF04>2nd<hex:FF04>3rd<hex:FF04>4th<hex:FF04>5th<hex:FF04>6th<hex:FF04>7th<hex:FF04>8th<hex:FF04>9th<hex:FF05>10th<hex:FF05>11th<hex:FF05>12th<hex:FF05>13th<hex:FF05>14th<hex:FF05>15th<hex:FF05>16th<hex:FF05>17th<hex:FF05>18th<hex:FF05>19th<hex:FF05>20th<hex:FF05>21st<hex:FF05>22nd<hex:FF05>23rd<hex:FF05>24th<hex:FF05>25th<hex:FF05>26th<hex:FF05>27th<hex:FF05>28th<hex:FF05>29th<hex:FF05>30th<hex:FF05>31st<hex:FF05>32nd<hex:03> Sun of the <hex:020993E803FF0B>1st Astral<hex:FF0B>1st Umbral<hex:FF0B>2nd Astral<hex:FF0B>2nd Umbral<hex:FF0B>3rd Astral<hex:FF0B>3rd Umbral<hex:FF0B>4th Astral<hex:FF0B>4th Umbral<hex:FF0B>5th Astral<hex:FF0B>5th Umbral<hex:FF0B>6th Astral<hex:FF0B>6th Umbral<hex:03> Moon,,
54,,,
55,,,
56,<hex:022903EA0203><hex:020836E3E80308FF2E><hex:02092AE803FF01><hex:FF0A> (Legacy)<hex:FF01><hex:FF0A> (Legacy)<hex:FF01><hex:FF0A> (Legacy)<hex:03><hex:FF01><hex:03>,,
57,Obtaining the World list...,,
58,Unable to obtain the World list.,,
59,Obtain updated World information. This feature can only be used once every <hex:020860E802FF54><hex:020850E2E8020BFF42><hex:02093EE802FF04>one<hex:FF04>two<hex:FF06>three<hex:FF05>four<hex:FF05>five<hex:FF04>six<hex:FF06>seven<hex:FF06>eight<hex:FF05>nine<hex:FF04>ten<hex:03><hex:FF07><hex:022003E80203><hex:03><hex:FF07><hex:022003E80203><hex:03> <hex:020816E4E80202FF07>minute<hex:FF08>minutes<hex:03>.,,
60,"This account has no available character slots. To create a new character, you must first delete an existing one by selecting the “Delete” option from the subcommand menu.",,
61,"You cannot create any more characters. To create a new character, you must first delete an existing one. This can be done by selecting the “Delete” option from the subcommand menu.",,
62,You cannot create any more characters on this World. Please select another.,,
63,"This World is not accepting any more new characters. You may either wait for the restriction to be lifted, or you may select another World.",,
64,You cannot select this character with your current account.,,
65,"You are granted one opportunity to edit your character's race, tribe, gender, appearance, and name.",,
66,<hex:02089CE1E80201FF4B>Please change your retainer's name after retrieving your character's data.<hex:FF4A>To log in with this character you must first change your retainer's name.<hex:03>,,
67,"If you wish, you can edit your character's race, sex, and appearance. <hex:020835E1E80201FF2D>(<hex:022003E80203> <hex:020816E4E80202FF07>minute<hex:FF08>minutes<hex:03> remaining)<hex:FF01><hex:03>",,
68,To log in with this character you must first install <hex:02280FFF0A>ExVersion<hex:E8020103>.,,
69,"To edit this character's race, sex, or appearance you must first install <hex:02280FFF0A>ExVersion<hex:E8020103>.",,
70,"To log in with this character from version 1.0, you must first specify the Disciple of War or Magic class you wish to begin the game as.",,
71,OK,,
72,Cancel,,
73,You have elected to begin FINAL FANTASY XIV: A Realm Reborn as <hex:0208B0E4E8020BFF15>an <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF94><hex:020890E4E8020FFF15>an <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF74><hex:020870E4E80206FF15>an <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF54><hex:020850E4E8021BFF15>an <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF34><hex:020830E4E80222FF15>an <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF14>a <hex:02280EFF09>ClassJob<hex:E8020103><hex:03><hex:03><hex:03><hex:03><hex:03>. You will start your new adventure in <hex:02280AFF05>Town<hex:E8030103>.,,
74,OK,,
75,Cancel,,
76,"To log in with this character from version 1.0, you must first specify the Disciple of War or Magic class you wish to begin the game as. You are also granted one opportunity to edit your character's race, tribe, gender, appearance, and name.",,
77,Edit now.,,
78,Edit later.,,
79,Re-edit Character,,
80,Create new character with saved appearance data.,,
81,Save Appearance Data,,
82,Load Appearance Data,,
83,"To better facilitate the login process, the display of character information has been simplified.<hex:02100103>Please use the Retrieve Character Data subcommand if you are re-editing your character's appearance or if they require a name change.",,
84,"Welcome to Eorzea!<hex:02100103>Before your adventure can begin, you must first create a character.",,
85,Proceed,,
