key,5
#,
offset,0
int32,str
0,
1,You invite <hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03> to a party.
2,The party invite from <hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03> was canceled.
3,<hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03> invites you to a party.
4,You leave the party.
5,The party disbands.
6,
7,
8,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:02080FE4EB02EB03FF04>are<hex:FF03>is<hex:03> now blacklisted.
9,<hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03> removed from blacklist.
10,You send a friend request to <hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03>.
11,<hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03> has sent you a friend request.
12,<hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03> removed from friend list.
13,Linkshell invite sent to <hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03>.
14,<hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03> invites you to join “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
15,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:02080FE4EB02EB03FF04>are<hex:FF03>is<hex:03> now a leader of “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
16,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:02080FE4EB02EB03FF04>are<hex:FF03>is<hex:03> no longer a leader of “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
17,You leave “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
18,You leave “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
19,<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> kicked from “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
20,You have been kicked from “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
21,Master privileges for “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>” have been granted to <hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03>.
22,Master privileges for “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>” have been granted to <hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03>.
23,You are now a leader of “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
24,You are no longer a leader of “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”
25,Message sent.
26,Message deleted.
27,<hex:02083CE1E80302FF1C><hex:022003E80303> <hex:02310DFF05>Item<hex:04E802E8030203> are<hex:FF19><hex:022B12FF10><hex:02310CFF05>Item<hex:03E802020203><hex:03> is<hex:03> taken from the message.
28,<hex:022206E802FF022C03> gil taken from message.
29,You have reached the maximum capacity for messages with attachments.<hex:02100103>You will not receive any new deliveries from friends until you claim your items.
30,<hex:022B49FF47><hex:020843E4EB02EB04FF1F><hex:02081BE909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:FF04>you<hex:03><hex:FF1C><hex:020818E909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:EB0403><hex:03><hex:03> <hex:02080FE4EB02EB04FF04>are<hex:FF03>is<hex:03> unable to trade at this time.
31,That item cannot be traded.
32,Trade request sent to <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.
33,Awaiting trade confirmation from <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>...
34,<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403> wishes to trade with you.
35,Trade opened.
36,Trade canceled.
37,Trade items have changed.
38,Trade complete.
39,Trade not complete. Insufficient inventory space.
40,Trade not complete. <hex:022B49FF47><hex:020843E4EB02EB04FF1F><hex:02081BE909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:FF04>you<hex:03><hex:FF1C><hex:020818E909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:EB0403><hex:03><hex:03> <hex:020810E4EB02EB04FF03>do<hex:FF05>does<hex:03> not have sufficient inventory space.
41,Only items in perfect condition can be traded.
42,Trade not complete. You already have one of the proposed unique items.
43,Trade not complete. <hex:022B49FF47><hex:020843E4EB02EB04FF1F><hex:02081BE909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:FF04>you<hex:03><hex:FF1C><hex:020818E909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:EB0403><hex:03><hex:03> already <hex:020811E4EB02EB04FF05>have<hex:FF04>has<hex:03> one of the proposed unique items.
44,The trade will be canceled if you move too far away from the target.
45,You have exceeded the character limit.
46,Trade canceled. You cannot carry any more gil.
47,Trade canceled. <hex:022B49FF47><hex:020843E4EB02EB04FF1F><hex:02081BE909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:FF04>you<hex:03><hex:FF1C><hex:020818E909FF12><hex:02310EFF07>ObjStr<hex:03E909020203><hex:EB0403><hex:03><hex:03> cannot carry any more gil.
48,Unable to send trade request. Player's online status is set to Busy.
49,Unable to send tell. <hex:022903EA0203>'s online status is set to Busy.
50,Message to <hex:022903EA0203> could not be sent.
51,Unable to find PC.
52,Following <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.
53,No longer following a target.
54,Trade could not be completed.
55,Unable to send tell. That player is on your blacklist.
56,Unable to initiate trade. That player is on your blacklist.
57,Unable to invite to party. That player is on your blacklist.
58,Unable to invite to linkshell. That player is on your blacklist.
